series_file,label,baseline_90d,final_level_90d,level_ratio,peak_ratio,days_above_2x_baseline,days_peak_to_1.5x,autocorrelation_365d,coefficient_variation,log_slope,peak_count
groundtruth\series\Andrew_Tate.csv,breakout,637.0,5568.0,8.740973312401884,537.4128728414443,1602,0,-0.1964178121388248,1.3769662954379613,0.0005450097966043666,96
groundtruth\series\April_Fools'_Day.csv,seasonal,799.5,928.0,1.1607254534083802,55.95872420262664,446,46,0.8981755577114728,2.1021379179535913,7.83889303859821e-05,41
groundtruth\series\Backpack.csv,stable,344.0,299.0,0.8691860465116279,2.113372093023256,9,6,0.33076704841127635,0.199577547161694,-0.00016945146087978338,8
groundtruth\series\Banana.csv,spike,3639.0,3198.0,0.8788128606760099,3.1739488870568837,86,84,0.042912211735196604,0.3399230734901186,-0.00017278460544745808,29
groundtruth\series\Black_Friday.csv,seasonal,75.0,964.0,12.853333333333333,21.52,359,69,0.22541841898506634,1.6171752336106193,0.0004195467830579892,31
groundtruth\series\Carnival.csv,seasonal,770.0,876.0,1.1376623376623376,16.75194805194805,435,63,0.3118367982586223,0.8944195291988021,9.49662037288066e-05,63
groundtruth\series\ChatGPT.csv,breakout,184923.5,89673.0,0.4849194396601838,2.4227315619702203,18,5,-0.2917064144939608,0.6741415155246699,-0.0002540774884767228,10
groundtruth\series\Christmas.csv,seasonal,2796.0,2226.5,0.7963161659513591,33.38197424892704,549,56,0.7630572680690387,1.3533694611054856,-3.803382291231683e-05,53
groundtruth\series\Christmas_tree.csv,seasonal,477.5,344.0,0.7204188481675393,55.70471204188482,621,140,0.7083358272460875,1.6765280676921037,-0.00020686262915244597,58
groundtruth\series\Civil_registration.csv,stable,138.5,77.0,0.555956678700361,2.7364620938628157,41,36,-0.04891000384915793,0.33109679238597445,-0.0001697785997676202,4
groundtruth\series\Cooking.csv,spike,997.0,882.0,0.8846539618856569,3.221664994984955,150,18,0.06985791421556257,0.337363035454966,-0.0001593462643539221,47
groundtruth\series\Counter-Strike_2.csv,breakout,266.0,999.0,3.755639097744361,13.30451127819549,1040,13,0.2911894132423457,0.389907594339824,0.0006861966505313277,66
groundtruth\series\Customs.csv,stable,437.0,247.0,0.5652173913043478,1.791762013729977,0,9,0.3428160972887186,0.21955944521540616,-0.0002941311910162141,1
groundtruth\series\Cybertruck.csv,breakout,13.0,83.0,6.384615384615385,17.923076923076923,1223,0,0.40170053462404876,0.6461807198991177,0.0010886741269467578,108
groundtruth\series\Death_certificate.csv,stable,230.0,201.0,0.8739130434782608,2.1869565217391305,6,65,0.07910011675754461,0.215457797386526,-9.02909481969752e-05,30
groundtruth\series\Derivative.csv,stable,1939.0,1092.5,0.5634347601856627,1.961320268179474,0,13,0.5563126515474418,0.28227747261181785,-0.00035258830033449044,2
