date,views
2021-07-01,817
2021-07-02,871
2021-07-03,804
2021-07-04,757
2021-07-05,735
2021-07-06,662
2021-07-07,599
2021-07-08,595
2021-07-09,634
2021-07-10,537
2021-07-11,633
2021-07-12,491
2021-07-13,549
2021-07-14,440
2021-07-15,460
2021-07-16,517
2021-07-17,449
2021-07-18,443
2021-07-19,531
2021-07-20,572
2021-07-21,511
2021-07-22,463
2021-07-23,534
2021-07-24,488
2021-07-25,472
2021-07-26,576
2021-07-27,551
2021-07-28,474
2021-07-29,535
2021-07-30,548
2021-07-31,558
2021-08-01,516
2021-08-02,493
2021-08-03,514
2021-08-04,467
2021-08-05,354
2021-08-06,348
2021-08-07,350
2021-08-08,385
2021-08-09,773
2021-08-10,719
2021-08-11,1509
2021-08-12,1263
2021-08-13,796
2021-08-14,594
2021-08-15,680
2021-08-16,972
2021-08-17,866
2021-08-18,795
2021-08-19,715
2021-08-20,538
2021-08-21,518
2021-08-22,637
2021-08-23,583
2021-08-24,656
2021-08-25,638
2021-08-26,649
2021-08-27,673
2021-08-28,566
2021-08-29,750
2021-08-30,707
2021-08-31,767
2021-09-01,766
2021-09-02,708
2021-09-03,726
2021-09-04,755
2021-09-05,843
2021-09-06,785
2021-09-07,878
2021-09-08,819
2021-09-09,752
2021-09-10,641
2021-09-11,616
2021-09-12,584
2021-09-13,583
2021-09-14,651
2021-09-15,550
2021-09-16,560
2021-09-17,620
2021-09-18,603
2021-09-19,691
2021-09-20,625
2021-09-21,753
2021-09-22,828
2021-09-23,866
2021-09-24,709
2021-09-25,666
2021-09-26,585
2021-09-27,512
2021-09-28,559
2021-09-29,467
2021-09-30,455
2021-10-01,415
2021-10-02,408
2021-10-03,462
2021-10-04,413
2021-10-05,427
2021-10-06,469
2021-10-07,492
2021-10-08,483
2021-10-09,698
2021-10-10,740
2021-10-11,561
2021-10-12,485
2021-10-13,424
2021-10-14,488
2021-10-15,486
2021-10-16,422
2021-10-17,729
2021-10-18,521
2021-10-19,457
2021-10-20,528
2021-10-21,435
2021-10-22,658
2021-10-23,407
2021-10-24,476
2021-10-25,463
2021-10-26,385
2021-10-27,337
2021-10-28,378
2021-10-29,379
2021-10-30,357
2021-10-31,397
2021-11-01,432
2021-11-02,429
2021-11-03,377
2021-11-04,434
2021-11-05,414
2021-11-06,388
2021-11-07,376
2021-11-08,376
2021-11-09,414
2021-11-10,439
2021-11-11,288
2021-11-12,298
2021-11-13,322
2021-11-14,348
2021-11-15,343
2021-11-16,389
2021-11-17,430
2021-11-18,559
2021-11-19,476
2021-11-20,379
2021-11-21,414
2021-11-22,629
2021-11-23,726
2021-11-24,594
2021-11-25,553
2021-11-26,569
2021-11-27,598
2021-11-28,554
2021-11-29,543
2021-11-30,520
2021-12-01,2687
2021-12-02,1259
2021-12-03,659
2021-12-04,578
2021-12-05,946
2021-12-06,959
2021-12-07,1949
2021-12-08,1176
2021-12-09,1013
2021-12-10,840
2021-12-11,992
2021-12-12,859
2021-12-13,773
2021-12-14,739
2021-12-15,726
2021-12-16,745
2021-12-17,945
2021-12-18,723
2021-12-19,631
2021-12-20,690
2021-12-21,666
2021-12-22,520
2021-12-23,558
2021-12-24,495
2021-12-25,589
2021-12-26,714
2021-12-27,780
2021-12-28,836
2021-12-29,7417
2021-12-30,8413
2021-12-31,4569
2022-01-01,3392
2022-01-02,3715
2022-01-03,3394
2022-01-04,2895
2022-01-05,2512
2022-01-06,2322
2022-01-07,1993
2022-01-08,1431
2022-01-09,1949
2022-01-10,1564
2022-01-11,1430
2022-01-12,1205
2022-01-13,1239
2022-01-14,1278
2022-01-15,1137
2022-01-16,1616
2022-01-17,1254
2022-01-18,1375
2022-01-19,1493
2022-01-20,1139
2022-01-21,979
2022-01-22,931
2022-01-23,982
2022-01-24,951
2022-01-25,1256
2022-01-26,1447
2022-01-27,1459
2022-01-28,1457
2022-01-29,1307
2022-01-30,1410
2022-01-31,1750
2022-02-01,1368
2022-02-02,1389
2022-02-03,1147
2022-02-04,1150
2022-02-05,1180
2022-02-06,1189
2022-02-07,1082
2022-02-08,932
2022-02-09,877
2022-02-10,899
2022-02-11,1069
2022-02-12,1193
2022-02-13,1115
2022-02-14,801
2022-02-15,1019
2022-02-16,1208
2022-02-17,1108
2022-02-18,1007
2022-02-19,1442
2022-02-20,3189
2022-02-21,1756
2022-02-22,1720
2022-02-23,1623
2022-02-24,1307
2022-02-25,1173
2022-02-26,1180
2022-02-27,1152
2022-02-28,1284
2022-03-01,1315
2022-03-02,1217
2022-03-03,1233
2022-03-04,1268
2022-03-05,1100
2022-03-06,1125
2022-03-07,1205
2022-03-08,1434
2022-03-09,1271
2022-03-10,1328
2022-03-11,1305
2022-03-12,1179
2022-03-13,1247
2022-03-14,1224
2022-03-15,1169
2022-03-16,1514
2022-03-17,4822
2022-03-18,4437
2022-03-19,2959
2022-03-20,2653
2022-03-21,2522
2022-03-22,2323
2022-03-23,2426
2022-03-24,3000
2022-03-25,3224
2022-03-26,2579
2022-03-27,2778
2022-03-28,2372
2022-03-29,2957
2022-03-30,3320
2022-03-31,3414
2022-04-01,3429
2022-04-02,3851
2022-04-03,3614
2022-04-04,3826
2022-04-05,2964
2022-04-06,2929
2022-04-07,4240
2022-04-08,4995
2022-04-09,3522
2022-04-10,4239
2022-04-11,4058
2022-04-12,5063
2022-04-13,6029
