date,views
2021-07-01,3615
2021-07-02,3598
2021-07-03,3200
2021-07-04,3169
2021-07-05,3426
2021-07-06,3578
2021-07-07,3897
2021-07-08,3558
2021-07-09,3741
2021-07-10,3332
2021-07-11,3477
2021-07-12,3458
2021-07-13,3936
2021-07-14,3816
2021-07-15,3692
2021-07-16,3388
2021-07-17,3274
2021-07-18,3375
2021-07-19,3515
2021-07-20,3267
2021-07-21,3419
2021-07-22,3464
2021-07-23,3338
2021-07-24,3033
2021-07-25,3300
2021-07-26,3638
2021-07-27,3576
2021-07-28,3405
2021-07-29,3821
2021-07-30,3472
2021-07-31,3380
2021-08-01,3659
2021-08-02,3558
2021-08-03,3241
2021-08-04,3496
2021-08-05,3753
2021-08-06,3199
2021-08-07,3408
2021-08-08,5175
2021-08-09,3986
2021-08-10,3860
2021-08-11,4533
2021-08-12,3620
2021-08-13,3474
2021-08-14,3593
2021-08-15,3225
2021-08-16,3576
2021-08-17,3636
2021-08-18,3761
2021-08-19,3820
2021-08-20,3490
2021-08-21,3200
2021-08-22,3766
2021-08-23,3541
2021-08-24,3642
2021-08-25,3777
2021-08-26,3864
2021-08-27,3613
2021-08-28,3225
2021-08-29,3670
2021-08-30,3977
2021-08-31,3652
2021-09-01,3580
2021-09-02,3764
2021-09-03,3517
2021-09-04,4071
2021-09-05,3443
2021-09-06,3768
2021-09-07,5213
2021-09-08,4976
2021-09-09,4360
2021-09-10,3597
2021-09-11,3335
2021-09-12,3364
2021-09-13,3904
2021-09-14,4000
2021-09-15,4248
2021-09-16,4269
2021-09-17,4095
2021-09-18,3200
2021-09-19,3484
2021-09-20,3845
2021-09-21,4139
2021-09-22,4080
2021-09-23,4175
2021-09-24,3943
2021-09-25,3375
2021-09-26,3409
2021-09-27,4009
2021-09-28,4195
2021-09-29,4275
2021-09-30,4141
2021-10-01,3494
2021-10-02,3302
2021-10-03,3570
2021-10-04,4228
2021-10-05,4454
2021-10-06,5277
2021-10-07,4118
2021-10-08,4027
2021-10-09,3872
