date,views
2021-07-01,790
2021-07-02,796
2021-07-03,741
2021-07-04,826
2021-07-05,768
2021-07-06,1330
2021-07-07,792
2021-07-08,772
2021-07-09,832
2021-07-10,793
2021-07-11,763
2021-07-12,780
2021-07-13,823
2021-07-14,795
2021-07-15,697
2021-07-16,737
2021-07-17,721
2021-07-18,760
2021-07-19,1080
2021-07-20,747
2021-07-21,682
2021-07-22,6244
2021-07-23,779
2021-07-24,700
2021-07-25,805
2021-07-26,701
2021-07-27,743
2021-07-28,706
2021-07-29,863
2021-07-30,1222
2021-07-31,1611
2021-08-01,712
2021-08-02,709
2021-08-03,691
2021-08-04,712
2021-08-05,764
2021-08-06,667
2021-08-07,676
2021-08-08,740
2021-08-09,767
2021-08-10,737
2021-08-11,678
2021-08-12,740
2021-08-13,632
2021-08-14,638
2021-08-15,678
2021-08-16,709
2021-08-17,723
2021-08-18,772
2021-08-19,809
2021-08-20,735
2021-08-21,727
2021-08-22,681
2021-08-23,768
2021-08-24,807
2021-08-25,799
2021-08-26,775
2021-08-27,731
2021-08-28,715
2021-08-29,779
2021-08-30,818
2021-08-31,780
2021-09-01,687
2021-09-02,779
2021-09-03,713
2021-09-04,660
2021-09-05,735
2021-09-06,821
2021-09-07,902
2021-09-08,781
2021-09-09,770
2021-09-10,733
2021-09-11,666
2021-09-12,638
2021-09-13,852
2021-09-14,944
2021-09-15,1119
2021-09-16,914
2021-09-17,945
2021-09-18,751
2021-09-19,722
2021-09-20,813
2021-09-21,850
2021-09-22,1067
2021-09-23,906
2021-09-24,735
2021-09-25,727
2021-09-26,695
2021-09-27,990
2021-09-28,892
2021-09-29,912
2021-09-30,1006
2021-10-01,913
2021-10-02,762
2021-10-03,971
2021-10-04,6414
2021-10-05,951
2021-10-06,997
2021-10-07,843
2021-10-08,1014
2021-10-09,785
2021-10-10,847
2021-10-11,1101
2021-10-12,1121
2021-10-13,1041
2021-10-14,1048
2021-10-15,920
2021-10-16,830
2021-10-17,858
2021-10-18,1038
2021-10-19,990
2021-10-20,925
2021-10-21,1072
2021-10-22,977
2021-10-23,846
2021-10-24,832
2021-10-25,1098
2021-10-26,1246
2021-10-27,1249
2021-10-28,1198
2021-10-29,1066
2021-10-30,1086
2021-10-31,1632
2021-11-01,1659
2021-11-02,1257
2021-11-03,1176
2021-11-04,995
2021-11-05,1047
2021-11-06,838
2021-11-07,892
2021-11-08,1134
2021-11-09,1095
2021-11-10,1182
2021-11-11,3011
2021-11-12,1549
2021-11-13,1020
2021-11-14,968
2021-11-15,1057
2021-11-16,991
2021-11-17,1013
2021-11-18,998
2021-11-19,955
2021-11-20,773
2021-11-21,845
2021-11-22,884
2021-11-23,925
2021-11-24,860
2021-11-25,944
2021-11-26,784
2021-11-27,774
2021-11-28,796
2021-11-29,1027
2021-11-30,1194
2021-12-01,1192
2021-12-02,961
2021-12-03,866
2021-12-04,844
2021-12-05,991
2021-12-06,993
2021-12-07,921
2021-12-08,938
2021-12-09,939
2021-12-10,870
2021-12-11,853
2021-12-12,871
2021-12-13,954
2021-12-14,1046
2021-12-15,994
2021-12-16,964
2021-12-17,861
2021-12-18,729
2021-12-19,767
2021-12-20,919
2021-12-21,811
2021-12-22,742
2021-12-23,854
2021-12-24,763
2021-12-25,856
2021-12-26,823
2021-12-27,838
2021-12-28,907
2021-12-29,820
2021-12-30,925
2021-12-31,897
2022-01-01,984
2022-01-02,1049
2022-01-03,1009
2022-01-04,1210
2022-01-05,1334
2022-01-06,1596
2022-01-07,1496
2022-01-08,1171
2022-01-09,1312
2022-01-10,1231
2022-01-11,1151
2022-01-12,1136
2022-01-13,1227
2022-01-14,1123
2022-01-15,874
2022-01-16,1100
2022-01-17,1126
2022-01-18,1246
2022-01-19,1227
2022-01-20,1146
2022-01-21,1107
2022-01-22,1040
2022-01-23,1018
2022-01-24,1230
2022-01-25,1208
2022-01-26,1524
2022-01-27,1423
2022-01-28,1296
2022-01-29,1134
2022-01-30,1292
2022-01-31,1587
2022-02-01,1758
2022-02-02,1685
2022-02-03,1642
2022-02-04,1407
2022-02-05,1442
2022-02-06,1408
2022-02-07,1732
2022-02-08,1720
2022-02-09,1790
2022-02-10,1725
2022-02-11,1842
2022-02-12,1584
2022-02-13,2159
2022-02-14,2102
2022-02-15,4302
2022-02-16,2280
2022-02-17,2446
2022-02-18,2497
2022-02-19,2077
2022-02-20,2573
2022-02-21,3074
2022-02-22,3631
2022-02-23,4214
2022-02-24,5565
2022-02-25,5424
2022-02-26,5108
2022-02-27,5798
2022-02-28,7604
2022-03-01,10499
2022-03-02,5669
2022-03-03,3209
2022-03-04,2483
2022-03-05,2026
2022-03-06,2153
2022-03-07,2121
2022-03-08,1758
2022-03-09,1511
