date,views
2021-07-01,2400
2021-07-02,2486
2021-07-03,2289
2021-07-04,2202
2021-07-05,2265
2021-07-06,2472
2021-07-07,2415
2021-07-08,2382
2021-07-09,2408
2021-07-10,2473
2021-07-11,2068
2021-07-12,2381
2021-07-13,2593
2021-07-14,2768
2021-07-15,2345
2021-07-16,2364
2021-07-17,2149
2021-07-18,2190
2021-07-19,2355
2021-07-20,2610
2021-07-21,2521
2021-07-22,2350
2021-07-23,2189
2021-07-24,1993
2021-07-25,2067
2021-07-26,2312
2021-07-27,2150
2021-07-28,2196
2021-07-29,2796
2021-07-30,2829
2021-07-31,3357
2021-08-01,2893
2021-08-02,2471
2021-08-03,2273
2021-08-04,2739
2021-08-05,2226
2021-08-06,2313
2021-08-07,2134
2021-08-08,2029
2021-08-09,2345
2021-08-10,2294
2021-08-11,2986
2021-08-12,2405
2021-08-13,2595
2021-08-14,2253
2021-08-15,2960
2021-08-16,2675
2021-08-17,2833
2021-08-18,2672
2021-08-19,2832
2021-08-20,2624
2021-08-21,3100
2021-08-22,3027
2021-08-23,2870
2021-08-24,2896
2021-08-25,2898
2021-08-26,2911
2021-08-27,2364
2021-08-28,2299
2021-08-29,2675
2021-08-30,3323
2021-08-31,3260
2021-09-01,3977
2021-09-02,3302
2021-09-03,2949
2021-09-04,2624
2021-09-05,3339
2021-09-06,3611
2021-09-07,3666
2021-09-08,3562
2021-09-09,3488
2021-09-10,2689
2021-09-11,2567
2021-09-12,3610
2021-09-13,3661
2021-09-14,3868
2021-09-15,5011
2021-09-16,4310
2021-09-17,3584
2021-09-18,3031
2021-09-19,3474
2021-09-20,3884
2021-09-21,3963
2021-09-22,5459
2021-09-23,4484
2021-09-24,3366
2021-09-25,2951
2021-09-26,3734
2021-09-27,3663
2021-09-28,3869
2021-09-29,3785
2021-09-30,3617
2021-10-01,3570
2021-10-02,3006
2021-10-03,3304
2021-10-04,3506
2021-10-05,3633
2021-10-06,3801
2021-10-07,3912
2021-10-08,3339
2021-10-09,3193
2021-10-10,3537
2021-10-11,4272
2021-10-12,4126
2021-10-13,4003
2021-10-14,3921
2021-10-15,3720
2021-10-16,3241
2021-10-17,3897
2021-10-18,4473
2021-10-19,4480
2021-10-20,4482
2021-10-21,4446
2021-10-22,3788
2021-10-23,3322
2021-10-24,3732
2021-10-25,4687
2021-10-26,5302
2021-10-27,4891
2021-10-28,4841
2021-10-29,4943
2021-10-30,4199
2021-10-31,5665
2021-11-01,7299
2021-11-02,6781
2021-11-03,6418
2021-11-04,6856
2021-11-05,5993
2021-11-06,5044
2021-11-07,5341
2021-11-08,6751
2021-11-09,6830
2021-11-10,6938
2021-11-11,6618
2021-11-12,6176
2021-11-13,7171
2021-11-14,6494
2021-11-15,8088
2021-11-16,7751
2021-11-17,7664
2021-11-18,8317
2021-11-19,7470
2021-11-20,6677
2021-11-21,8837
2021-11-22,9552
2021-11-23,9967
2021-11-24,10199
2021-11-25,11842
2021-11-26,11060
2021-11-27,10165
2021-11-28,13400
2021-11-29,15880
2021-11-30,18296
2021-12-01,20055
2021-12-02,18840
2021-12-03,17984
2021-12-04,16678
2021-12-05,18622
2021-12-06,21213
2021-12-07,21931
2021-12-08,21846
2021-12-09,22286
2021-12-10,21192
2021-12-11,18132
2021-12-12,20164
2021-12-13,26467
2021-12-14,27675
2021-12-15,26928
2021-12-16,29988
2021-12-17,27839
