date,views
2021-07-01,1165
2021-07-02,1088
2021-07-03,1054
2021-07-04,1145
2021-07-05,1132
2021-07-06,1267
2021-07-07,1086
2021-07-08,1139
2021-07-09,1089
2021-07-10,1149
2021-07-11,1289
2021-07-12,1486
2021-07-13,1078
2021-07-14,1338
2021-07-15,1286
2021-07-16,1115
2021-07-17,1002
2021-07-18,1171
2021-07-19,1109
2021-07-20,1010
2021-07-21,1023
2021-07-22,1057
2021-07-23,1077
2021-07-24,924
2021-07-25,893
2021-07-26,1008
2021-07-27,1004
2021-07-28,933
2021-07-29,954
2021-07-30,1418
2021-07-31,1240
2021-08-01,1449
2021-08-02,982
2021-08-03,838
2021-08-04,904
2021-08-05,951
2021-08-06,915
2021-08-07,814
2021-08-08,816
2021-08-09,1116
2021-08-10,1076
2021-08-11,929
2021-08-12,995
2021-08-13,879
2021-08-14,712
2021-08-15,694
2021-08-16,969
2021-08-17,988
2021-08-18,1032
2021-08-19,1052
2021-08-20,991
2021-08-21,802
2021-08-22,793
2021-08-23,1020
2021-08-24,938
2021-08-25,965
2021-08-26,1282
2021-08-27,916
2021-08-28,841
2021-08-29,780
2021-08-30,945
2021-08-31,1002
2021-09-01,1015
2021-09-02,844
2021-09-03,907
2021-09-04,825
2021-09-05,869
2021-09-06,1117
2021-09-07,1178
2021-09-08,1029
2021-09-09,997
2021-09-10,993
2021-09-11,711
2021-09-12,769
2021-09-13,1035
2021-09-14,1186
2021-09-15,1623
2021-09-16,1385
2021-09-17,1262
2021-09-18,1006
2021-09-19,1054
2021-09-20,1085
2021-09-21,1214
2021-09-22,1163
2021-09-23,1091
2021-09-24,1020
2021-09-25,876
2021-09-26,1024
2021-09-27,1123
2021-09-28,1326
2021-09-29,1226
2021-09-30,1288
2021-10-01,1091
2021-10-02,1007
2021-10-03,992
2021-10-04,1241
2021-10-05,1288
2021-10-06,1305
2021-10-07,1288
2021-10-08,1113
2021-10-09,1176
2021-10-10,1150
2021-10-11,1215
2021-10-12,1111
2021-10-13,1073
2021-10-14,1088
