date,views
2021-07-01,15
2021-07-02,20
2021-07-03,10
2021-07-04,9
2021-07-05,13
2021-07-06,12
2021-07-07,8
2021-07-08,12
2021-07-09,14
2021-07-10,8
2021-07-11,7
2021-07-12,17
2021-07-13,12
2021-07-14,7
2021-07-15,21
2021-07-16,36
2021-07-17,14
2021-07-18,12
2021-07-19,17
2021-07-20,13
2021-07-21,17
2021-07-22,10
2021-07-23,12
2021-07-24,9
2021-07-25,7
2021-07-26,12
2021-07-27,18
2021-07-28,13
2021-07-29,15
2021-07-30,8
2021-07-31,13
2021-08-01,10
2021-08-02,6
2021-08-03,7
2021-08-04,10
2021-08-05,13
2021-08-06,20
2021-08-07,15
2021-08-08,12
2021-08-09,31
2021-08-10,22
2021-08-11,16
2021-08-12,10
2021-08-13,5
2021-08-14,16
2021-08-15,17
2021-08-16,15
2021-08-17,21
2021-08-18,13
2021-08-19,9
2021-08-20,30
2021-08-21,13
2021-08-22,10
2021-08-23,29
2021-08-24,26
2021-08-25,14
2021-08-26,13
2021-08-27,14
2021-08-28,16
2021-08-29,11
2021-08-30,21
2021-08-31,22
2021-09-01,14
2021-09-02,21
2021-09-03,26
2021-09-04,2
2021-09-05,6
2021-09-06,8
2021-09-07,14
2021-09-08,12
2021-09-09,11
2021-09-10,16
2021-09-11,11
2021-09-12,7
2021-09-13,13
2021-09-14,20
2021-09-15,20
2021-09-16,11
2021-09-17,9
2021-09-18,14
2021-09-19,10
2021-09-20,26
2021-09-21,23
2021-09-22,11
2021-09-23,11
2021-09-24,10
2021-09-25,12
2021-09-26,9
2021-09-27,15
2021-09-28,30
2021-09-29,24
2021-09-30,26
2021-10-01,21
2021-10-02,15
2021-10-03,34
2021-10-04,33
2021-10-05,20
2021-10-06,28
2021-10-07,16
2021-10-08,10
2021-10-09,15
2021-10-10,9
2021-10-11,23
2021-10-12,21
2021-10-13,21
2021-10-14,9
2021-10-15,10
2021-10-16,16
2021-10-17,20
2021-10-18,15
2021-10-19,15
2021-10-20,17
2021-10-21,10
2021-10-22,16
2021-10-23,13
2021-10-24,10
2021-10-25,26
2021-10-26,17
2021-10-27,19
2021-10-28,18
2021-10-29,25
2021-10-30,22
2021-10-31,19
2021-11-01,22
2021-11-02,20
2021-11-03,8
2021-11-04,14
2021-11-05,84
2021-11-06,22
2021-11-07,22
2021-11-08,5
2021-11-09,18
2021-11-10,13
2021-11-11,14
2021-11-12,15
2021-11-13,12
2021-11-14,17
2021-11-15,25
2021-11-16,10
2021-11-17,21
2021-11-18,9
2021-11-19,10
2021-11-20,14
2021-11-21,19
2021-11-22,14
2021-11-23,19
2021-11-24,22
2021-11-25,13
2021-11-26,9
2021-11-27,17
2021-11-28,12
2021-11-29,19
2021-11-30,22
2021-12-01,24
2021-12-02,26
2021-12-03,31
2021-12-04,23
2021-12-05,15
2021-12-06,23
2021-12-07,28
2021-12-08,21
2021-12-09,26
2021-12-10,29
2021-12-11,23
2021-12-12,10
2021-12-13,27
2021-12-14,26
2021-12-15,23
2021-12-16,14
2021-12-17,22
2021-12-18,17
2021-12-19,17
2021-12-20,11
2021-12-21,17
2021-12-22,16
2021-12-23,7
2021-12-24,11
2021-12-25,9
2021-12-26,12
2021-12-27,16
2021-12-28,8
2021-12-29,12
2021-12-30,21
2021-12-31,8
2022-01-01,25
2022-01-02,8
2022-01-03,23
2022-01-04,22
2022-01-05,13
2022-01-06,17
2022-01-07,20
2022-01-08,16
2022-01-09,15
2022-01-10,18
2022-01-11,11
2022-01-12,34
2022-01-13,24
2022-01-14,26
2022-01-15,23
2022-01-16,19
