date,views
2021-07-01,2294
2021-07-02,2562
2021-07-03,1864
2021-07-04,1601
2021-07-05,1931
2021-07-06,1985
2021-07-07,1947
2021-07-08,1974
2021-07-09,1822
2021-07-10,1536
2021-07-11,1617
2021-07-12,1939
2021-07-13,2169
2021-07-14,2132
2021-07-15,2046
2021-07-16,1659
2021-07-17,1476
2021-07-18,1427
2021-07-19,1839
2021-07-20,1744
2021-07-21,1643
2021-07-22,1774
2021-07-23,1753
2021-07-24,1466
2021-07-25,1361
2021-07-26,1695
2021-07-27,1818
2021-07-28,1730
2021-07-29,1703
2021-07-30,1521
2021-07-31,1293
2021-08-01,1485
2021-08-02,1765
2021-08-03,1577
2021-08-04,1724
2021-08-05,2011
2021-08-06,1553
2021-08-07,1432
2021-08-08,1452
2021-08-09,1816
2021-08-10,1735
2021-08-11,1785
2021-08-12,1878
2021-08-13,1652
2021-08-14,1438
2021-08-15,1348
2021-08-16,1700
2021-08-17,1733
2021-08-18,2049
2021-08-19,1882
2021-08-20,1763
2021-08-21,1410
2021-08-22,1402
2021-08-23,1976
2021-08-24,2006
2021-08-25,2184
2021-08-26,2164
2021-08-27,1872
2021-08-28,1515
2021-08-29,1582
2021-08-30,2068
2021-08-31,2144
2021-09-01,2181
2021-09-02,2240
2021-09-03,2071
2021-09-04,1535
2021-09-05,1815
2021-09-06,2108
2021-09-07,2428
2021-09-08,2448
2021-09-09,2404
2021-09-10,2240
2021-09-11,1821
2021-09-12,1881
2021-09-13,2471
2021-09-14,2581
2021-09-15,2856
2021-09-16,2613
2021-09-17,2455
2021-09-18,1805
2021-09-19,1938
2021-09-20,2500
2021-09-21,2641
2021-09-22,2727
2021-09-23,2698
2021-09-24,2544
2021-09-25,2023
2021-09-26,2020
2021-09-27,2830
2021-09-28,2896
2021-09-29,2700
2021-09-30,2738
2021-10-01,2566
2021-10-02,1884
2021-10-03,2072
2021-10-04,2763
2021-10-05,2903
2021-10-06,2778
2021-10-07,2610
2021-10-08,2477
2021-10-09,2055
2021-10-10,2029
2021-10-11,2588
2021-10-12,2667
2021-10-13,2567
2021-10-14,2654
2021-10-15,2303
2021-10-16,1947
2021-10-17,2086
2021-10-18,2588
2021-10-19,2636
2021-10-20,2906
2021-10-21,2660
2021-10-22,2481
2021-10-23,1844
2021-10-24,2123
2021-10-25,2958
2021-10-26,2711
2021-10-27,2867
2021-10-28,2598
2021-10-29,2299
2021-10-30,1792
2021-10-31,1885
2021-11-01,2449
2021-11-02,2416
2021-11-03,2509
2021-11-04,2438
2021-11-05,2129
2021-11-06,1773
2021-11-07,1997
2021-11-08,2502
2021-11-09,2734
2021-11-10,2587
2021-11-11,2245
2021-11-12,2195
2021-11-13,1802
2021-11-14,1893
2021-11-15,2309
2021-11-16,2394
2021-11-17,2622
2021-11-18,2482
2021-11-19,2206
2021-11-20,1800
2021-11-21,2064
2021-11-22,2230
2021-11-23,2365
2021-11-24,2270
2021-11-25,2273
2021-11-26,1963
2021-11-27,1726
2021-11-28,1914
2021-11-29,2332
2021-11-30,2193
2021-12-01,2508
2021-12-02,2284
2021-12-03,2134
2021-12-04,1851
2021-12-05,1965
2021-12-06,2510
2021-12-07,2459
2021-12-08,2410
2021-12-09,2468
2021-12-10,2076
2021-12-11,1863
2021-12-12,1944
2021-12-13,2335
2021-12-14,2371
2021-12-15,2272
2021-12-16,2098
2021-12-17,1960
2021-12-18,1656
2021-12-19,1649
2021-12-20,1967
2021-12-21,1849
2021-12-22,1724
2021-12-23,1602
2021-12-24,1311
2021-12-25,1223
2021-12-26,1303
2021-12-27,1472
2021-12-28,1597
2021-12-29,1516
2021-12-30,1547
2021-12-31,1177
2022-01-01,1273
2022-01-02,1512
2022-01-03,1791
2022-01-04,1883
2022-01-05,2186
2022-01-06,1942
2022-01-07,1935
2022-01-08,1686
2022-01-09,1767
2022-01-10,2239
2022-01-11,2120
2022-01-12,2112
2022-01-13,2226
2022-01-14,1869
2022-01-15,1612
2022-01-16,1689
2022-01-17,2122
2022-01-18,2443
2022-01-19,2344
2022-01-20,2271
2022-01-21,2083
2022-01-22,1860
2022-01-23,1815
2022-01-24,2275
2022-01-25,2334
2022-01-26,2366
2022-01-27,2517
2022-01-28,2238
2022-01-29,1756
2022-01-30,1778
2022-01-31,2441
2022-02-01,2377
2022-02-02,2386
2022-02-03,2327
2022-02-04,2143
2022-02-05,1759
2022-02-06,1842
2022-02-07,2566
2022-02-08,2642
2022-02-09,2567
2022-02-10,2623
2022-02-11,2556
2022-02-12,2407
2022-02-13,2223
2022-02-14,2514
2022-02-15,2308
2022-02-16,2325
2022-02-17,2365
2022-02-18,2182
2022-02-19,1740
2022-02-20,1896
2022-02-21,2446
2022-02-22,2516
2022-02-23,2485
2022-02-24,2244
2022-02-25,1879
2022-02-26,1695
2022-02-27,1672
2022-02-28,2042
2022-03-01,2197
2022-03-02,2244
2022-03-03,2181
2022-03-04,1866
2022-03-05,1791
2022-03-06,1686
2022-03-07,2103
2022-03-08,2236
2022-03-09,2247
2022-03-10,2009
2022-03-11,1782
2022-03-12,1674
2022-03-13,1830
2022-03-14,2064
2022-03-15,2194
2022-03-16,2231
2022-03-17,2164
2022-03-18,1984
2022-03-19,1617
2022-03-20,1625
2022-03-21,2236
2022-03-22,2269
2022-03-23,2347
2022-03-24,2190
2022-03-25,1993
2022-03-26,2780
2022-03-27,2922
2022-03-28,2495
2022-03-29,2128
2022-03-30,2294
2022-03-31,2527
2022-04-01,1935
2022-04-02,1565
2022-04-03,1550
2022-04-04,2257
2022-04-05,2202
2022-04-06,2138
2022-04-07,2217
2022-04-08,1957
2022-04-09,1503
2022-04-10,1711
2022-04-11,2074
2022-04-12,2043
2022-04-13,1864
2022-04-14,1739
2022-04-15,1622
2022-04-16,1480
2022-04-17,1600
2022-04-18,1948
2022-04-19,2112
