date,views
2021-07-01,1374
2021-07-02,1582
2021-07-03,1195
2021-07-04,1422
2021-07-05,1330
2021-07-06,1265
2021-07-07,1451
2021-07-08,1379
2021-07-09,1264
2021-07-10,1332
2021-07-11,1158
2021-07-12,1161
2021-07-13,1171
2021-07-14,1136
2021-07-15,1116
2021-07-16,1331
2021-07-17,1016
2021-07-18,1102
2021-07-19,1303
2021-07-20,1287
2021-07-21,1205
2021-07-22,1307
2021-07-23,1069
2021-07-24,1078
2021-07-25,1221
2021-07-26,1061
2021-07-27,1004
2021-07-28,1170
2021-07-29,1044
2021-07-30,1068
2021-07-31,2275
2021-08-01,1112
2021-08-02,1385
2021-08-03,1420
2021-08-04,1651
2021-08-05,944
2021-08-06,1086
2021-08-07,913
2021-08-08,960
2021-08-09,1391
2021-08-10,1083
2021-08-11,1134
2021-08-12,1621
2021-08-13,1031
2021-08-14,1064
2021-08-15,1158
2021-08-16,1605
2021-08-17,1200
2021-08-18,1319
2021-08-19,1207
2021-08-20,1195
2021-08-21,1155
2021-08-22,1247
2021-08-23,1262
2021-08-24,1315
2021-08-25,1184
2021-08-26,1253
2021-08-27,1230
2021-08-28,1685
2021-08-29,1165
2021-08-30,1327
2021-08-31,1312
2021-09-01,1335
2021-09-02,1489
2021-09-03,1216
2021-09-04,1100
2021-09-05,1319
2021-09-06,1576
2021-09-07,1351
2021-09-08,2510
2021-09-09,1437
2021-09-10,1161
2021-09-11,1159
2021-09-12,1275
2021-09-13,1646
2021-09-14,1453
2021-09-15,2108
2021-09-16,3270
2021-09-17,1900
2021-09-18,1238
2021-09-19,1527
2021-09-20,1696
2021-09-21,1531
2021-09-22,2334
2021-09-23,1533
2021-09-24,1272
2021-09-25,1144
2021-09-26,1340
2021-09-27,1440
2021-09-28,1597
2021-09-29,1497
2021-09-30,1487
2021-10-01,1375
2021-10-02,1119
2021-10-03,1416
2021-10-04,1314
2021-10-05,1379
2021-10-06,1407
2021-10-07,1305
2021-10-08,1200
2021-10-09,1157
2021-10-10,1289
2021-10-11,1464
2021-10-12,1485
2021-10-13,1416
2021-10-14,1481
2021-10-15,1383
2021-10-16,1373
2021-10-17,1426
2021-10-18,1515
2021-10-19,1597
2021-10-20,1597
2021-10-21,1508
2021-10-22,1357
2021-10-23,1316
2021-10-24,1431
2021-10-25,1654
2021-10-26,1616
2021-10-27,1615
2021-10-28,1691
2021-10-29,1708
2021-10-30,1614
2021-10-31,2118
2021-11-01,2102
2021-11-02,1886
2021-11-03,1723
2021-11-04,1599
2021-11-05,1532
2021-11-06,1401
2021-11-07,1461
2021-11-08,1964
2021-11-09,1779
2021-11-10,1585
2021-11-11,1803
2021-11-12,1562
2021-11-13,1255
2021-11-14,1442
2021-11-15,1770
2021-11-16,1757
2021-11-17,1740
2021-11-18,1662
2021-11-19,1558
2021-11-20,1272
2021-11-21,1586
2021-11-22,1824
2021-11-23,1737
2021-11-24,1825
2021-11-25,2094
2021-11-26,1764
2021-11-27,1505
2021-11-28,1867
2021-11-29,2316
2021-11-30,1891
2021-12-01,1833
2021-12-02,1914
2021-12-03,1710
2021-12-04,1632
2021-12-05,1810
2021-12-06,2090
2021-12-07,2043
2021-12-08,1955
2021-12-09,1895
2021-12-10,2014
2021-12-11,1562
2021-12-12,1806
2021-12-13,2029
2021-12-14,2001
2021-12-15,2185
2021-12-16,1965
2021-12-17,1699
2021-12-18,1577
2021-12-19,1818
2021-12-20,2078
2021-12-21,2074
2021-12-22,1869
2021-12-23,2077
2021-12-24,3007
2021-12-25,3518
2021-12-26,2834
2021-12-27,2453
2021-12-28,2209
2021-12-29,2091
2021-12-30,1920
2021-12-31,2281
2022-01-01,2739
2022-01-02,2825
2022-01-03,2668
2022-01-04,2761
2022-01-05,2310
2022-01-06,2503
2022-01-07,2348
2022-01-08,2045
2022-01-09,2188
2022-01-10,2464
2022-01-11,2273
2022-01-12,2266
2022-01-13,2325
2022-01-14,2175
2022-01-15,1939
2022-01-16,2255
2022-01-17,2161
2022-01-18,2314
2022-01-19,2166
2022-01-20,2123
2022-01-21,1972
2022-01-22,1819
2022-01-23,2287
2022-01-24,2364
2022-01-25,2443
2022-01-26,2298
2022-01-27,2438
2022-01-28,2367
2022-01-29,2145
2022-01-30,2609
2022-01-31,2668
2022-02-01,2720
2022-02-02,3092
2022-02-03,2695
2022-02-04,2466
2022-02-05,2498
2022-02-06,2812
2022-02-07,2958
2022-02-08,2857
2022-02-09,3054
2022-02-10,3016
2022-02-11,2808
2022-02-12,2774
2022-02-13,3597
2022-02-14,3745
2022-02-15,3868
2022-02-16,3727
2022-02-17,3810
2022-02-18,3691
2022-02-19,3654
2022-02-20,4310
2022-02-21,4545
2022-02-22,4377
2022-02-23,5312
2022-02-24,4386
2022-02-25,3840
2022-02-26,3971
2022-02-27,5165
2022-02-28,5637
2022-03-01,7554
2022-03-02,8745
2022-03-03,6576
2022-03-04,5155
2022-03-05,5090
2022-03-06,6020
2022-03-07,5921
2022-03-08,5433
2022-03-09,5382
2022-03-10,5611
2022-03-11,5404
2022-03-12,5131
2022-03-13,6113
2022-03-14,6310
2022-03-15,5997
2022-03-16,6378
2022-03-17,7101
2022-03-18,6596
2022-03-19,5805
2022-03-20,7864
2022-03-21,8214
2022-03-22,8038
2022-03-23,8000
2022-03-24,7493
2022-03-25,7846
2022-03-26,6996
2022-03-27,9353
2022-03-28,9919
2022-03-29,9782
2022-03-30,10067
2022-03-31,12341
2022-04-01,12119
2022-04-02,11483
2022-04-03,13214
2022-04-04,15204
2022-04-05,15043
2022-04-06,14850
2022-04-07,15984
2022-04-08,17128
2022-04-09,16268
2022-04-10,24888
2022-04-11,27516
2022-04-12,27558
2022-04-13,35447
2022-04-14,56065
2022-04-15,88415
2022-04-16,98507
2022-04-17,241433
2022-04-18,80191
2022-04-19,25584
2022-04-20,14549
2022-04-21,11373
2022-04-22,9820
2022-04-23,11329
2022-04-24,22152
2022-04-25,9064
2022-04-26,5389
2022-04-27,4214
2022-04-28,3727
2022-04-29,3026
2022-04-30,2669
2022-05-01,2987
2022-05-02,3108
2022-05-03,3171
2022-05-04,2875
2022-05-05,2395
2022-05-06,2024
2022-05-07,1950
2022-05-08,2174
2022-05-09,2293
2022-05-10,2412
2022-05-11,1985
2022-05-12,1731
2022-05-13,1636
2022-05-14,1491
2022-05-15,1542
2022-05-16,1785
2022-05-17,1795
2022-05-18,1585
2022-05-19,1662
2022-05-20,1484
2022-05-21,1300
2022-05-22,1469
2022-05-23,1647
2022-05-24,1725
2022-05-25,1984
2022-05-26,2500
2022-05-27,1389
2022-05-28,1287
2022-05-29,1417
2022-05-30,1492
2022-05-31,1496
2022-06-01,1546
2022-06-02,1579
2022-06-03,1428
2022-06-04,1285
2022-06-05,1692
2022-06-06,1758
2022-06-07,1493
2022-06-08,1268
2022-06-09,1397
2022-06-10,1355
2022-06-11,1118
2022-06-12,1412
2022-06-13,1261
2022-06-14,1331
2022-06-15,1337
2022-06-16,1246
2022-06-17,1245
2022-06-18,1144
2022-06-19,1246
2022-06-20,1279
2022-06-21,1256
2022-06-22,1149
2022-06-23,1119
2022-06-24,1113
2022-06-25,1235
2022-06-26,1153
2022-06-27,1324
2022-06-28,1062
2022-06-29,1314
2022-06-30,1070
2022-07-01,1029
2022-07-02,966
2022-07-03,1040
2022-07-04,1298
2022-07-05,1176
2022-07-06,1473
2022-07-07,1276
2022-07-08,1376
2022-07-09,1062
2022-07-10,1207
2022-07-11,1295
2022-07-12,1215
2022-07-13,1891
2022-07-14,1233
2022-07-15,1205
2022-07-16,1129
2022-07-17,1226
2022-07-18,1215
2022-07-19,1290
2022-07-20,1217
2022-07-21,1569
2022-07-22,1363
2022-07-23,1140
2022-07-24,1257
2022-07-25,1410
2022-07-26,1379
2022-07-27,1754
2022-07-28,1421
2022-07-29,1317
2022-07-30,1298
2022-07-31,1418
2022-08-01,1435
2022-08-02,1602
2022-08-03,2403
2022-08-04,2335
2022-08-05,2448
2022-08-06,2324
2022-08-07,2248
2022-08-08,2599
2022-08-09,2312
2022-08-10,2405
2022-08-11,2686
2022-08-12,2233
2022-08-13,2218
2022-08-14,2219
2022-08-15,2447
2022-08-16,1935
2022-08-17,1950
2022-08-18,1459
2022-08-19,1646
2022-08-20,1425
2022-08-21,1680
2022-08-22,1646
2022-08-23,1964
2022-08-24,1942
2022-08-25,1736
2022-08-26,1521
2022-08-27,1465
2022-08-28,1968
2022-08-29,1791
2022-08-30,2328
2022-08-31,1909
2022-09-01,1604
2022-09-02,2881
2022-09-03,1333
2022-09-04,1574
2022-09-05,1685
2022-09-06,1656
2022-09-07,1711
2022-09-08,1885
2022-09-09,1563
2022-09-10,1647
2022-09-11,1912
2022-09-12,1988
2022-09-13,1853
2022-09-14,1967
2022-09-15,1774
2022-09-16,1798
2022-09-17,1724
2022-09-18,1866
2022-09-19,1930
2022-09-20,1782
2022-09-21,1792
2022-09-22,1725
2022-09-23,1596
2022-09-24,1733
2022-09-25,1720
2022-09-26,1771
2022-09-27,2677
2022-09-28,1674
2022-09-29,1805
2022-09-30,1527
2022-10-01,1761
2022-10-02,1670
2022-10-03,1722
2022-10-04,2023
2022-10-05,1739
2022-10-06,1675
2022-10-07,1800
2022-10-08,1632
2022-10-09,2056
2022-10-10,2141
2022-10-11,1639
2022-10-12,1636
2022-10-13,1550
2022-10-14,1633
2022-10-15,1649
2022-10-16,1923
2022-10-17,1987
2022-10-18,1734
2022-10-19,1705
2022-10-20,1873
2022-10-21,1810
2022-10-22,1789
2022-10-23,1899
2022-10-24,2026
2022-10-25,2062
2022-10-26,1944
2022-10-27,2122
2022-10-28,1885
2022-10-29,2155
2022-10-30,2369
2022-10-31,3142
2022-11-01,2584
2022-11-02,2247
2022-11-03,2133
2022-11-04,1962
2022-11-05,1671
2022-11-06,2014
2022-11-07,2298
2022-11-08,2306
2022-11-09,2101
2022-11-10,2039
2022-11-11,1977
2022-11-12,1936
2022-11-13,1892
2022-11-14,2188
2022-11-15,2054
2022-11-16,2230
2022-11-17,2148
2022-11-18,1818
2022-11-19,2734
2022-11-20,2895
2022-11-21,2679
2022-11-22,2497
2022-11-23,2333
2022-11-24,4036
2022-11-25,5729
2022-11-26,3890
2022-11-27,2170
2022-11-28,2528
2022-11-29,2586
2022-11-30,2534
2022-12-01,2318
2022-12-02,2011
2022-12-03,2482
2022-12-04,2229
2022-12-05,2514
2022-12-06,2069
2022-12-07,2871
2022-12-08,3130
2022-12-09,3585
2022-12-10,2897
2022-12-11,1865
2022-12-12,2058
2022-12-13,2317
2022-12-14,2179
2022-12-15,1949
2022-12-16,1849
2022-12-17,1702
2022-12-18,1862
2022-12-19,2879
2022-12-20,2569
2022-12-21,1949
2022-12-22,2166
2022-12-23,3683
2022-12-24,3444
2022-12-25,4083
2022-12-26,4468
2022-12-27,3835
2022-12-28,2713
2022-12-29,2043
2022-12-30,2104
2022-12-31,2526
2023-01-01,4077
2023-01-02,3714
2023-01-03,4938
2023-01-04,2660
2023-01-05,2796
2023-01-06,2685
2023-01-07,6522
2023-01-08,3200
2023-01-09,2962
2023-01-10,2800
2023-01-11,2670
2023-01-12,2793
2023-01-13,2693
2023-01-14,2719
2023-01-15,3437
2023-01-16,3131
2023-01-17,3056
2023-01-18,2999
2023-01-19,3063
2023-01-20,2787
2023-01-21,4026
2023-01-22,4154
2023-01-23,3405
2023-01-24,3326
2023-01-25,3532
2023-01-26,3513
2023-01-27,3417
2023-01-28,3264
2023-01-29,6218
2023-01-30,6222
2023-01-31,6599
2023-02-01,4343
2023-02-02,4140
2023-02-03,4508
2023-02-04,7070
2023-02-05,4723
2023-02-06,4617
2023-02-07,7676
2023-02-08,7662
2023-02-09,4477
2023-02-10,3992
2023-02-11,3682
2023-02-12,4561
2023-02-13,4768
2023-02-14,6788
2023-02-15,5311
2023-02-16,5596
2023-02-17,7165
2023-02-18,6288
2023-02-19,7470
2023-02-20,8655
2023-02-21,9998
2023-02-22,12656
2023-02-23,10202
2023-02-24,7673
2023-02-25,7109
2023-02-26,8742
2023-02-27,8669
2023-02-28,8419
2023-03-01,7617
2023-03-02,7271
2023-03-03,6277
2023-03-04,6988
2023-03-05,7934
2023-03-06,7985
2023-03-07,7979
2023-03-08,10114
2023-03-09,9281
2023-03-10,8503
2023-03-11,10137
2023-03-12,12155
2023-03-13,11889
2023-03-14,11284
2023-03-15,10097
2023-03-16,10039
2023-03-17,11694
2023-03-18,11390
2023-03-19,13736
2023-03-20,16460
2023-03-21,17866
2023-03-22,17112
2023-03-23,16868
2023-03-24,16825
2023-03-25,15489
2023-03-26,20474
2023-03-27,23204
2023-03-28,21473
2023-03-29,24465
2023-03-30,26281
2023-03-31,28614
2023-04-01,30280
2023-04-02,43075
2023-04-03,42911
2023-04-04,38620
2023-04-05,36229
2023-04-06,55546
2023-04-07,82773
2023-04-08,82414
2023-04-09,200105
2023-04-10,71882
2023-04-11,22732
2023-04-12,12779
2023-04-13,10111
2023-04-14,10013
2023-04-15,11865
2023-04-16,17016
2023-04-17,8861
2023-04-18,5863
2023-04-19,5018
2023-04-20,5867
2023-04-21,5266
2023-04-22,4386
2023-04-23,5377
2023-04-24,4359
2023-04-25,3892
2023-04-26,3732
2023-04-27,3279
2023-04-28,3017
2023-04-29,2872
2023-04-30,3142
2023-05-01,3536
2023-05-02,3248
2023-05-03,3135
2023-05-04,3200
2023-05-05,3595
2023-05-06,3044
2023-05-07,3977
2023-05-08,4502
2023-05-09,3999
2023-05-10,3225
2023-05-11,3338
2023-05-12,3613
2023-05-13,5169
2023-05-14,9026
2023-05-15,3150
2023-05-16,2578
2023-05-17,2617
2023-05-18,2986
2023-05-19,2021
2023-05-20,1924
2023-05-21,2464
2023-05-22,2222
2023-05-23,2262
2023-05-24,2224
2023-05-25,2242
