date,views
2021-07-01,1499
2021-07-02,1489
2021-07-03,1131
2021-07-04,1129
2021-07-05,1319
2021-07-06,1326
2021-07-07,1441
2021-07-08,1338
2021-07-09,1352
2021-07-10,1262
2021-07-11,1177
2021-07-12,1425
2021-07-13,1447
2021-07-14,1750
2021-07-15,1474
2021-07-16,1406
2021-07-17,1303
2021-07-18,1350
2021-07-19,1679
2021-07-20,1324
2021-07-21,1394
2021-07-22,1518
2021-07-23,1655
2021-07-24,1173
2021-07-25,1187
2021-07-26,1491
2021-07-27,1695
2021-07-28,1833
2021-07-29,2217
2021-07-30,1176
2021-07-31,1182
2021-08-01,1272
2021-08-02,1413
2021-08-03,1291
2021-08-04,1339
2021-08-05,1345
2021-08-06,1095
2021-08-07,1001
2021-08-08,1023
2021-08-09,1196
2021-08-10,1365
2021-08-11,1138
2021-08-12,1245
2021-08-13,1184
2021-08-14,1074
2021-08-15,1126
2021-08-16,1156
2021-08-17,1277
2021-08-18,1174
2021-08-19,1144
2021-08-20,1132
2021-08-21,968
2021-08-22,961
2021-08-23,1496
2021-08-24,1190
2021-08-25,1225
2021-08-26,1320
2021-08-27,1191
2021-08-28,1126
2021-08-29,978
2021-08-30,1209
2021-08-31,1224
2021-09-01,1320
2021-09-02,1200
2021-09-03,1238
2021-09-04,922
2021-09-05,968
2021-09-06,1267
2021-09-07,1131
2021-09-08,1221
2021-09-09,1235
2021-09-10,998
2021-09-11,886
2021-09-12,984
2021-09-13,1122
2021-09-14,1193
2021-09-15,1302
2021-09-16,1377
2021-09-17,1518
2021-09-18,1204
2021-09-19,1084
2021-09-20,1222
2021-09-21,1589
2021-09-22,1613
2021-09-23,1443
2021-09-24,1299
2021-09-25,1093
2021-09-26,983
2021-09-27,1285
2021-09-28,1330
2021-09-29,1270
2021-09-30,1352
2021-10-01,1396
2021-10-02,1048
2021-10-03,1181
2021-10-04,1330
2021-10-05,1390
2021-10-06,1285
2021-10-07,1450
2021-10-08,1569
2021-10-09,1116
2021-10-10,1068
2021-10-11,1343
2021-10-12,1353
2021-10-13,1216
2021-10-14,1149
2021-10-15,1087
2021-10-16,1017
2021-10-17,1211
2021-10-18,2478
2021-10-19,1507
2021-10-20,1378
2021-10-21,1367
2021-10-22,1354
2021-10-23,1164
2021-10-24,1285
2021-10-25,1426
2021-10-26,1486
2021-10-27,1353
2021-10-28,1303
2021-10-29,1450
2021-10-30,1096
2021-10-31,1169
2021-11-01,1408
2021-11-02,1353
2021-11-03,1292
2021-11-04,1151
2021-11-05,1115
2021-11-06,1033
2021-11-07,1136
2021-11-08,1512
2021-11-09,1692
2021-11-10,1574
2021-11-11,1439
2021-11-12,1316
2021-11-13,1178
2021-11-14,1190
2021-11-15,1450
2021-11-16,1396
2021-11-17,1582
2021-11-18,1724
2021-11-19,1434
2021-11-20,1239
2021-11-21,1323
2021-11-22,1553
2021-11-23,1562
2021-11-24,1480
2021-11-25,1501
2021-11-26,1676
2021-11-27,1164
2021-11-28,1184
2021-11-29,1495
2021-11-30,1474
2021-12-01,1724
2021-12-02,1627
2021-12-03,1377
2021-12-04,1203
2021-12-05,1324
2021-12-06,1546
2021-12-07,1554
2021-12-08,2179
2021-12-09,1688
2021-12-10,1443
2021-12-11,1314
2021-12-12,1258
2021-12-13,1472
2021-12-14,1616
2021-12-15,1621
2021-12-16,1548
2021-12-17,1398
2021-12-18,1053
2021-12-19,1179
2021-12-20,1336
2021-12-21,1508
2021-12-22,1274
2021-12-23,1281
2021-12-24,1051
2021-12-25,892
2021-12-26,1161
2021-12-27,1312
2021-12-28,1311
2021-12-29,1312
2021-12-30,1403
2021-12-31,1001
2022-01-01,1011
2022-01-02,1330
2022-01-03,1415
2022-01-04,1670
2022-01-05,1570
2022-01-06,1711
2022-01-07,1267
2022-01-08,1220
2022-01-09,1242
2022-01-10,1631
2022-01-11,1552
2022-01-12,1530
2022-01-13,1313
2022-01-14,1272
2022-01-15,1196
2022-01-16,1258
2022-01-17,1475
2022-01-18,1538
2022-01-19,1516
2022-01-20,1617
2022-01-21,1476
2022-01-22,1248
2022-01-23,1247
2022-01-24,1449
2022-01-25,1425
2022-01-26,1240
2022-01-27,1448
2022-01-28,1527
2022-01-29,1131
2022-01-30,1426
2022-01-31,1562
2022-02-01,1427
2022-02-02,1378
2022-02-03,1575
2022-02-04,1482
2022-02-05,1193
2022-02-06,1239
2022-02-07,1403
2022-02-08,1563
2022-02-09,1372
2022-02-10,1292
2022-02-11,1464
2022-02-12,1157
2022-02-13,1306
2022-02-14,1788
2022-02-15,1387
2022-02-16,1515
2022-02-17,1422
2022-02-18,1286
2022-02-19,1249
2022-02-20,1024
2022-02-21,1373
2022-02-22,1476
2022-02-23,1476
2022-02-24,1425
2022-02-25,1265
2022-02-26,1099
2022-02-27,1231
2022-02-28,1348
2022-03-01,1318
2022-03-02,1457
2022-03-03,1457
2022-03-04,1406
2022-03-05,1118
2022-03-06,1207
2022-03-07,1572
2022-03-08,1505
2022-03-09,1637
2022-03-10,1609
2022-03-11,1458
2022-03-12,1247
2022-03-13,1341
2022-03-14,1488
2022-03-15,1494
2022-03-16,1353
2022-03-17,1443
2022-03-18,1238
2022-03-19,1101
2022-03-20,1356
2022-03-21,1948
2022-03-22,1533
2022-03-23,1507
2022-03-24,1587
2022-03-25,1402
2022-03-26,1163
2022-03-27,1195
2022-03-28,1376
2022-03-29,1472
2022-03-30,1487
2022-03-31,1434
2022-04-01,1186
2022-04-02,1171
2022-04-03,1153
2022-04-04,1372
2022-04-05,1458
2022-04-06,1505
2022-04-07,1961
2022-04-08,1759
2022-04-09,1569
2022-04-10,1578
2022-04-11,1655
2022-04-12,1631
2022-04-13,1386
2022-04-14,1832
2022-04-15,1303
2022-04-16,1563
2022-04-17,1787
2022-04-18,1965
