date,views
2021-07-01,6333
2021-07-02,5786
2021-07-03,9063
2021-07-04,17073
2021-07-05,8789
2021-07-06,7729
2021-07-07,5804
2021-07-08,5251
2021-07-09,5615
2021-07-10,5555
2021-07-11,5591
2021-07-12,5499
2021-07-13,5521
2021-07-14,5387
2021-07-15,6201
2021-07-16,9201
2021-07-17,10120
2021-07-18,21268
2021-07-19,13610
2021-07-20,8353
2021-07-21,6440
2021-07-22,6066
2021-07-23,5654
2021-07-24,5451
2021-07-25,5969
2021-07-26,5448
2021-07-27,5032
2021-07-28,4677
2021-07-29,5068
2021-07-30,5249
2021-07-31,6872
2021-08-01,19265
2021-08-02,10753
2021-08-03,6405
2021-08-04,5425
2021-08-05,5311
2021-08-06,6053
2021-08-07,6133
2021-08-08,6768
2021-08-09,6600
2021-08-10,5577
2021-08-11,5090
2021-08-12,5833
2021-08-13,4750
2021-08-14,4927
2021-08-15,5446
2021-08-16,4757
2021-08-17,4606
2021-08-18,5021
2021-08-19,4839
2021-08-20,4574
2021-08-21,4589
2021-08-22,5178
2021-08-23,5365
2021-08-24,4991
2021-08-25,4877
2021-08-26,5192
2021-08-27,5914
2021-08-28,9512
2021-08-29,25908
2021-08-30,11688
2021-08-31,7109
2021-09-01,7387
2021-09-02,7087
2021-09-03,7691
2021-09-04,11181
2021-09-05,22072
2021-09-06,14088
2021-09-07,11631
2021-09-08,9467
2021-09-09,7889
2021-09-10,9747
2021-09-11,11357
2021-09-12,24795
2021-09-13,14050
2021-09-14,8558
2021-09-15,10930
2021-09-16,13311
2021-09-17,11524
2021-09-18,11209
2021-09-19,11552
2021-09-20,9442
2021-09-21,8248
2021-09-22,7652
2021-09-23,7885
2021-09-24,8513
2021-09-25,11011
2021-09-26,25057
2021-09-27,13169
2021-09-28,8393
2021-09-29,7568
2021-09-30,8597
2021-10-01,7651
2021-10-02,6975
2021-10-03,8777
2021-10-04,6735
2021-10-05,6097
2021-10-06,5843
2021-10-07,5986
2021-10-08,7083
2021-10-09,8760
2021-10-10,18894
2021-10-11,9261
2021-10-12,6994
2021-10-13,5790
2021-10-14,5724
2021-10-15,5997
2021-10-16,5764
2021-10-17,5925
2021-10-18,5789
2021-10-19,5395
2021-10-20,5230
2021-10-21,5472
2021-10-22,6567
2021-10-23,9452
2021-10-24,20014
2021-10-25,14851
2021-10-26,7701
2021-10-27,6775
2021-10-28,5778
2021-10-29,5219
2021-10-30,5245
2021-10-31,5303
2021-11-01,5393
2021-11-02,5014
2021-11-03,4617
2021-11-04,4165
2021-11-05,4689
2021-11-06,5970
2021-11-07,11547
2021-11-08,8955
2021-11-09,5756
2021-11-10,5102
2021-11-11,4915
2021-11-12,5975
2021-11-13,7433
