date,views
2021-07-01,2673
2021-07-02,2767
2021-07-03,2645
2021-07-04,2930
2021-07-05,3048
2021-07-06,3062
2021-07-07,2769
2021-07-08,2726
2021-07-09,3406
2021-07-10,2544
2021-07-11,2609
2021-07-12,2813
2021-07-13,2712
2021-07-14,2530
2021-07-15,2552
2021-07-16,2302
2021-07-17,2279
2021-07-18,2574
2021-07-19,2557
2021-07-20,2595
2021-07-21,2617
2021-07-22,2650
2021-07-23,2614
2021-07-24,2547
2021-07-25,2702
2021-07-26,2629
2021-07-27,2713
2021-07-28,2838
2021-07-29,2814
2021-07-30,3155
2021-07-31,3850
2021-08-01,3481
2021-08-02,3477
2021-08-03,2930
2021-08-04,3065
2021-08-05,2893
2021-08-06,2815
2021-08-07,2820
2021-08-08,3423
2021-08-09,3144
2021-08-10,3177
2021-08-11,3184
2021-08-12,3253
2021-08-13,3742
2021-08-14,3272
2021-08-15,3508
2021-08-16,3589
2021-08-17,3724
2021-08-18,3569
2021-08-19,3725
2021-08-20,3732
2021-08-21,3601
2021-08-22,3839
2021-08-23,4037
2021-08-24,4068
2021-08-25,3993
2021-08-26,4280
2021-08-27,3908
2021-08-28,4035
2021-08-29,4585
2021-08-30,4972
2021-08-31,4947
2021-09-01,5449
2021-09-02,5640
2021-09-03,5509
2021-09-04,5476
2021-09-05,6249
2021-09-06,6762
2021-09-07,6867
2021-09-08,6478
2021-09-09,7073
2021-09-10,6968
2021-09-11,6817
2021-09-12,7661
2021-09-13,8005
2021-09-14,8146
2021-09-15,8560
2021-09-16,9235
2021-09-17,8483
2021-09-18,8933
2021-09-19,10973
2021-09-20,11626
2021-09-21,11859
2021-09-22,20328
2021-09-23,15452
2021-09-24,12418
2021-09-25,12403
2021-09-26,13893
2021-09-27,14593
2021-09-28,14581
2021-09-29,15282
2021-09-30,17791
2021-10-01,24378
2021-10-02,25142
2021-10-03,25396
2021-10-04,26017
2021-10-05,25085
2021-10-06,24950
2021-10-07,25179
2021-10-08,24169
2021-10-09,23945
2021-10-10,25762
2021-10-11,26832
2021-10-12,27523
2021-10-13,28932
2021-10-14,30474
2021-10-15,31578
2021-10-16,28131
2021-10-17,31326
2021-10-18,34846
2021-10-19,34472
2021-10-20,37218
2021-10-21,37203
2021-10-22,38947
2021-10-23,40856
2021-10-24,48631
2021-10-25,57510
2021-10-26,60194
2021-10-27,70277
2021-10-28,91020
2021-10-29,136306
2021-10-30,212555
2021-10-31,614206
2021-11-01,218422
2021-11-02,67896
2021-11-03,33897
2021-11-04,22149
2021-11-05,17374
2021-11-06,14435
2021-11-07,12187
2021-11-08,10518
2021-11-09,9308
2021-11-10,8221
2021-11-11,7655
2021-11-12,6732
2021-11-13,6061
2021-11-14,5876
2021-11-15,5484
2021-11-16,5033
2021-11-17,5006
2021-11-18,4870
2021-11-19,4243
2021-11-20,3809
2021-11-21,4215
2021-11-22,4054
