date,views
2021-07-01,815
2021-07-02,756
2021-07-03,821
2021-07-04,672
2021-07-05,1667
2021-07-06,1254
2021-07-07,1872
2021-07-08,866
2021-07-09,2580
2021-07-10,1272
2021-07-11,3857
2021-07-12,949
2021-07-13,748
2021-07-14,497
2021-07-15,440
2021-07-16,295
2021-07-17,307
2021-07-18,345
2021-07-19,332
2021-07-20,307
2021-07-21,222
2021-07-22,302
2021-07-23,261
2021-07-24,275
2021-07-25,358
2021-07-26,431
2021-07-27,361
2021-07-28,327
2021-07-29,821
2021-07-30,394
2021-07-31,328
2021-08-01,397
2021-08-02,599
2021-08-03,365
2021-08-04,667
2021-08-05,1287
2021-08-06,1761
2021-08-07,3717
2021-08-08,8059
2021-08-09,10955
2021-08-10,1889
2021-08-11,1441
2021-08-12,676
2021-08-13,595
2021-08-14,519
2021-08-15,708
2021-08-16,2327
2021-08-17,1328
2021-08-18,1594
2021-08-19,778
2021-08-20,626
2021-08-21,445
2021-08-22,495
2021-08-23,483
2021-08-24,306
2021-08-25,320
2021-08-26,371
2021-08-27,423
2021-08-28,365
2021-08-29,403
2021-08-30,496
2021-08-31,1634
2021-09-01,1122
2021-09-02,1870
2021-09-03,2060
2021-09-04,17452
2021-09-05,6213
2021-09-06,20280
2021-09-07,3368
2021-09-08,1196
2021-09-09,804
2021-09-10,714
2021-09-11,681
2021-09-12,721
2021-09-13,883
2021-09-14,462
2021-09-15,389
2021-09-16,320
2021-09-17,277
2021-09-18,284
2021-09-19,256
2021-09-20,281
2021-09-21,271
2021-09-22,279
2021-09-23,235
2021-09-24,252
2021-09-25,267
2021-09-26,345
2021-09-27,403
2021-09-28,342
2021-09-29,366
2021-09-30,687
2021-10-01,922
2021-10-02,1504
2021-10-03,4637
2021-10-04,2220
2021-10-05,776
2021-10-06,604
2021-10-07,403
2021-10-08,338
2021-10-09,370
2021-10-10,1080
2021-10-11,646
2021-10-12,668
2021-10-13,1456
2021-10-14,739
2021-10-15,321
2021-10-16,295
2021-10-17,283
2021-10-18,472
2021-10-19,339
2021-10-20,1007
2021-10-21,596
2021-10-22,1228
2021-10-23,2722
