date,views
2021-07-01,3463
2021-07-02,3335
2021-07-03,3274
2021-07-04,3109
2021-07-05,3223
2021-07-06,3192
2021-07-07,3454
2021-07-08,3664
2021-07-09,3426
2021-07-10,3359
2021-07-11,3277
2021-07-12,3497
2021-07-13,3625
2021-07-14,3867
2021-07-15,4034
2021-07-16,3565
2021-07-17,3681
2021-07-18,3684
2021-07-19,3905
2021-07-20,3922
2021-07-21,4127
2021-07-22,4621
2021-07-23,4486
2021-07-24,3925
2021-07-25,3978
2021-07-26,4368
2021-07-27,3948
2021-07-28,4195
2021-07-29,4187
2021-07-30,3995
2021-07-31,3821
2021-08-01,3763
2021-08-02,3893
2021-08-03,4082
2021-08-04,4006
2021-08-05,3785
2021-08-06,4492
2021-08-07,3776
2021-08-08,3923
2021-08-09,3980
2021-08-10,3917
2021-08-11,3938
2021-08-12,3834
2021-08-13,3537
2021-08-14,3526
2021-08-15,3660
2021-08-16,3549
2021-08-17,4014
2021-08-18,3865
2021-08-19,3824
2021-08-20,3829
2021-08-21,3572
2021-08-22,4092
2021-08-23,4131
2021-08-24,4169
2021-08-25,3996
2021-08-26,3886
2021-08-27,4154
2021-08-28,4395
2021-08-29,4329
2021-08-30,4395
2021-08-31,4633
2021-09-01,4045
2021-09-02,4132
2021-09-03,4016
2021-09-04,3559
2021-09-05,3765
2021-09-06,3826
2021-09-07,3975
2021-09-08,3993
2021-09-09,4188
2021-09-10,3674
2021-09-11,3806
2021-09-12,3758
2021-09-13,3735
2021-09-14,3644
2021-09-15,4094
2021-09-16,3910
2021-09-17,3753
2021-09-18,3365
2021-09-19,3626
2021-09-20,4109
2021-09-21,3691
2021-09-22,4262
2021-09-23,3971
2021-09-24,3932
2021-09-25,4449
2021-09-26,5285
2021-09-27,4770
2021-09-28,4568
2021-09-29,4820
2021-09-30,4568
2021-10-01,4192
2021-10-02,3596
2021-10-03,3752
2021-10-04,3864
2021-10-05,4762
2021-10-06,4327
2021-10-07,4259
2021-10-08,4129
2021-10-09,3838
2021-10-10,4071
2021-10-11,5141
2021-10-12,5172
2021-10-13,4509
2021-10-14,3917
2021-10-15,4473
2021-10-16,4247
2021-10-17,4373
2021-10-18,4956
2021-10-19,4126
2021-10-20,4129
2021-10-21,3939
2021-10-22,3901
2021-10-23,4060
2021-10-24,3872
2021-10-25,3980
2021-10-26,3772
2021-10-27,3789
2021-10-28,4226
2021-10-29,4285
2021-10-30,4901
2021-10-31,4910
2021-11-01,4787
2021-11-02,4900
2021-11-03,5018
2021-11-04,4765
2021-11-05,4681
2021-11-06,7067
2021-11-07,25968
2021-11-08,23431
2021-11-09,19971
2021-11-10,17174
2021-11-11,14787
2021-11-12,12722
2021-11-13,15902
2021-11-14,20718
2021-11-15,17931
2021-11-16,16060
2021-11-17,16199
2021-11-18,14657
2021-11-19,13364
2021-11-20,18352
2021-11-21,26350
2021-11-22,23019
2021-11-23,19501
2021-11-24,18140
2021-11-25,16342
2021-11-26,16727
2021-11-27,17860
2021-11-28,18652
2021-11-29,16934
2021-11-30,16091
2021-12-01,16075
2021-12-02,14365
2021-12-03,13085
2021-12-04,13831
2021-12-05,15241
2021-12-06,13847
2021-12-07,12909
2021-12-08,12092
2021-12-09,11191
2021-12-10,11747
2021-12-11,11864
2021-12-12,11954
2021-12-13,11016
2021-12-14,10834
2021-12-15,10506
2021-12-16,9995
2021-12-17,9214
2021-12-18,8892
2021-12-19,9549
2021-12-20,8712
2021-12-21,8272
2021-12-22,8008
2021-12-23,7719
2021-12-24,7463
2021-12-25,6869
2021-12-26,7842
2021-12-27,8134
2021-12-28,8708
2021-12-29,8351
2021-12-30,8046
2021-12-31,6891
2022-01-01,7842
2022-01-02,8598
2022-01-03,8579
2022-01-04,8605
2022-01-05,8529
2022-01-06,8162
2022-01-07,9406
2022-01-08,9944
2022-01-09,10008
2022-01-10,9128
2022-01-11,8780
2022-01-12,8368
2022-01-13,7632
2022-01-14,8546
2022-01-15,8907
2022-01-16,8312
2022-01-17,7822
2022-01-18,8871
2022-01-19,8539
2022-01-20,8070
2022-01-21,7524
2022-01-22,7717
2022-01-23,7901
2022-01-24,7417
2022-01-25,7192
