date,views
2021-07-01,1400
2021-07-02,1235
2021-07-03,1190
2021-07-04,1234
2021-07-05,1434
2021-07-06,1448
2021-07-07,1540
2021-07-08,1585
2021-07-09,1351
2021-07-10,1299
2021-07-11,1424
2021-07-12,1640
2021-07-13,1407
2021-07-14,1445
2021-07-15,1361
2021-07-16,1326
2021-07-17,1151
2021-07-18,1103
2021-07-19,1625
2021-07-20,1187
2021-07-21,1226
2021-07-22,1312
2021-07-23,1094
2021-07-24,1018
2021-07-25,993
2021-07-26,1686
2021-07-27,1304
2021-07-28,1228
2021-07-29,1364
2021-07-30,1136
2021-07-31,1129
2021-08-01,1110
2021-08-02,1344
2021-08-03,1400
2021-08-04,1356
2021-08-05,1439
2021-08-06,1313
2021-08-07,1424
2021-08-08,1510
2021-08-09,1593
2021-08-10,1757
2021-08-11,1736
2021-08-12,1997
2021-08-13,1595
2021-08-14,1181
2021-08-15,1401
2021-08-16,1969
2021-08-17,2443
2021-08-18,2538
2021-08-19,2125
2021-08-20,1822
2021-08-21,1708
2021-08-22,1619
2021-08-23,2833
2021-08-24,2640
2021-08-25,2889
2021-08-26,2463
2021-08-27,2087
2021-08-28,1649
2021-08-29,1668
2021-08-30,1911
2021-08-31,2490
2021-09-01,2472
2021-09-02,2278
2021-09-03,2048
2021-09-04,1795
2021-09-05,1859
2021-09-06,2530
2021-09-07,2957
2021-09-08,2563
2021-09-09,2993
2021-09-10,2288
2021-09-11,1813
2021-09-12,1811
2021-09-13,3161
2021-09-14,3457
2021-09-15,9377
2021-09-16,3883
2021-09-17,5311
2021-09-18,2055
2021-09-19,2296
2021-09-20,3210
2021-09-21,3125
2021-09-22,2904
2021-09-23,2975
2021-09-24,2451
2021-09-25,1858
2021-09-26,2064
2021-09-27,3151
2021-09-28,2863
2021-09-29,2917
2021-09-30,2630
2021-10-01,2343
2021-10-02,1713
2021-10-03,2035
2021-10-04,2640
2021-10-05,2502
2021-10-06,2391
2021-10-07,2332
2021-10-08,2228
2021-10-09,1630
2021-10-10,1853
2021-10-11,2424
2021-10-12,2585
2021-10-13,2226
2021-10-14,2242
2021-10-15,1903
2021-10-16,1623
2021-10-17,2282
2021-10-18,2179
2021-10-19,2324
2021-10-20,2383
2021-10-21,2231
2021-10-22,1968
2021-10-23,1685
2021-10-24,1656
2021-10-25,2471
2021-10-26,2277
2021-10-27,2297
2021-10-28,2167
2021-10-29,1932
2021-10-30,1595
2021-10-31,1452
2021-11-01,1933
2021-11-02,2041
2021-11-03,1976
2021-11-04,1825
2021-11-05,1861
2021-11-06,1381
2021-11-07,1913
2021-11-08,2143
2021-11-09,2700
2021-11-10,2332
2021-11-11,2239
2021-11-12,1885
2021-11-13,1663
2021-11-14,1890
2021-11-15,2220
2021-11-16,2330
2021-11-17,2126
2021-11-18,2154
2021-11-19,1801
2021-11-20,1513
2021-11-21,1576
2021-11-22,2002
2021-11-23,2055
2021-11-24,1875
2021-11-25,1877
2021-11-26,1752
2021-11-27,1425
2021-11-28,1660
2021-11-29,1935
2021-11-30,2369
2021-12-01,2163
2021-12-02,2057
2021-12-03,2008
2021-12-04,1711
2021-12-05,1718
2021-12-06,2065
2021-12-07,2155
2021-12-08,2009
2021-12-09,2235
2021-12-10,1784
2021-12-11,1389
2021-12-12,1669
2021-12-13,2171
2021-12-14,2250
2021-12-15,1888
2021-12-16,1852
2021-12-17,1574
2021-12-18,1456
2021-12-19,1424
2021-12-20,1681
2021-12-21,1667
2021-12-22,1447
2021-12-23,1243
2021-12-24,1240
2021-12-25,982
2021-12-26,1110
2021-12-27,1229
2021-12-28,1290
2021-12-29,1431
2021-12-30,1284
2021-12-31,1058
2022-01-01,1082
2022-01-02,1260
2022-01-03,1625
2022-01-04,1756
2022-01-05,1824
2022-01-06,1826
2022-01-07,1721
2022-01-08,1631
2022-01-09,1813
2022-01-10,2151
2022-01-11,2219
2022-01-12,2190
2022-01-13,2029
2022-01-14,1929
2022-01-15,1678
2022-01-16,1689
2022-01-17,2082
2022-01-18,1973
2022-01-19,2160
2022-01-20,2134
2022-01-21,2010
2022-01-22,1701
2022-01-23,1886
2022-01-24,2367
2022-01-25,2281
2022-01-26,2285
2022-01-27,2283
2022-01-28,2047
2022-01-29,1653
2022-01-30,1978
2022-01-31,2170
2022-02-01,2151
2022-02-02,2461
2022-02-03,2299
2022-02-04,2134
2022-02-05,1747
2022-02-06,1809
2022-02-07,2534
2022-02-08,2750
2022-02-09,3327
2022-02-10,2566
2022-02-11,2075
2022-02-12,1866
2022-02-13,2045
2022-02-14,2398
2022-02-15,2435
2022-02-16,2410
2022-02-17,2532
2022-02-18,2240
2022-02-19,1773
2022-02-20,1941
2022-02-21,2467
2022-02-22,2696
2022-02-23,2574
2022-02-24,2356
2022-02-25,1968
2022-02-26,1757
2022-02-27,1886
2022-02-28,2377
2022-03-01,2527
2022-03-02,2510
2022-03-03,2413
2022-03-04,2098
2022-03-05,1798
2022-03-06,1753
2022-03-07,2304
2022-03-08,2292
2022-03-09,2374
2022-03-10,2667
2022-03-11,2026
2022-03-12,1552
2022-03-13,1872
2022-03-14,2353
2022-03-15,2371
2022-03-16,2141
2022-03-17,2236
2022-03-18,1798
2022-03-19,1533
2022-03-20,1842
2022-03-21,2149
2022-03-22,2345
