date,views
2021-07-01,2735
2021-07-02,2438
2021-07-03,1885
2021-07-04,1843
2021-07-05,2457
2021-07-06,2286
2021-07-07,2759
2021-07-08,2525
2021-07-09,2397
2021-07-10,1896
2021-07-11,2085
2021-07-12,2434
2021-07-13,2458
2021-07-14,5149
2021-07-15,4983
2021-07-16,3710
2021-07-17,1884
2021-07-18,2004
2021-07-19,2597
2021-07-20,2569
2021-07-21,3560
2021-07-22,3717
2021-07-23,3795
2021-07-24,1775
2021-07-25,1929
2021-07-26,2280
2021-07-27,2150
2021-07-28,3004
2021-07-29,2981
2021-07-30,3159
2021-07-31,2024
2021-08-01,2523
2021-08-02,2458
2021-08-03,2692
2021-08-04,2325
2021-08-05,2303
2021-08-06,2206
2021-08-07,1939
2021-08-08,2090
2021-08-09,2471
2021-08-10,2270
2021-08-11,2437
2021-08-12,2452
2021-08-13,2335
2021-08-14,1938
2021-08-15,1896
2021-08-16,2277
2021-08-17,2498
2021-08-18,2571
2021-08-19,2639
2021-08-20,2558
2021-08-21,2073
2021-08-22,1852
2021-08-23,2535
2021-08-24,2666
2021-08-25,2559
2021-08-26,2550
2021-08-27,2353
2021-08-28,2240
2021-08-29,2523
2021-08-30,2614
2021-08-31,2699
2021-09-01,2701
2021-09-02,2722
2021-09-03,2559
2021-09-04,1865
2021-09-05,2118
2021-09-06,2655
2021-09-07,2914
2021-09-08,2954
2021-09-09,3212
2021-09-10,2609
2021-09-11,2078
2021-09-12,2293
2021-09-13,3055
2021-09-14,3095
2021-09-15,3142
2021-09-16,3234
2021-09-17,2855
2021-09-18,2242
2021-09-19,2314
2021-09-20,3092
2021-09-21,3035
2021-09-22,3084
2021-09-23,2850
2021-09-24,2663
2021-09-25,2398
2021-09-26,2217
2021-09-27,3100
2021-09-28,2974
2021-09-29,3014
2021-09-30,2764
2021-10-01,2570
2021-10-02,2167
2021-10-03,2319
2021-10-04,3060
2021-10-05,3432
2021-10-06,3081
2021-10-07,3133
2021-10-08,2781
2021-10-09,2421
2021-10-10,2618
2021-10-11,2976
2021-10-12,3314
2021-10-13,3166
2021-10-14,2914
2021-10-15,2484
2021-10-16,2109
2021-10-17,2323
2021-10-18,3107
2021-10-19,3089
2021-10-20,3234
2021-10-21,3099
2021-10-22,2593
2021-10-23,2264
2021-10-24,2362
2021-10-25,3245
2021-10-26,3073
2021-10-27,3062
2021-10-28,3028
2021-10-29,2563
2021-10-30,2108
2021-10-31,2228
2021-11-01,2858
2021-11-02,3230
2021-11-03,3256
2021-11-04,3068
2021-11-05,2852
2021-11-06,2303
2021-11-07,2519
2021-11-08,3332
2021-11-09,3603
2021-11-10,4929
2021-11-11,3945
2021-11-12,3185
2021-11-13,2560
2021-11-14,2495
2021-11-15,3262
2021-11-16,3156
2021-11-17,3202
2021-11-18,3227
2021-11-19,2739
2021-11-20,2315
2021-11-21,2541
2021-11-22,3102
2021-11-23,2972
2021-11-24,2770
2021-11-25,2857
2021-11-26,2528
2021-11-27,2157
2021-11-28,2368
2021-11-29,2871
2021-11-30,3011
2021-12-01,3078
2021-12-02,3255
2021-12-03,2820
2021-12-04,2420
2021-12-05,2582
2021-12-06,3289
2021-12-07,3316
2021-12-08,3357
2021-12-09,3355
2021-12-10,3013
2021-12-11,2427
2021-12-12,2589
2021-12-13,3001
2021-12-14,2828
2021-12-15,2647
2021-12-16,2596
2021-12-17,2336
2021-12-18,1813
2021-12-19,2032
2021-12-20,2241
2021-12-21,2180
2021-12-22,2095
2021-12-23,1869
2021-12-24,1562
2021-12-25,1442
2021-12-26,1698
2021-12-27,1894
2021-12-28,1979
2021-12-29,1855
2021-12-30,1792
2021-12-31,1488
2022-01-01,1405
2022-01-02,1798
2022-01-03,2132
2022-01-04,2245
2022-01-05,2391
2022-01-06,2486
2022-01-07,2380
2022-01-08,1963
2022-01-09,2119
2022-01-10,2592
2022-01-11,2801
2022-01-12,2757
2022-01-13,2616
2022-01-14,2301
2022-01-15,1941
2022-01-16,2245
2022-01-17,2572
2022-01-18,2792
2022-01-19,2764
2022-01-20,2720
2022-01-21,2353
2022-01-22,2036
2022-01-23,2179
2022-01-24,2689
2022-01-25,2684
2022-01-26,2690
2022-01-27,2904
2022-01-28,2741
2022-01-29,2129
2022-01-30,2144
2022-01-31,2856
2022-02-01,2726
2022-02-02,3005
2022-02-03,2742
2022-02-04,2645
2022-02-05,2079
2022-02-06,2277
2022-02-07,3041
2022-02-08,2890
2022-02-09,2912
2022-02-10,2711
2022-02-11,2413
2022-02-12,2043
2022-02-13,2395
2022-02-14,2719
2022-02-15,2570
2022-02-16,2867
2022-02-17,2738
2022-02-18,2489
2022-02-19,1899
2022-02-20,2139
2022-02-21,2630
2022-02-22,2673
2022-02-23,2709
2022-02-24,2371
2022-02-25,2185
2022-02-26,1694
2022-02-27,1827
2022-02-28,2325
2022-03-01,2505
2022-03-02,2558
2022-03-03,2491
2022-03-04,2417
2022-03-05,1905
2022-03-06,1936
2022-03-07,2579
2022-03-08,2549
2022-03-09,2551
2022-03-10,2629
2022-03-11,2190
2022-03-12,1899
2022-03-13,1921
2022-03-14,2627
2022-03-15,2522
2022-03-16,2602
2022-03-17,2385
2022-03-18,2137
2022-03-19,1679
2022-03-20,1907
2022-03-21,2408
2022-03-22,2398
2022-03-23,2666
2022-03-24,2404
2022-03-25,2042
2022-03-26,1719
2022-03-27,2275
2022-03-28,2493
2022-03-29,2468
2022-03-30,2564
2022-03-31,2639
2022-04-01,2114
2022-04-02,1973
2022-04-03,1906
2022-04-04,2523
2022-04-05,2630
2022-04-06,2719
2022-04-07,2464
2022-04-08,2335
2022-04-09,1811
2022-04-10,1864
2022-04-11,2278
2022-04-12,2469
2022-04-13,2462
2022-04-14,2540
2022-04-15,2230
2022-04-16,1977
2022-04-17,2021
2022-04-18,2281
2022-04-19,2616
2022-04-20,2575
2022-04-21,2450
2022-04-22,2189
2022-04-23,1638
2022-04-24,1852
2022-04-25,2508
2022-04-26,2579
2022-04-27,2473
2022-04-28,2457
2022-04-29,2125
2022-04-30,1585
2022-05-01,1775
2022-05-02,2202
2022-05-03,2656
2022-05-04,2725
2022-05-05,2408
2022-05-06,2219
2022-05-07,2076
2022-05-08,1872
2022-05-09,2702
2022-05-10,3000
2022-05-11,2501
2022-05-12,2403
2022-05-13,2116
2022-05-14,1662
2022-05-15,1901
2022-05-16,2246
2022-05-17,2385
2022-05-18,2569
2022-05-19,2397
2022-05-20,2187
2022-05-21,1807
2022-05-22,1773
2022-05-23,2326
2022-05-24,2398
2022-05-25,2509
2022-05-26,2314
2022-05-27,2104
2022-05-28,1679
2022-05-29,1729
2022-05-30,2043
2022-05-31,2143
2022-06-01,2258
2022-06-02,2119
2022-06-03,1885
2022-06-04,1566
2022-06-05,1646
2022-06-06,2066
2022-06-07,2217
2022-06-08,2050
2022-06-09,2088
2022-06-10,1869
2022-06-11,1575
2022-06-12,1666
2022-06-13,1985
2022-06-14,2365
2022-06-15,2200
2022-06-16,2112
