date,views
2021-07-01,8768
2021-07-02,7442
2021-07-03,7277
2021-07-04,7763
2021-07-05,8747
2021-07-06,8086
2021-07-07,7573
2021-07-08,7362
2021-07-09,7146
2021-07-10,7679
2021-07-11,9760
2021-07-12,8800
2021-07-13,8187
2021-07-14,7278
2021-07-15,6911
2021-07-16,6293
2021-07-17,6079
2021-07-18,6030
2021-07-19,6293
2021-07-20,5925
2021-07-21,5887
2021-07-22,5812
2021-07-23,5717
2021-07-24,5907
2021-07-25,8405
2021-07-26,7902
2021-07-27,7452
2021-07-28,6801
2021-07-29,6560
2021-07-30,5952
2021-07-31,5957
2021-08-01,6030
2021-08-02,5731
2021-08-03,5533
2021-08-04,5080
2021-08-05,5186
2021-08-06,5003
2021-08-07,5575
2021-08-08,7551
2021-08-09,6984
2021-08-10,6890
2021-08-11,6209
2021-08-12,6146
2021-08-13,7881
2021-08-14,6333
2021-08-15,6406
2021-08-16,6341
2021-08-17,7121
2021-08-18,7687
2021-08-19,6836
2021-08-20,6139
2021-08-21,6678
2021-08-22,6699
2021-08-23,7461
2021-08-24,6997
2021-08-25,6273
2021-08-26,7029
2021-08-27,6252
2021-08-28,5863
2021-08-29,6016
2021-08-30,6915
2021-08-31,6842
2021-09-01,9472
2021-09-02,8601
2021-09-03,8468
2021-09-04,14074
2021-09-05,17849
2021-09-06,16542
2021-09-07,15450
2021-09-08,15024
2021-09-09,13613
2021-09-10,10485
2021-09-11,9613
2021-09-12,10348
2021-09-13,9311
2021-09-14,9008
2021-09-15,8054
2021-09-16,8256
2021-09-17,7643
2021-09-18,7790
2021-09-19,7723
2021-09-20,7492
2021-09-21,6678
2021-09-22,6186
2021-09-23,5689
2021-09-24,5238
2021-09-25,4998
2021-09-26,5666
2021-09-27,6654
2021-09-28,6619
2021-09-29,6108
2021-09-30,6182
2021-10-01,5497
2021-10-02,5386
2021-10-03,6048
2021-10-04,5899
2021-10-05,6048
2021-10-06,5398
2021-10-07,5457
2021-10-08,5083
2021-10-09,4700
2021-10-10,4541
2021-10-11,4997
2021-10-12,5978
2021-10-13,6189
2021-10-14,6559
2021-10-15,6211
2021-10-16,5482
2021-10-17,5631
2021-10-18,5510
2021-10-19,5769
2021-10-20,7785
2021-10-21,7727
2021-10-22,6555
2021-10-23,6414
2021-10-24,8034
2021-10-25,7102
2021-10-26,8149
2021-10-27,8189
2021-10-28,7941
2021-10-29,8904
2021-10-30,15388
2021-10-31,11565
2021-11-01,11603
2021-11-02,13876
2021-11-03,11921
2021-11-04,11593
2021-11-05,10019
2021-11-06,9170
2021-11-07,11106
2021-11-08,10180
2021-11-09,9313
2021-11-10,8451
2021-11-11,7758
2021-11-12,6644
2021-11-13,7492
2021-11-14,9265
2021-11-15,8852
2021-11-16,7769
2021-11-17,8238
2021-11-18,9143
2021-11-19,7658
2021-11-20,7594
2021-11-21,8238
2021-11-22,7893
2021-11-23,7935
2021-11-24,12115
2021-11-25,28097
2021-11-26,28869
2021-11-27,32550
2021-11-28,35736
2021-11-29,34402
2021-11-30,32668
2021-12-01,25430
2021-12-02,22355
2021-12-03,18850
2021-12-04,17129
2021-12-05,16419
2021-12-06,14636
2021-12-07,13912
