date,views
2021-07-01,4463
2021-07-02,3755
2021-07-03,2518
2021-07-04,2298
2021-07-05,2772
2021-07-06,2215
2021-07-07,1929
2021-07-08,1600
2021-07-09,1448
2021-07-10,1480
2021-07-11,2131
2021-07-12,2335
2021-07-13,1784
2021-07-14,1678
2021-07-15,1704
2021-07-16,1663
2021-07-17,1668
2021-07-18,1551
2021-07-19,2799
2021-07-20,1825
2021-07-21,1568
2021-07-22,1603
2021-07-23,1930
2021-07-24,1823
2021-07-25,2017
2021-07-26,1402
2021-07-27,1291
2021-07-28,1207
2021-07-29,1184
2021-07-30,1089
2021-07-31,1054
2021-08-01,1124
2021-08-02,1061
2021-08-03,1192
2021-08-04,1112
2021-08-05,1102
2021-08-06,1037
2021-08-07,1086
2021-08-08,1029
2021-08-09,1007
2021-08-10,1032
2021-08-11,1004
2021-08-12,1111
2021-08-13,1099
2021-08-14,1103
2021-08-15,1030
2021-08-16,1064
2021-08-17,983
2021-08-18,1043
2021-08-19,1015
2021-08-20,1053
2021-08-21,1059
2021-08-22,1108
2021-08-23,1264
2021-08-24,1454
2021-08-25,1297
2021-08-26,1914
2021-08-27,2111
2021-08-28,1522
2021-08-29,1342
2021-08-30,1520
2021-08-31,1470
2021-09-01,1294
2021-09-02,1357
2021-09-03,2065
2021-09-04,2555
2021-09-05,3442
2021-09-06,5149
2021-09-07,23372
2021-09-08,19156
2021-09-09,8593
2021-09-10,5358
2021-09-11,3541
2021-09-12,3215
2021-09-13,3639
2021-09-14,2704
2021-09-15,2842
2021-09-16,4315
2021-09-17,2947
2021-09-18,2960
2021-09-19,2254
2021-09-20,13749
2021-09-21,9909
2021-09-22,7150
2021-09-23,3504
2021-09-24,2641
2021-09-25,2083
2021-09-26,2679
2021-09-27,2014
2021-09-28,1999
2021-09-29,2316
2021-09-30,1936
2021-10-01,2624
2021-10-02,2433
2021-10-03,2213
2021-10-04,1909
2021-10-05,1818
2021-10-06,1765
2021-10-07,1508
2021-10-08,1605
2021-10-09,1789
2021-10-10,2206
2021-10-11,1876
2021-10-12,1379
2021-10-13,1180
2021-10-14,1768
2021-10-15,1236
2021-10-16,1507
2021-10-17,1561
2021-10-18,2301
2021-10-19,1784
2021-10-20,1564
2021-10-21,2432
2021-10-22,1673
2021-10-23,1200
2021-10-24,1251
2021-10-25,1245
2021-10-26,1253
2021-10-27,1678
2021-10-28,3102
2021-10-29,2193
2021-10-30,1502
2021-10-31,1529
2021-11-01,1321
2021-11-02,1584
2021-11-03,2667
2021-11-04,3405
2021-11-05,2110
2021-11-06,1471
2021-11-07,1754
2021-11-08,2025
2021-11-09,1834
2021-11-10,2019
2021-11-11,1522
2021-11-12,2148
2021-11-13,1433
2021-11-14,1303
2021-11-15,1193
2021-11-16,1269
2021-11-17,1241
2021-11-18,1280
2021-11-19,1167
2021-11-20,1108
2021-11-21,8375
2021-11-22,13357
2021-11-23,7775
2021-11-24,4944
2021-11-25,3529
2021-11-26,3635
2021-11-27,5208
2021-11-28,4422
2021-11-29,3436
2021-11-30,2418
2021-12-01,2159
2021-12-02,2450
2021-12-03,3271
2021-12-04,12034
2021-12-05,13418
2021-12-06,7190
2021-12-07,4416
2021-12-08,3277
