date,views
2021-07-01,3467
2021-07-02,3103
2021-07-03,2753
2021-07-04,2768
2021-07-05,2980
2021-07-06,3416
2021-07-07,3578
2021-07-08,3307
2021-07-09,3038
2021-07-10,2637
2021-07-11,2574
2021-07-12,2984
2021-07-13,3216
2021-07-14,3015
2021-07-15,3303
2021-07-16,3521
2021-07-17,3162
2021-07-18,3190
2021-07-19,3785
2021-07-20,4796
2021-07-21,4439
2021-07-22,4151
2021-07-23,3630
2021-07-24,2946
2021-07-25,3090
2021-07-26,3596
2021-07-27,3589
2021-07-28,3246
2021-07-29,3065
2021-07-30,3140
2021-07-31,2624
2021-08-01,2407
2021-08-02,3332
2021-08-03,3563
2021-08-04,4175
2021-08-05,3679
2021-08-06,3371
2021-08-07,3019
2021-08-08,3535
2021-08-09,3073
2021-08-10,3337
2021-08-11,4193
2021-08-12,4461
2021-08-13,4043
2021-08-14,2893
2021-08-15,3021
2021-08-16,4344
2021-08-17,4505
2021-08-18,4919
2021-08-19,5688
2021-08-20,3919
2021-08-21,2871
2021-08-22,2515
2021-08-23,3718
2021-08-24,6852
2021-08-25,3343
2021-08-26,2890
2021-08-27,2869
2021-08-28,2453
2021-08-29,2938
2021-08-30,3309
2021-08-31,3044
2021-09-01,2998
2021-09-02,2738
2021-09-03,2491
2021-09-04,2252
2021-09-05,2193
2021-09-06,2301
2021-09-07,2810
2021-09-08,2567
2021-09-09,2574
2021-09-10,2389
2021-09-11,2126
2021-09-12,1998
2021-09-13,2530
2021-09-14,2581
2021-09-15,2774
2021-09-16,3321
2021-09-17,3393
2021-09-18,2735
2021-09-19,2726
2021-09-20,3430
2021-09-21,3345
2021-09-22,3129
2021-09-23,3318
2021-09-24,2936
2021-09-25,2177
2021-09-26,2218
2021-09-27,2703
2021-09-28,2819
2021-09-29,2803
2021-09-30,2893
2021-10-01,2634
2021-10-02,2331
2021-10-03,2338
2021-10-04,2800
2021-10-05,2789
2021-10-06,3027
2021-10-07,2934
2021-10-08,2704
2021-10-09,2761
2021-10-10,2629
2021-10-11,2786
2021-10-12,2785
2021-10-13,2749
2021-10-14,2899
2021-10-15,2622
2021-10-16,2327
2021-10-17,2398
2021-10-18,2865
2021-10-19,3372
2021-10-20,2912
2021-10-21,3006
2021-10-22,2901
2021-10-23,2461
2021-10-24,2435
2021-10-25,2992
2021-10-26,3717
2021-10-27,3659
2021-10-28,3681
2021-10-29,3534
2021-10-30,2698
2021-10-31,2657
2021-11-01,3190
2021-11-02,3343
2021-11-03,3143
2021-11-04,4909
2021-11-05,4795
2021-11-06,3175
2021-11-07,2891
2021-11-08,3862
2021-11-09,4857
2021-11-10,4096
2021-11-11,3707
2021-11-12,3606
2021-11-13,2988
2021-11-14,3124
2021-11-15,3488
2021-11-16,4048
2021-11-17,4558
2021-11-18,7122
2021-11-19,5524
2021-11-20,3797
2021-11-21,3472
2021-11-22,4176
2021-11-23,4092
2021-11-24,4014
2021-11-25,3310
2021-11-26,4549
2021-11-27,3002
2021-11-28,3039
2021-11-29,3572
2021-11-30,3514
2021-12-01,3532
2021-12-02,4089
2021-12-03,5456
2021-12-04,3745
2021-12-05,3276
2021-12-06,3787
2021-12-07,3624
2021-12-08,3346
2021-12-09,3248
2021-12-10,3237
2021-12-11,2782
2021-12-12,2601
2021-12-13,3172
2021-12-14,3183
2021-12-15,3047
2021-12-16,3333
2021-12-17,2869
2021-12-18,2543
2021-12-19,2371
2021-12-20,2663
2021-12-21,2947
2021-12-22,2783
2021-12-23,2882
2021-12-24,2329
2021-12-25,2326
2021-12-26,2388
2021-12-27,2700
2021-12-28,3600
2021-12-29,2864
2021-12-30,2819
2021-12-31,2437
2022-01-01,2374
2022-01-02,2465
2022-01-03,3207
2022-01-04,4149
2022-01-05,4222
2022-01-06,3744
2022-01-07,3145
2022-01-08,3005
2022-01-09,2935
2022-01-10,3257
2022-01-11,3554
2022-01-12,3623
2022-01-13,3686
2022-01-14,3379
2022-01-15,3082
2022-01-16,3098
2022-01-17,3377
2022-01-18,4289
2022-01-19,3701
2022-01-20,3695
2022-01-21,3515
2022-01-22,2960
2022-01-23,3079
2022-01-24,3583
2022-01-25,4312
2022-01-26,4467
