date,views
2021-07-01,2467
2021-07-02,1950
2021-07-03,1819
2021-07-04,1895
2021-07-05,1889
2021-07-06,2095
2021-07-07,1873
2021-07-08,1790
2021-07-09,1839
2021-07-10,1794
2021-07-11,1869
2021-07-12,1924
2021-07-13,1864
2021-07-14,1934
2021-07-15,1889
2021-07-16,1862
2021-07-17,4105
2021-07-18,1994
2021-07-19,2100
2021-07-20,1932
2021-07-21,1812
2021-07-22,2191
2021-07-23,2011
2021-07-24,2415
2021-07-25,2503
2021-07-26,1802
2021-07-27,1955
2021-07-28,2017
2021-07-29,1914
2021-07-30,1740
2021-07-31,1854
2021-08-01,1794
2021-08-02,1854
2021-08-03,1896
2021-08-04,1891
2021-08-05,1880
2021-08-06,1846
2021-08-07,1802
2021-08-08,1772
2021-08-09,1849
2021-08-10,1869
2021-08-11,1813
2021-08-12,1782
2021-08-13,1751
2021-08-14,1546
2021-08-15,1709
2021-08-16,1723
2021-08-17,2050
2021-08-18,1643
2021-08-19,1864
2021-08-20,1863
2021-08-21,1987
2021-08-22,1691
2021-08-23,1830
2021-08-24,2043
2021-08-25,1937
2021-08-26,1937
2021-08-27,1974
2021-08-28,1827
2021-08-29,1669
2021-08-30,2052
2021-08-31,1759
2021-09-01,1758
2021-09-02,1861
2021-09-03,1777
2021-09-04,1785
2021-09-05,1875
2021-09-06,2107
2021-09-07,2091
2021-09-08,1891
2021-09-09,2284
2021-09-10,2492
2021-09-11,2000
2021-09-12,1793
2021-09-13,2642
2021-09-14,2167
2021-09-15,2350
2021-09-16,2355
2021-09-17,1972
2021-09-18,2566
2021-09-19,1955
2021-09-20,2497
2021-09-21,2041
2021-09-22,2755
2021-09-23,10497
2021-09-24,1849
2021-09-25,1810
2021-09-26,1635
2021-09-27,4664
2021-09-28,1939
2021-09-29,1939
2021-09-30,1952
2021-10-01,1825
2021-10-02,1851
2021-10-03,2019
2021-10-04,1800
2021-10-05,1795
2021-10-06,1822
2021-10-07,1716
2021-10-08,1776
2021-10-09,1791
2021-10-10,1654
2021-10-11,1835
2021-10-12,1800
2021-10-13,1632
2021-10-14,1577
2021-10-15,1568
2021-10-16,1735
2021-10-17,1686
2021-10-18,1921
2021-10-19,1658
2021-10-20,1695
2021-10-21,1918
2021-10-22,1771
2021-10-23,1797
2021-10-24,1883
2021-10-25,2041
2021-10-26,1819
2021-10-27,1968
2021-10-28,2088
2021-10-29,1749
2021-10-30,1744
2021-10-31,1836
2021-11-01,1907
2021-11-02,1961
2021-11-03,2052
2021-11-04,1855
2021-11-05,1979
2021-11-06,1808
2021-11-07,1919
2021-11-08,1879
2021-11-09,2059
2021-11-10,1938
2021-11-11,1842
2021-11-12,2066
2021-11-13,1858
2021-11-14,1927
2021-11-15,2584
2021-11-16,2313
2021-11-17,2034
2021-11-18,2196
2021-11-19,2450
2021-11-20,1888
2021-11-21,2275
2021-11-22,2216
2021-11-23,2129
2021-11-24,2247
2021-11-25,2224
2021-11-26,2261
2021-11-27,2190
2021-11-28,2145
2021-11-29,2443
2021-11-30,2221
2021-12-01,2240
2021-12-02,2165
2021-12-03,2835
2021-12-04,2282
2021-12-05,2465
2021-12-06,2468
2021-12-07,2513
2021-12-08,2433
2021-12-09,2251
2021-12-10,2191
2021-12-11,2102
2021-12-12,2077
2021-12-13,2577
2021-12-14,2170
2021-12-15,2080
2021-12-16,2124
2021-12-17,2144
2021-12-18,2137
2021-12-19,2201
2021-12-20,2148
2021-12-21,2049
2021-12-22,2045
2021-12-23,2149
2021-12-24,2414
2021-12-25,2522
2021-12-26,2622
2021-12-27,2484
2021-12-28,2581
2021-12-29,2488
2021-12-30,2405
2021-12-31,2146
2022-01-01,2638
2022-01-02,2531
2022-01-03,2548
2022-01-04,2308
2022-01-05,2467
2022-01-06,2407
2022-01-07,2407
2022-01-08,2626
2022-01-09,2318
2022-01-10,2370
2022-01-11,2347
2022-01-12,2339
2022-01-13,2591
2022-01-14,2449
2022-01-15,2114
2022-01-16,2225
2022-01-17,2305
2022-01-18,3622
2022-01-19,5032
2022-01-20,3437
2022-01-21,3072
2022-01-22,2702
2022-01-23,2788
2022-01-24,2602
2022-01-25,2528
2022-01-26,2462
2022-01-27,2581
2022-01-28,2593
2022-01-29,2638
2022-01-30,2411
2022-01-31,2851
2022-02-01,3129
2022-02-02,2593
2022-02-03,2598
2022-02-04,2559
2022-02-05,2425
2022-02-06,2298
2022-02-07,2530
2022-02-08,2484
2022-02-09,2594
2022-02-10,2479
2022-02-11,2375
2022-02-12,2241
2022-02-13,2372
2022-02-14,2273
2022-02-15,2437
2022-02-16,2453
2022-02-17,2490
2022-02-18,2298
2022-02-19,2339
2022-02-20,2282
2022-02-21,3662
2022-02-22,2514
2022-02-23,2346
2022-02-24,2097
2022-02-25,2158
2022-02-26,1858
2022-02-27,1921
2022-02-28,2065
2022-03-01,1999
2022-03-02,2248
2022-03-03,2120
2022-03-04,2287
2022-03-05,2040
2022-03-06,2033
2022-03-07,2289
2022-03-08,2230
2022-03-09,2131
2022-03-10,2312
2022-03-11,2113
2022-03-12,1973
2022-03-13,2073
2022-03-14,2171
2022-03-15,2142
2022-03-16,2165
2022-03-17,2244
2022-03-18,2207
2022-03-19,2054
2022-03-20,2176
2022-03-21,2170
2022-03-22,2211
2022-03-23,2613
2022-03-24,2377
2022-03-25,2107
2022-03-26,1977
2022-03-27,2095
2022-03-28,2195
2022-03-29,2395
2022-03-30,2618
2022-03-31,2407
2022-04-01,2273
2022-04-02,2203
2022-04-03,2188
2022-04-04,2342
2022-04-05,2317
2022-04-06,2324
2022-04-07,2212
2022-04-08,2255
2022-04-09,2028
2022-04-10,2183
2022-04-11,2275
2022-04-12,2212
2022-04-13,2035
2022-04-14,2021
2022-04-15,2082
2022-04-16,1983
2022-04-17,2200
2022-04-18,2238
2022-04-19,2072
2022-04-20,2123
2022-04-21,2076
2022-04-22,1924
2022-04-23,1989
2022-04-24,2008
2022-04-25,2354
2022-04-26,2208
2022-04-27,2184
2022-04-28,2059
2022-04-29,2125
2022-04-30,1983
2022-05-01,2009
2022-05-02,2081
2022-05-03,2040
2022-05-04,2706
2022-05-05,2071
2022-05-06,2034
2022-05-07,2050
2022-05-08,1975
2022-05-09,2245
2022-05-10,2367
2022-05-11,2423
2022-05-12,2177
2022-05-13,2221
2022-05-14,1969
2022-05-15,1871
2022-05-16,2213
2022-05-17,2150
2022-05-18,1880
2022-05-19,2037
2022-05-20,1897
2022-05-21,1918
2022-05-22,1930
2022-05-23,2046
2022-05-24,2215
2022-05-25,2086
2022-05-26,2315
2022-05-27,1999
2022-05-28,1889
2022-05-29,1859
2022-05-30,2114
2022-05-31,1985
2022-06-01,1975
2022-06-02,2078
2022-06-03,2078
2022-06-04,1816
2022-06-05,1861
2022-06-06,2048
2022-06-07,1924
2022-06-08,1879
2022-06-09,1905
2022-06-10,1959
2022-06-11,1788
2022-06-12,2145
2022-06-13,2444
2022-06-14,2023
2022-06-15,1870
2022-06-16,1936
2022-06-17,1829
2022-06-18,1832
2022-06-19,1895
2022-06-20,2119
2022-06-21,1923
2022-06-22,2036
2022-06-23,2012
2022-06-24,1745
2022-06-25,1671
2022-06-26,1993
2022-06-27,1970
2022-06-28,2107
2022-06-29,2063
2022-06-30,2081
2022-07-01,1909
2022-07-02,1749
2022-07-03,1721
2022-07-04,2005
2022-07-05,1934
2022-07-06,1927
2022-07-07,2039
2022-07-08,2115
2022-07-09,1908
2022-07-10,1893
2022-07-11,2079
2022-07-12,2012
2022-07-13,2241
2022-07-14,2269
2022-07-15,2122
2022-07-16,2392
2022-07-17,2287
2022-07-18,2259
2022-07-19,2147
2022-07-20,2227
2022-07-21,2451
2022-07-22,2574
2022-07-23,2348
2022-07-24,2550
2022-07-25,2393
2022-07-26,2241
2022-07-27,2583
2022-07-28,2173
2022-07-29,2270
2022-07-30,2109
2022-07-31,4029
2022-08-01,2563
2022-08-02,2426
2022-08-03,2531
2022-08-04,2219
2022-08-05,2539
2022-08-06,2458
2022-08-07,2366
2022-08-08,2308
2022-08-09,2393
2022-08-10,2355
2022-08-11,2272
2022-08-12,4055
2022-08-13,2556
2022-08-14,2649
2022-08-15,2839
2022-08-16,2809
2022-08-17,2771
2022-08-18,2856
2022-08-19,2910
2022-08-20,2695
2022-08-21,2772
2022-08-22,2842
2022-08-23,3137
2022-08-24,2828
2022-08-25,2587
2022-08-26,2655
2022-08-27,2613
2022-08-28,2725
2022-08-29,2863
2022-08-30,2571
2022-08-31,2576
2022-09-01,2548
2022-09-02,2730
2022-09-03,2236
2022-09-04,2256
2022-09-05,2298
2022-09-06,2599
2022-09-07,2924
2022-09-08,2939
2022-09-09,2593
2022-09-10,2621
2022-09-11,2665
2022-09-12,2772
2022-09-13,2770
2022-09-14,2594
2022-09-15,2578
2022-09-16,2924
2022-09-17,2817
2022-09-18,2953
2022-09-19,2792
2022-09-20,2552
2022-09-21,2502
2022-09-22,2673
2022-09-23,2703
2022-09-24,3165
2022-09-25,3249
2022-09-26,3373
2022-09-27,3138
2022-09-28,2600
2022-09-29,2742
2022-09-30,2548
2022-10-01,2490
2022-10-02,2416
2022-10-03,2438
2022-10-04,2859
2022-10-05,2689
2022-10-06,2596
