date,views
2021-07-01,1084
2021-07-02,1023
2021-07-03,1069
2021-07-04,1059
2021-07-05,1073
2021-07-06,1061
2021-07-07,1096
2021-07-08,1117
2021-07-09,1217
2021-07-10,1046
2021-07-11,1084
2021-07-12,1140
2021-07-13,1126
2021-07-14,1082
2021-07-15,1085
2021-07-16,933
2021-07-17,939
2021-07-18,1081
2021-07-19,1090
2021-07-20,1079
2021-07-21,1027
2021-07-22,1108
2021-07-23,1050
2021-07-24,1173
2021-07-25,1086
2021-07-26,1344
2021-07-27,1094
2021-07-28,1021
2021-07-29,1089
2021-07-30,1109
2021-07-31,1121
2021-08-01,1101
2021-08-02,965
2021-08-03,962
2021-08-04,970
2021-08-05,970
2021-08-06,1057
2021-08-07,968
2021-08-08,1033
2021-08-09,1148
2021-08-10,1053
2021-08-11,1101
2021-08-12,1255
2021-08-13,1012
2021-08-14,1023
2021-08-15,1036
2021-08-16,1280
2021-08-17,1527
2021-08-18,1076
2021-08-19,1198
2021-08-20,1119
2021-08-21,1169
2021-08-22,1138
2021-08-23,1153
2021-08-24,1258
2021-08-25,1095
2021-08-26,1222
2021-08-27,1212
2021-08-28,1171
2021-08-29,1191
2021-08-30,1607
2021-08-31,1337
2021-09-01,1411
2021-09-02,1380
2021-09-03,1290
2021-09-04,1251
2021-09-05,1352
2021-09-06,1458
2021-09-07,1523
2021-09-08,1428
2021-09-09,1632
2021-09-10,1356
2021-09-11,1376
2021-09-12,1474
2021-09-13,1452
2021-09-14,1504
2021-09-15,1625
2021-09-16,1508
2021-09-17,1715
2021-09-18,1718
2021-09-19,1664
2021-09-20,1930
2021-09-21,1789
2021-09-22,2222
2021-09-23,2075
2021-09-24,1956
2021-09-25,1869
2021-09-26,2101
2021-09-27,2245
2021-09-28,2596
2021-09-29,2741
2021-09-30,2424
2021-10-01,2665
2021-10-02,2729
2021-10-03,2809
2021-10-04,2899
2021-10-05,3021
2021-10-06,2842
2021-10-07,2951
2021-10-08,2892
2021-10-09,2942
2021-10-10,3286
2021-10-11,3607
2021-10-12,3512
2021-10-13,3116
2021-10-14,3079
2021-10-15,3086
2021-10-16,3225
2021-10-17,3526
2021-10-18,3819
2021-10-19,3558
2021-10-20,3822
2021-10-21,3813
2021-10-22,4357
2021-10-23,3759
2021-10-24,4701
2021-10-25,5245
2021-10-26,5482
2021-10-27,6352
2021-10-28,6324
2021-10-29,6256
2021-10-30,5997
2021-10-31,8416
2021-11-01,5229
2021-11-02,3283
2021-11-03,2506
2021-11-04,2155
2021-11-05,2076
2021-11-06,2067
2021-11-07,1995
2021-11-08,1921
2021-11-09,1801
2021-11-10,2079
2021-11-11,1777
2021-11-12,1799
2021-11-13,1598
2021-11-14,1769
2021-11-15,1701
2021-11-16,1691
2021-11-17,1950
2021-11-18,1743
2021-11-19,1692
2021-11-20,1408
2021-11-21,1567
2021-11-22,2003
2021-11-23,1735
2021-11-24,1794
2021-11-25,2597
2021-11-26,2402
2021-11-27,1705
2021-11-28,1561
2021-11-29,1474
2021-11-30,1475
2021-12-01,1330
2021-12-02,1329
2021-12-03,1246
2021-12-04,1151
2021-12-05,1323
2021-12-06,1251
2021-12-07,1179
2021-12-08,1188
2021-12-09,1225
2021-12-10,1575
2021-12-11,1294
2021-12-12,1089
2021-12-13,1215
2021-12-14,1193
2021-12-15,1093
2021-12-16,1087
2021-12-17,1026
2021-12-18,979
2021-12-19,1081
2021-12-20,1060
2021-12-21,1135
2021-12-22,1130
2021-12-23,969
2021-12-24,931
2021-12-25,994
2021-12-26,989
2021-12-27,1062
2021-12-28,1019
2021-12-29,1017
2021-12-30,905
2021-12-31,854
2022-01-01,862
2022-01-02,994
2022-01-03,947
2022-01-04,1000
2022-01-05,969
2022-01-06,1000
2022-01-07,943
2022-01-08,1026
2022-01-09,1023
2022-01-10,976
2022-01-11,1085
2022-01-12,1037
2022-01-13,1049
2022-01-14,1123
2022-01-15,932
2022-01-16,986
2022-01-17,973
2022-01-18,1047
2022-01-19,939
2022-01-20,844
2022-01-21,868
2022-01-22,934
2022-01-23,901
2022-01-24,951
2022-01-25,922
2022-01-26,1025
2022-01-27,1040
2022-01-28,946
2022-01-29,1100
2022-01-30,982
2022-01-31,1053
2022-02-01,964
2022-02-02,979
2022-02-03,986
2022-02-04,984
2022-02-05,1019
2022-02-06,1032
2022-02-07,1093
2022-02-08,1032
2022-02-09,1063
2022-02-10,1109
2022-02-11,934
2022-02-12,900
2022-02-13,975
2022-02-14,1115
2022-02-15,1036
2022-02-16,972
2022-02-17,1082
2022-02-18,1058
