date,views
2021-07-01,1567
2021-07-02,1563
2021-07-03,1616
2021-07-04,1686
2021-07-05,1549
2021-07-06,1737
2021-07-07,1524
2021-07-08,1600
2021-07-09,1691
2021-07-10,1820
2021-07-11,1671
2021-07-12,1821
2021-07-13,1717
2021-07-14,1658
2021-07-15,1657
2021-07-16,1666
2021-07-17,1647
2021-07-18,1718
2021-07-19,1661
2021-07-20,1734
2021-07-21,1745
2021-07-22,1702
2021-07-23,1607
2021-07-24,1546
2021-07-25,1704
2021-07-26,1615
2021-07-27,1437
2021-07-28,1538
2021-07-29,1795
2021-07-30,1828
2021-07-31,1639
2021-08-01,1635
2021-08-02,1750
2021-08-03,1766
2021-08-04,1641
2021-08-05,1708
2021-08-06,1658
2021-08-07,1645
2021-08-08,1735
2021-08-09,1688
2021-08-10,1655
2021-08-11,1790
2021-08-12,1670
2021-08-13,1626
2021-08-14,1631
2021-08-15,1800
2021-08-16,1789
2021-08-17,1632
2021-08-18,1700
2021-08-19,1743
2021-08-20,1766
2021-08-21,1619
2021-08-22,1757
2021-08-23,1816
2021-08-24,1759
2021-08-25,1763
2021-08-26,1758
2021-08-27,2199
2021-08-28,1803
2021-08-29,2455
2021-08-30,2349
2021-08-31,2048
2021-09-01,1972
2021-09-02,1941
2021-09-03,1950
2021-09-04,1884
2021-09-05,1804
2021-09-06,2436
2021-09-07,1964
2021-09-08,1921
2021-09-09,2017
2021-09-10,1853
2021-09-11,1834
2021-09-12,1926
2021-09-13,1941
2021-09-14,2214
2021-09-15,2434
2021-09-16,2144
2021-09-17,2369
2021-09-18,2063
2021-09-19,2054
2021-09-20,2145
2021-09-21,2088
2021-09-22,2085
2021-09-23,2360
2021-09-24,2146
2021-09-25,2174
2021-09-26,2188
2021-09-27,2326
2021-09-28,2134
2021-09-29,2239
2021-09-30,2338
2021-10-01,2353
2021-10-02,2312
2021-10-03,2433
2021-10-04,2359
2021-10-05,4303
2021-10-06,2669
2021-10-07,2304
2021-10-08,2414
2021-10-09,2138
2021-10-10,2342
2021-10-11,2323
2021-10-12,2359
2021-10-13,2296
2021-10-14,2291
2021-10-15,2305
2021-10-16,2196
2021-10-17,2254
2021-10-18,2419
2021-10-19,2498
2021-10-20,2758
2021-10-21,2729
2021-10-22,2390
2021-10-23,2445
2021-10-24,2565
2021-10-25,2666
2021-10-26,2573
2021-10-27,2626
2021-10-28,2811
2021-10-29,2715
2021-10-30,2709
2021-10-31,3117
2021-11-01,3499
2021-11-02,3558
2021-11-03,3678
2021-11-04,3843
2021-11-05,3641
2021-11-06,3590
2021-11-07,4051
2021-11-08,4226
2021-11-09,4561
2021-11-10,4448
2021-11-11,4583
2021-11-12,4527
2021-11-13,5030
2021-11-14,5615
2021-11-15,5483
2021-11-16,5245
2021-11-17,5375
2021-11-18,5491
2021-11-19,5691
2021-11-20,6475
2021-11-21,7101
2021-11-22,6895
2021-11-23,7178
2021-11-24,7779
2021-11-25,9377
2021-11-26,9055
2021-11-27,11079
2021-11-28,11504
2021-11-29,11456
2021-11-30,11589
2021-12-01,13301
2021-12-02,14040
2021-12-03,14749
2021-12-04,15086
2021-12-05,18637
2021-12-06,22240
2021-12-07,17919
2021-12-08,15879
2021-12-09,15945
2021-12-10,16468
2021-12-11,17538
2021-12-12,20228
2021-12-13,20252
2021-12-14,19501
2021-12-15,19858
2021-12-16,21405
2021-12-17,20390
2021-12-18,20744
2021-12-19,23573
2021-12-20,28287
2021-12-21,27375
2021-12-22,28158
2021-12-23,36483
2021-12-24,75269
2021-12-25,95179
2021-12-26,36748
2021-12-27,19248
2021-12-28,14961
2021-12-29,10391
2021-12-30,9110
2021-12-31,8996
2022-01-01,8276
2022-01-02,6979
2022-01-03,5742
2022-01-04,4982
2022-01-05,4959
2022-01-06,4750
2022-01-07,5087
2022-01-08,4390
2022-01-09,3624
2022-01-10,3505
2022-01-11,3244
2022-01-12,2866
2022-01-13,2608
2022-01-14,2731
2022-01-15,2542
2022-01-16,2383
2022-01-17,2354
2022-01-18,2259
2022-01-19,2055
2022-01-20,2097
2022-01-21,2101
2022-01-22,2003
2022-01-23,1962
2022-01-24,2005
2022-01-25,1720
