date,views
2021-07-01,1689
2021-07-02,1437
2021-07-03,1370
2021-07-04,1347
2021-07-05,1674
2021-07-06,1402
2021-07-07,1431
2021-07-08,1547
2021-07-09,1511
2021-07-10,1307
2021-07-11,1144
2021-07-12,1282
2021-07-13,1250
2021-07-14,1170
2021-07-15,1246
2021-07-16,1091
2021-07-17,1054
2021-07-18,1221
2021-07-19,1264
2021-07-20,1287
2021-07-21,1126
2021-07-22,1195
2021-07-23,1086
2021-07-24,1036
2021-07-25,967
2021-07-26,1156
2021-07-27,1141
2021-07-28,1097
2021-07-29,997
2021-07-30,1187
2021-07-31,1665
2021-08-01,1176
2021-08-02,1344
2021-08-03,1084
2021-08-04,1070
2021-08-05,1704
2021-08-06,1864
2021-08-07,1628
2021-08-08,1297
2021-08-09,1229
2021-08-10,1435
2021-08-11,1476
2021-08-12,1733
2021-08-13,1265
2021-08-14,1028
2021-08-15,1006
2021-08-16,1179
2021-08-17,1237
2021-08-18,1261
2021-08-19,1158
2021-08-20,1166
2021-08-21,1486
2021-08-22,1209
2021-08-23,1395
2021-08-24,1286
2021-08-25,1300
2021-08-26,1186
2021-08-27,1282
2021-08-28,1072
2021-08-29,1002
2021-08-30,1409
2021-08-31,1267
2021-09-01,1307
2021-09-02,1071
2021-09-03,1220
2021-09-04,974
2021-09-05,1019
2021-09-06,1187
2021-09-07,1303
2021-09-08,1166
2021-09-09,1159
2021-09-10,1139
2021-09-11,1028
2021-09-12,1056
2021-09-13,1145
2021-09-14,1264
2021-09-15,1442
2021-09-16,1470
2021-09-17,1334
2021-09-18,940
2021-09-19,1092
2021-09-20,1420
2021-09-21,1451
2021-09-22,1628
2021-09-23,1373
2021-09-24,1271
2021-09-25,995
2021-09-26,1270
2021-09-27,1398
2021-09-28,1472
2021-09-29,1437
2021-09-30,1376
2021-10-01,1361
2021-10-02,1107
2021-10-03,1250
2021-10-04,1492
2021-10-05,1510
2021-10-06,1335
2021-10-07,1325
2021-10-08,1167
2021-10-09,1095
2021-10-10,1151
2021-10-11,1380
2021-10-12,1496
2021-10-13,1469
2021-10-14,1443
2021-10-15,1225
2021-10-16,1168
2021-10-17,1317
2021-10-18,1381
2021-10-19,1463
2021-10-20,1562
2021-10-21,1573
2021-10-22,1340
2021-10-23,1267
2021-10-24,1515
2021-10-25,1631
2021-10-26,1651
2021-10-27,1684
2021-10-28,1506
2021-10-29,1266
2021-10-30,1138
2021-10-31,1124
2021-11-01,1312
2021-11-02,1327
2021-11-03,1320
2021-11-04,1274
2021-11-05,1125
2021-11-06,1214
2021-11-07,1319
2021-11-08,1469
2021-11-09,1729
2021-11-10,1557
2021-11-11,1512
2021-11-12,1438
2021-11-13,1485
2021-11-14,1478
2021-11-15,1747
2021-11-16,1866
2021-11-17,2476
2021-11-18,4162
2021-11-19,9604
2021-11-20,3107
2021-11-21,2019
2021-11-22,2048
2021-11-23,1684
2021-11-24,1520
2021-11-25,1477
2021-11-26,1369
2021-11-27,1276
2021-11-28,1419
2021-11-29,1815
2021-11-30,1750
2021-12-01,2246
2021-12-02,2746
2021-12-03,5582
2021-12-04,8546
2021-12-05,3475
2021-12-06,2218
2021-12-07,1854
2021-12-08,2166
2021-12-09,1585
2021-12-10,1347
2021-12-11,1243
2021-12-12,1208
2021-12-13,1351
2021-12-14,1389
2021-12-15,1191
2021-12-16,1197
2021-12-17,1125
2021-12-18,1146
2021-12-19,1116
2021-12-20,1397
2021-12-21,1198
2021-12-22,1108
2021-12-23,1109
2021-12-24,1062
2021-12-25,1099
2021-12-26,1292
2021-12-27,1163
2021-12-28,1194
2021-12-29,1269
2021-12-30,1156
2021-12-31,1432
2022-01-01,1319
2022-01-02,1445
2022-01-03,1225
2022-01-04,1265
2022-01-05,1350
2022-01-06,1569
2022-01-07,1335
2022-01-08,1242
2022-01-09,1284
2022-01-10,1495
2022-01-11,1465
2022-01-12,2402
2022-01-13,2199
2022-01-14,1315
2022-01-15,1198
2022-01-16,1296
2022-01-17,1528
2022-01-18,1585
2022-01-19,1591
2022-01-20,1427
2022-01-21,1355
2022-01-22,1562
2022-01-23,1386
2022-01-24,1509
2022-01-25,1505
2022-01-26,1419
2022-01-27,1501
2022-01-28,1448
2022-01-29,1163
2022-01-30,1340
2022-01-31,1465
2022-02-01,1570
2022-02-02,1660
2022-02-03,1704
2022-02-04,1465
2022-02-05,1238
2022-02-06,1252
2022-02-07,1555
2022-02-08,1621
2022-02-09,1933
2022-02-10,1868
2022-02-11,1440
2022-02-12,1113
2022-02-13,1559
2022-02-14,1601
2022-02-15,1553
2022-02-16,1570
2022-02-17,1446
2022-02-18,1354
2022-02-19,1286
2022-02-20,1761
2022-02-21,1694
2022-02-22,1693
2022-02-23,1658
2022-02-24,1645
2022-02-25,1653
2022-02-26,1361
2022-02-27,1582
2022-02-28,1515
2022-03-01,1477
2022-03-02,1467
2022-03-03,1530
2022-03-04,1374
2022-03-05,1247
2022-03-06,1257
2022-03-07,1633
2022-03-08,1468
2022-03-09,1587
2022-03-10,1560
2022-03-11,1435
2022-03-12,1156
2022-03-13,1597
2022-03-14,1526
2022-03-15,1681
2022-03-16,1474
2022-03-17,1399
2022-03-18,1271
2022-03-19,1173
2022-03-20,1328
2022-03-21,1451
2022-03-22,1502
2022-03-23,1513
2022-03-24,1331
2022-03-25,1250
2022-03-26,1050
2022-03-27,1163
2022-03-28,1281
2022-03-29,1367
2022-03-30,1352
2022-03-31,1339
2022-04-01,1215
2022-04-02,1115
2022-04-03,1172
2022-04-04,1314
2022-04-05,1221
2022-04-06,1505
2022-04-07,1531
2022-04-08,2109
2022-04-09,1850
2022-04-10,1476
2022-04-11,1653
2022-04-12,1454
2022-04-13,1417
2022-04-14,1327
2022-04-15,1231
2022-04-16,1232
2022-04-17,1421
2022-04-18,1768
2022-04-19,1766
2022-04-20,1737
2022-04-21,1837
2022-04-22,1534
2022-04-23,1282
2022-04-24,1340
2022-04-25,2607
2022-04-26,1736
2022-04-27,1955
2022-04-28,2042
2022-04-29,3069
2022-04-30,5893
2022-05-01,2492
2022-05-02,1810
2022-05-03,1937
2022-05-04,1800
