date,views
2021-07-01,1671
2021-07-02,1543
2021-07-03,1339
2021-07-04,1288
2021-07-05,1423
2021-07-06,1493
2021-07-07,1535
2021-07-08,1403
2021-07-09,1199
2021-07-10,1124
2021-07-11,1125
2021-07-12,1484
2021-07-13,1279
2021-07-14,1338
2021-07-15,1545
2021-07-16,1185
2021-07-17,1130
2021-07-18,1079
2021-07-19,1340
2021-07-20,1197
2021-07-21,1165
2021-07-22,1200
2021-07-23,1165
2021-07-24,1103
2021-07-25,1118
2021-07-26,1242
2021-07-27,1224
2021-07-28,1111
2021-07-29,1132
2021-07-30,1211
2021-07-31,1243
2021-08-01,1205
2021-08-02,1326
2021-08-03,1296
2021-08-04,1229
2021-08-05,1225
2021-08-06,1112
2021-08-07,1006
2021-08-08,1026
2021-08-09,1319
2021-08-10,1726
2021-08-11,1180
2021-08-12,1164
2021-08-13,1129
2021-08-14,1052
2021-08-15,1134
2021-08-16,1198
2021-08-17,1247
2021-08-18,1127
2021-08-19,1097
2021-08-20,1049
2021-08-21,1025
2021-08-22,1078
2021-08-23,1223
2021-08-24,1343
2021-08-25,1297
2021-08-26,1075
2021-08-27,1159
2021-08-28,1047
2021-08-29,1102
2021-08-30,1371
2021-08-31,1662
2021-09-01,1662
2021-09-02,1342
2021-09-03,1165
2021-09-04,1057
2021-09-05,1102
2021-09-06,1274
2021-09-07,1214
2021-09-08,1175
2021-09-09,1436
2021-09-10,1037
2021-09-11,847
2021-09-12,1037
2021-09-13,1003
2021-09-14,1071
2021-09-15,1880
2021-09-16,1341
2021-09-17,1337
2021-09-18,1028
2021-09-19,1062
2021-09-20,1351
2021-09-21,1571
2021-09-22,2971
2021-09-23,1994
2021-09-24,1415
2021-09-25,1035
2021-09-26,917
2021-09-27,4904
2021-09-28,1691
2021-09-29,1454
2021-09-30,1912
2021-10-01,1036
2021-10-02,1345
2021-10-03,1277
2021-10-04,1280
2021-10-05,1576
2021-10-06,1377
2021-10-07,1074
2021-10-08,1023
2021-10-09,931
2021-10-10,1087
2021-10-11,1170
2021-10-12,1092
2021-10-13,1115
2021-10-14,994
2021-10-15,1027
2021-10-16,1011
2021-10-17,1032
2021-10-18,1051
2021-10-19,1058
2021-10-20,1158
2021-10-21,1204
2021-10-22,948
2021-10-23,797
2021-10-24,1665
2021-10-25,1376
2021-10-26,1445
2021-10-27,2231
2021-10-28,1326
2021-10-29,1070
2021-10-30,849
2021-10-31,1085
2021-11-01,947
2021-11-02,1665
2021-11-03,1341
2021-11-04,1119
2021-11-05,1140
2021-11-06,978
2021-11-07,1479
2021-11-08,1363
2021-11-09,1078
2021-11-10,1105
2021-11-11,1032
2021-11-12,868
2021-11-13,815
2021-11-14,847
2021-11-15,964
2021-11-16,974
2021-11-17,1110
2021-11-18,943
2021-11-19,817
2021-11-20,732
2021-11-21,854
2021-11-22,1015
2021-11-23,1006
2021-11-24,990
2021-11-25,839
2021-11-26,952
2021-11-27,873
2021-11-28,927
2021-11-29,1042
2021-11-30,2461
2021-12-01,4472
2021-12-02,1924
2021-12-03,985
2021-12-04,1020
2021-12-05,1108
2021-12-06,2462
2021-12-07,1308
2021-12-08,2216
2021-12-09,1161
2021-12-10,1359
2021-12-11,1755
2021-12-12,1579
2021-12-13,1520
2021-12-14,1101
2021-12-15,1078
2021-12-16,1257
2021-12-17,1287
2021-12-18,1091
2021-12-19,861
2021-12-20,2897
2021-12-21,12400
2021-12-22,1844
2021-12-23,1168
2021-12-24,863
2021-12-25,708
2021-12-26,946
2021-12-27,906
2021-12-28,948
2021-12-29,898
2021-12-30,874
2021-12-31,770
2022-01-01,801
2022-01-02,967
2022-01-03,965
2022-01-04,1127
2022-01-05,984
2022-01-06,1061
2022-01-07,977
2022-01-08,866
2022-01-09,854
2022-01-10,998
2022-01-11,1027
2022-01-12,1357
2022-01-13,1055
2022-01-14,877
2022-01-15,880
2022-01-16,879
2022-01-17,977
2022-01-18,1004
2022-01-19,1209
2022-01-20,1076
2022-01-21,890
2022-01-22,961
2022-01-23,1470
2022-01-24,1054
2022-01-25,1366
2022-01-26,1071
2022-01-27,1212
2022-01-28,1254
2022-01-29,879
2022-01-30,929
2022-01-31,1178
2022-02-01,1373
2022-02-02,1214
2022-02-03,1117
2022-02-04,1180
2022-02-05,948
2022-02-06,1213
2022-02-07,1210
2022-02-08,1542
2022-02-09,1337
2022-02-10,1252
2022-02-11,1115
2022-02-12,1094
2022-02-13,1191
2022-02-14,1267
2022-02-15,1184
2022-02-16,1276
2022-02-17,1317
2022-02-18,1006
2022-02-19,1015
2022-02-20,1067
2022-02-21,1162
2022-02-22,1432
2022-02-23,1377
2022-02-24,1200
2022-02-25,1261
2022-02-26,1027
2022-02-27,1226
2022-02-28,1356
2022-03-01,1306
2022-03-02,1379
2022-03-03,1218
2022-03-04,1127
2022-03-05,1026
2022-03-06,1207
2022-03-07,1355
2022-03-08,1346
2022-03-09,1345
2022-03-10,1369
2022-03-11,1177
2022-03-12,996
2022-03-13,1194
2022-03-14,1337
2022-03-15,1291
2022-03-16,1480
2022-03-17,1302
2022-03-18,1273
2022-03-19,1088
2022-03-20,1400
2022-03-21,1526
2022-03-22,1443
2022-03-23,1494
2022-03-24,1401
2022-03-25,1198
2022-03-26,973
2022-03-27,1157
2022-03-28,1318
2022-03-29,1278
2022-03-30,1356
2022-03-31,1299
2022-04-01,1269
2022-04-02,1226
2022-04-03,1085
2022-04-04,1320
2022-04-05,1278
2022-04-06,1303
2022-04-07,1541
2022-04-08,1331
2022-04-09,1058
2022-04-10,1264
2022-04-11,1350
2022-04-12,1363
2022-04-13,1275
2022-04-14,1150
2022-04-15,996
2022-04-16,1011
2022-04-17,1141
2022-04-18,1314
2022-04-19,1424
2022-04-20,1476
2022-04-21,1482
2022-04-22,1486
2022-04-23,1090
2022-04-24,1144
2022-04-25,1535
2022-04-26,1546
2022-04-27,1471
2022-04-28,1406
2022-04-29,1342
2022-04-30,1151
2022-05-01,1253
2022-05-02,1429
2022-05-03,1374
2022-05-04,1582
2022-05-05,1642
2022-05-06,1367
2022-05-07,1149
2022-05-08,1261
2022-05-09,1556
2022-05-10,1742
2022-05-11,1580
2022-05-12,1493
2022-05-13,1451
2022-05-14,1289
2022-05-15,1316
2022-05-16,1477
2022-05-17,1564
2022-05-18,1779
2022-05-19,1598
2022-05-20,1311
2022-05-21,1192
2022-05-22,1402
2022-05-23,1603
2022-05-24,1587
2022-05-25,1525
2022-05-26,1645
2022-05-27,1500
2022-05-28,1301
2022-05-29,1478
2022-05-30,1979
2022-05-31,2241
2022-06-01,2428
2022-06-02,2007
2022-06-03,1686
2022-06-04,1508
2022-06-05,1581
2022-06-06,1844
2022-06-07,1786
2022-06-08,1598
2022-06-09,1731
2022-06-10,1804
2022-06-11,1570
2022-06-12,1439
2022-06-13,1696
2022-06-14,2100
2022-06-15,1972
2022-06-16,1828
2022-06-17,1727
2022-06-18,1817
2022-06-19,1942
2022-06-20,2726
2022-06-21,3748
2022-06-22,2416
2022-06-23,1842
2022-06-24,1632
2022-06-25,1376
2022-06-26,1590
2022-06-27,1669
2022-06-28,1609
2022-06-29,1512
2022-06-30,1512
2022-07-01,1379
2022-07-02,1243
2022-07-03,1413
2022-07-04,1453
2022-07-05,1434
2022-07-06,1396
2022-07-07,1472
2022-07-08,1405
2022-07-09,1222
2022-07-10,1234
2022-07-11,1430
2022-07-12,1495
2022-07-13,1453
2022-07-14,2362
2022-07-15,1386
2022-07-16,1288
2022-07-17,1406
2022-07-18,1568
2022-07-19,1844
2022-07-20,1682
2022-07-21,1634
2022-07-22,1762
2022-07-23,1523
2022-07-24,1895
2022-07-25,1720
2022-07-26,1681
2022-07-27,1807
2022-07-28,1644
2022-07-29,1721
2022-07-30,1548
2022-07-31,1796
2022-08-01,1974
2022-08-02,1695
2022-08-03,1684
2022-08-04,1575
2022-08-05,1819
2022-08-06,1386
2022-08-07,1552
2022-08-08,1591
2022-08-09,1600
2022-08-10,1544
2022-08-11,1507
2022-08-12,1590
2022-08-13,1306
2022-08-14,1369
2022-08-15,1671
2022-08-16,1690
2022-08-17,1489
2022-08-18,1737
2022-08-19,1718
2022-08-20,1549
2022-08-21,1503
2022-08-22,1562
2022-08-23,1622
2022-08-24,1678
2022-08-25,1473
2022-08-26,1393
2022-08-27,1286
2022-08-28,1592
2022-08-29,1708
2022-08-30,1674
2022-08-31,2164
2022-09-01,2174
2022-09-02,1704
2022-09-03,1531
2022-09-04,1509
2022-09-05,1821
2022-09-06,1896
2022-09-07,1802
2022-09-08,1550
2022-09-09,1612
2022-09-10,1556
2022-09-11,1749
2022-09-12,1849
2022-09-13,1777
2022-09-14,1838
2022-09-15,1637
2022-09-16,1690
2022-09-17,1626
2022-09-18,1814
2022-09-19,1913
2022-09-20,2069
2022-09-21,2241
2022-09-22,2126
2022-09-23,1802
2022-09-24,1462
2022-09-25,1688
2022-09-26,1670
2022-09-27,1564
2022-09-28,1481
2022-09-29,1331
2022-09-30,1199
2022-10-01,1098
2022-10-02,1134
2022-10-03,1163
2022-10-04,1179
2022-10-05,1179
2022-10-06,1416
2022-10-07,1203
2022-10-08,1128
2022-10-09,1225
2022-10-10,1283
2022-10-11,1294
2022-10-12,1310
2022-10-13,1090
2022-10-14,987
2022-10-15,953
2022-10-16,1051
2022-10-17,1108
2022-10-18,1173
2022-10-19,1104
2022-10-20,1273
2022-10-21,1188
2022-10-22,1078
2022-10-23,1248
2022-10-24,1279
2022-10-25,1322
2022-10-26,1347
2022-10-27,1337
2022-10-28,1325
2022-10-29,1330
2022-10-30,1404
2022-10-31,1610
2022-11-01,1694
2022-11-02,1627
2022-11-03,1495
2022-11-04,1475
2022-11-05,1408
2022-11-06,1514
2022-11-07,1473
2022-11-08,1735
2022-11-09,1636
2022-11-10,1513
2022-11-11,1246
2022-11-12,1317
2022-11-13,1388
2022-11-14,1398
2022-11-15,1481
2022-11-16,1459
2022-11-17,1474
2022-11-18,1338
2022-11-19,1222
2022-11-20,1315
2022-11-21,1432
2022-11-22,1481
2022-11-23,1425
2022-11-24,1485
2022-11-25,1304
2022-11-26,1259
2022-11-27,1432
2022-11-28,1420
2022-11-29,1623
2022-11-30,1636
2022-12-01,1633
2022-12-02,924
2022-12-03,805
2022-12-04,941
2022-12-05,999
2022-12-06,996
2022-12-07,945
2022-12-08,947
2022-12-09,964
2022-12-10,973
2022-12-11,1055
2022-12-12,1215
2022-12-13,1105
2022-12-14,1087
2022-12-15,1147
2022-12-16,918
2022-12-17,762
2022-12-18,910
2022-12-19,1023
2022-12-20,1022
2022-12-21,1148
2022-12-22,1024
2022-12-23,869
2022-12-24,842
2022-12-25,804
2022-12-26,927
2022-12-27,1075
2022-12-28,950
2022-12-29,1009
2022-12-30,1011
2022-12-31,994
2023-01-01,961
2023-01-02,1261
2023-01-03,1238
2023-01-04,1155
2023-01-05,1144
2023-01-06,1027
2023-01-07,953
2023-01-08,1060
2023-01-09,1226
2023-01-10,1276
2023-01-11,1168
2023-01-12,1265
2023-01-13,1136
2023-01-14,1185
2023-01-15,1163
2023-01-16,1479
2023-01-17,1652
2023-01-18,1591
2023-01-19,1691
2023-01-20,1451
2023-01-21,1541
2023-01-22,1676
2023-01-23,1863
2023-01-24,1952
2023-01-25,1743
2023-01-26,1705
2023-01-27,1610
2023-01-28,1505
2023-01-29,1717
2023-01-30,1859
2023-01-31,1834
2023-02-01,1823
2023-02-02,1868
2023-02-03,1714
2023-02-04,1429
2023-02-05,1638
2023-02-06,1764
2023-02-07,1694
2023-02-08,1824
2023-02-09,1834
2023-02-10,1590
2023-02-11,1507
2023-02-12,1648
2023-02-13,1868
2023-02-14,1905
2023-02-15,1858
2023-02-16,1917
2023-02-17,1616
2023-02-18,1527
2023-02-19,1838
2023-02-20,2142
2023-02-21,2078
2023-02-22,2017
2023-02-23,2015
2023-02-24,1869
2023-02-25,1781
2023-02-26,1962
2023-02-27,2209
2023-02-28,2379
2023-03-01,2298
2023-03-02,2357
2023-03-03,1914
2023-03-04,1884
2023-03-05,2032
2023-03-06,2275
2023-03-07,2302
2023-03-08,2467
2023-03-09,2327
2023-03-10,2104
2023-03-11,1836
2023-03-12,2232
2023-03-13,2417
2023-03-14,2456
2023-03-15,2482
2023-03-16,2367
2023-03-17,2172
2023-03-18,2033
2023-03-19,2159
2023-03-20,2564
2023-03-21,2544
2023-03-22,2718
2023-03-23,2410
2023-03-24,2121
2023-03-25,1998
2023-03-26,2060
2023-03-27,2216
2023-03-28,2299
2023-03-29,2114
2023-03-30,2100
2023-03-31,1831
2023-04-01,1826
2023-04-02,1956
2023-04-03,2126
2023-04-04,1904
2023-04-05,1126
2023-04-06,978
2023-04-07,890
2023-04-08,891
2023-04-09,874
2023-04-10,1144
2023-04-11,1242
2023-04-12,1135
2023-04-13,1121
2023-04-14,940
2023-04-15,787
2023-04-16,973
2023-04-17,1276
2023-04-18,1209
2023-04-19,1485
2023-04-20,2255
2023-04-21,1882
2023-04-22,1793
2023-04-23,1832
2023-04-24,2070
2023-04-25,2175
2023-04-26,2080
2023-04-27,2231
2023-04-28,1991
2023-04-29,1808
2023-04-30,1920
2023-05-01,2666
2023-05-02,2459
2023-05-03,2397
2023-05-04,2307
2023-05-05,2141
2023-05-06,1914
2023-05-07,2052
2023-05-08,2563
2023-05-09,2480
2023-05-10,2429
2023-05-11,2510
2023-05-12,2278
2023-05-13,2205
2023-05-14,2181
2023-05-15,2682
2023-05-16,2686
2023-05-17,2849
2023-05-18,2776
2023-05-19,2452
2023-05-20,2155
2023-05-21,2468
2023-05-22,2656
2023-05-23,2627
2023-05-24,2624
2023-05-25,2710
2023-05-26,2689
2023-05-27,2399
2023-05-28,2796
2023-05-29,3136
2023-05-30,3104
2023-05-31,3610
2023-06-01,4135
2023-06-02,3182
2023-06-03,2692
2023-06-04,2852
2023-06-05,2912
2023-06-06,3113
2023-06-07,3135
