date,views
2021-07-01,1544
2021-07-02,1703
2021-07-03,1564
2021-07-04,2785
2021-07-05,2142
2021-07-06,1568
2021-07-07,1397
2021-07-08,1285
2021-07-09,1224
2021-07-10,1187
2021-07-11,1162
2021-07-12,1327
2021-07-13,1424
2021-07-14,1237
2021-07-15,1283
2021-07-16,1340
2021-07-17,1175
2021-07-18,1332
2021-07-19,1394
2021-07-20,1414
2021-07-21,1560
2021-07-22,1416
2021-07-23,1317
2021-07-24,1160
2021-07-25,1185
2021-07-26,1917
2021-07-27,1801
2021-07-28,1610
2021-07-29,1505
2021-07-30,1424
2021-07-31,1359
2021-08-01,1311
2021-08-02,1413
2021-08-03,1335
2021-08-04,1326
2021-08-05,1348
2021-08-06,1310
2021-08-07,1767
2021-08-08,1373
2021-08-09,1405
2021-08-10,1403
2021-08-11,1474
2021-08-12,1383
2021-08-13,1294
2021-08-14,1277
2021-08-15,1448
2021-08-16,1462
2021-08-17,1549
2021-08-18,1472
2021-08-19,1573
2021-08-20,1515
2021-08-21,1572
2021-08-22,1526
2021-08-23,1660
2021-08-24,1760
2021-08-25,1651
2021-08-26,1674
2021-08-27,1620
2021-08-28,1524
2021-08-29,1715
2021-08-30,1863
2021-08-31,1850
2021-09-01,1868
2021-09-02,1943
2021-09-03,1952
2021-09-04,1794
2021-09-05,2050
2021-09-06,2745
2021-09-07,2800
2021-09-08,2466
2021-09-09,2314
2021-09-10,2224
2021-09-11,2062
2021-09-12,2322
2021-09-13,2571
2021-09-14,2569
2021-09-15,2814
2021-09-16,2792
2021-09-17,2771
2021-09-18,2545
2021-09-19,3120
2021-09-20,3857
2021-09-21,4038
2021-09-22,4322
2021-09-23,3715
2021-09-24,3189
2021-09-25,2914
2021-09-26,3343
2021-09-27,4022
2021-09-28,4008
2021-09-29,4328
2021-09-30,4453
2021-10-01,4410
2021-10-02,4069
2021-10-03,4992
2021-10-04,5935
2021-10-05,5713
2021-10-06,6012
2021-10-07,6949
2021-10-08,9191
2021-10-09,9354
2021-10-10,16878
2021-10-11,25758
2021-10-12,13441
2021-10-13,7026
2021-10-14,5971
2021-10-15,5140
2021-10-16,4577
2021-10-17,5308
2021-10-18,5909
2021-10-19,5954
2021-10-20,5318
2021-10-21,5601
2021-10-22,5332
2021-10-23,4958
2021-10-24,5909
