date,views
2021-07-01,117
2021-07-02,105
2021-07-03,91
2021-07-04,85
2021-07-05,201
2021-07-06,99
2021-07-07,102
2021-07-08,105
2021-07-09,124
2021-07-10,71
2021-07-11,53
2021-07-12,93
2021-07-13,107
2021-07-14,118
2021-07-15,99
2021-07-16,94
2021-07-17,96
2021-07-18,65
2021-07-19,120
2021-07-20,97
2021-07-21,90
2021-07-22,91
2021-07-23,122
2021-07-24,63
2021-07-25,73
2021-07-26,82
2021-07-27,81
2021-07-28,91
2021-07-29,115
2021-07-30,89
2021-07-31,81
2021-08-01,80
2021-08-02,79
2021-08-03,113
2021-08-04,127
2021-08-05,76
2021-08-06,91
2021-08-07,68
2021-08-08,69
2021-08-09,115
2021-08-10,97
2021-08-11,124
2021-08-12,103
2021-08-13,86
2021-08-14,70
2021-08-15,80
2021-08-16,89
2021-08-17,107
2021-08-18,111
2021-08-19,112
2021-08-20,68
2021-08-21,69
2021-08-22,69
2021-08-23,90
2021-08-24,94
2021-08-25,98
2021-08-26,157
2021-08-27,139
2021-08-28,107
2021-08-29,98
2021-08-30,114
2021-08-31,102
2021-09-01,87
2021-09-02,200
2021-09-03,123
2021-09-04,77
2021-09-05,72
2021-09-06,133
2021-09-07,104
2021-09-08,101
2021-09-09,121
2021-09-10,144
2021-09-11,77
2021-09-12,123
2021-09-13,115
2021-09-14,136
2021-09-15,140
2021-09-16,124
2021-09-17,136
2021-09-18,105
2021-09-19,107
2021-09-20,150
2021-09-21,142
2021-09-22,188
2021-09-23,135
2021-09-24,123
2021-09-25,112
2021-09-26,119
2021-09-27,119
2021-09-28,113
2021-09-29,117
2021-09-30,116
2021-10-01,87
2021-10-02,125
2021-10-03,99
2021-10-04,122
2021-10-05,144
2021-10-06,128
2021-10-07,124
2021-10-08,108
2021-10-09,98
2021-10-10,114
2021-10-11,138
2021-10-12,77
2021-10-13,149
2021-10-14,89
2021-10-15,98
2021-10-16,82
2021-10-17,105
2021-10-18,115
2021-10-19,87
2021-10-20,125
2021-10-21,133
2021-10-22,100
2021-10-23,89
2021-10-24,84
2021-10-25,91
2021-10-26,96
2021-10-27,119
2021-10-28,116
2021-10-29,98
2021-10-30,81
2021-10-31,92
2021-11-01,104
2021-11-02,125
2021-11-03,115
2021-11-04,119
2021-11-05,88
2021-11-06,81
2021-11-07,94
2021-11-08,86
2021-11-09,113
2021-11-10,122
2021-11-11,114
2021-11-12,116
2021-11-13,89
2021-11-14,82
2021-11-15,116
2021-11-16,119
2021-11-17,107
2021-11-18,109
2021-11-19,113
2021-11-20,96
2021-11-21,106
2021-11-22,145
2021-11-23,133
2021-11-24,122
2021-11-25,117
2021-11-26,120
2021-11-27,139
2021-11-28,96
2021-11-29,109
2021-11-30,109
2021-12-01,103
2021-12-02,170
2021-12-03,132
2021-12-04,90
2021-12-05,92
2021-12-06,89
2021-12-07,124
2021-12-08,89
2021-12-09,111
2021-12-10,109
2021-12-11,90
2021-12-12,101
2021-12-13,174
2021-12-14,101
2021-12-15,100
2021-12-16,108
2021-12-17,98
2021-12-18,103
2021-12-19,114
2021-12-20,97
2021-12-21,79
2021-12-22,120
2021-12-23,102
2021-12-24,79
2021-12-25,69
2021-12-26,63
2021-12-27,74
2021-12-28,73
2021-12-29,82
2021-12-30,84
2021-12-31,115
2022-01-01,88
2022-01-02,69
2022-01-03,109
2022-01-04,162
2022-01-05,173
2022-01-06,140
2022-01-07,108
2022-01-08,119
2022-01-09,96
2022-01-10,101
2022-01-11,127
2022-01-12,120
2022-01-13,104
2022-01-14,85
2022-01-15,86
2022-01-16,97
2022-01-17,71
2022-01-18,111
2022-01-19,117
2022-01-20,122
2022-01-21,112
2022-01-22,87
2022-01-23,94
2022-01-24,115
2022-01-25,113
2022-01-26,103
2022-01-27,137
2022-01-28,111
2022-01-29,78
2022-01-30,108
2022-01-31,128
2022-02-01,121
2022-02-02,108
2022-02-03,139
2022-02-04,114
2022-02-05,101
2022-02-06,92
2022-02-07,115
2022-02-08,237
2022-02-09,164
2022-02-10,154
2022-02-11,107
2022-02-12,108
2022-02-13,136
2022-02-14,163
2022-02-15,120
2022-02-16,151
2022-02-17,139
2022-02-18,128
