date,views
2021-07-01,1465
2021-07-02,1172
2021-07-03,1178
2021-07-04,1244
2021-07-05,1323
2021-07-06,1401
2021-07-07,1357
2021-07-08,1403
2021-07-09,1364
2021-07-10,1333
2021-07-11,1253
2021-07-12,1411
2021-07-13,1352
2021-07-14,1404
2021-07-15,1341
2021-07-16,1221
2021-07-17,1122
2021-07-18,1065
2021-07-19,1294
2021-07-20,1242
2021-07-21,1290
2021-07-22,1268
2021-07-23,1109
2021-07-24,986
2021-07-25,1043
2021-07-26,1228
2021-07-27,1341
2021-07-28,1404
2021-07-29,1274
2021-07-30,1337
2021-07-31,3308
2021-08-01,1010
2021-08-02,1204
2021-08-03,1330
2021-08-04,1370
2021-08-05,1796
2021-08-06,1290
2021-08-07,1087
2021-08-08,1200
2021-08-09,1705
2021-08-10,1400
2021-08-11,1374
2021-08-12,1318
2021-08-13,1277
2021-08-14,1129
2021-08-15,1204
2021-08-16,1388
2021-08-17,1402
2021-08-18,1611
2021-08-19,1542
2021-08-20,1289
2021-08-21,1063
2021-08-22,1054
2021-08-23,1589
2021-08-24,1430
2021-08-25,1583
2021-08-26,1575
2021-08-27,1553
2021-08-28,1196
2021-08-29,1330
2021-08-30,1587
2021-08-31,1712
2021-09-01,1676
2021-09-02,1612
2021-09-03,1448
2021-09-04,1302
2021-09-05,1435
2021-09-06,1581
2021-09-07,1700
2021-09-08,1663
2021-09-09,1605
2021-09-10,1711
2021-09-11,1473
2021-09-12,1515
2021-09-13,1800
2021-09-14,1850
2021-09-15,1900
2021-09-16,1773
2021-09-17,1658
2021-09-18,1424
2021-09-19,1486
2021-09-20,1673
2021-09-21,1704
2021-09-22,1782
2021-09-23,1899
2021-09-24,1786
2021-09-25,1511
2021-09-26,1856
2021-09-27,1895
2021-09-28,1919
2021-09-29,1970
2021-09-30,1585
2021-10-01,1495
2021-10-02,1464
2021-10-03,1500
2021-10-04,1591
2021-10-05,1581
2021-10-06,1688
2021-10-07,1643
2021-10-08,1529
2021-10-09,1465
2021-10-10,1623
2021-10-11,1886
2021-10-12,1900
2021-10-13,2003
2021-10-14,1677
2021-10-15,1569
2021-10-16,1543
2021-10-17,1627
2021-10-18,1804
2021-10-19,1872
2021-10-20,1744
2021-10-21,2009
2021-10-22,1745
2021-10-23,1506
2021-10-24,1579
2021-10-25,1872
2021-10-26,1714
2021-10-27,1782
2021-10-28,1827
2021-10-29,1609
2021-10-30,1294
2021-10-31,1483
2021-11-01,1621
2021-11-02,1452
2021-11-03,1549
2021-11-04,1328
