date,views
2021-07-01,2239
2021-07-02,1979
2021-07-03,2166
2021-07-04,2272
2021-07-05,2481
2021-07-06,2505
2021-07-07,2458
2021-07-08,2451
2021-07-09,2614
2021-07-10,2113
2021-07-11,2179
2021-07-12,2552
2021-07-13,4293
2021-07-14,2673
2021-07-15,2305
2021-07-16,2453
2021-07-17,2514
2021-07-18,2091
2021-07-19,2405
2021-07-20,2300
2021-07-21,3601
2021-07-22,2476
2021-07-23,2462
2021-07-24,2369
2021-07-25,2313
2021-07-26,2577
2021-07-27,3089
2021-07-28,3656
2021-07-29,6444
2021-07-30,3364
2021-07-31,2403
2021-08-01,2282
2021-08-02,2606
2021-08-03,2637
2021-08-04,2358
2021-08-05,2376
2021-08-06,2408
2021-08-07,2097
2021-08-08,2465
2021-08-09,2404
2021-08-10,2525
2021-08-11,2497
2021-08-12,2479
2021-08-13,2448
2021-08-14,3542
2021-08-15,3255
2021-08-16,3118
2021-08-17,2700
2021-08-18,2948
2021-08-19,2737
2021-08-20,2588
2021-08-21,2310
2021-08-22,2737
2021-08-23,3301
2021-08-24,3614
2021-08-25,3204
2021-08-26,2927
2021-08-27,2776
2021-08-28,2733
2021-08-29,3304
2021-08-30,3431
2021-08-31,2786
2021-09-01,3032
2021-09-02,2800
2021-09-03,2619
2021-09-04,2230
2021-09-05,2557
2021-09-06,2697
2021-09-07,2797
2021-09-08,2951
2021-09-09,2731
2021-09-10,2734
2021-09-11,2572
2021-09-12,3084
2021-09-13,3520
2021-09-14,3130
2021-09-15,3267
2021-09-16,3164
2021-09-17,2899
2021-09-18,2579
2021-09-19,3413
2021-09-20,4046
2021-09-21,3344
2021-09-22,3787
2021-09-23,3307
2021-09-24,2708
2021-09-25,2596
2021-09-26,2850
2021-09-27,3177
2021-09-28,3110
2021-09-29,3317
2021-09-30,3076
2021-10-01,2707
2021-10-02,2514
2021-10-03,2968
2021-10-04,3299
2021-10-05,3254
2021-10-06,3186
2021-10-07,3419
2021-10-08,3059
2021-10-09,2687
2021-10-10,3150
2021-10-11,3193
2021-10-12,3310
2021-10-13,3160
2021-10-14,2909
2021-10-15,2748
2021-10-16,2663
2021-10-17,3012
2021-10-18,3405
2021-10-19,3773
2021-10-20,3543
2021-10-21,3621
2021-10-22,3201
2021-10-23,2374
2021-10-24,2903
2021-10-25,3572
2021-10-26,3435
2021-10-27,3352
2021-10-28,3199
2021-10-29,2581
2021-10-30,2136
2021-10-31,2316
2021-11-01,2846
2021-11-02,2674
2021-11-03,2524
2021-11-04,2250
2021-11-05,2373
2021-11-06,2055
2021-11-07,2611
2021-11-08,3023
2021-11-09,2996
2021-11-10,3114
2021-11-11,2741
2021-11-12,2263
2021-11-13,2142
2021-11-14,2603
2021-11-15,2737
2021-11-16,2683
2021-11-17,2700
2021-11-18,2739
2021-11-19,2352
2021-11-20,2139
2021-11-21,2497
2021-11-22,2770
2021-11-23,2783
2021-11-24,2594
2021-11-25,2563
2021-11-26,3468
2021-11-27,2053
2021-11-28,2599
2021-11-29,2896
2021-11-30,2974
2021-12-01,2934
2021-12-02,2673
2021-12-03,2373
2021-12-04,2385
2021-12-05,2700
2021-12-06,2965
2021-12-07,3041
2021-12-08,4331
2021-12-09,3347
2021-12-10,2626
2021-12-11,2514
2021-12-12,2633
2021-12-13,2863
2021-12-14,3816
2021-12-15,2571
2021-12-16,2532
2021-12-17,2039
2021-12-18,1896
2021-12-19,2268
2021-12-20,2363
2021-12-21,2739
2021-12-22,2511
2021-12-23,2130
2021-12-24,2014
2021-12-25,2245
2021-12-26,3311
2021-12-27,2801
2021-12-28,2682
2021-12-29,2838
2021-12-30,2724
2021-12-31,2384
2022-01-01,2215
2022-01-02,3160
2022-01-03,2956
2022-01-04,3205
2022-01-05,2932
2022-01-06,2759
2022-01-07,2491
2022-01-08,2505
2022-01-09,2856
2022-01-10,3008
2022-01-11,3293
2022-01-12,3098
2022-01-13,2809
2022-01-14,2577
2022-01-15,19769
2022-01-16,22480
2022-01-17,12433
2022-01-18,9338
2022-01-19,6990
2022-01-20,5732
2022-01-21,4861
2022-01-22,3886
2022-01-23,3805
2022-01-24,4253
2022-01-25,3286
2022-01-26,4226
2022-01-27,3070
2022-01-28,2727
2022-01-29,2020
2022-01-30,3205
2022-01-31,2799
2022-02-01,2805
2022-02-02,2960
2022-02-03,2819
2022-02-04,2475
2022-02-05,2176
2022-02-06,3451
2022-02-07,3447
2022-02-08,3630
2022-02-09,3102
2022-02-10,3334
2022-02-11,3453
2022-02-12,2719
2022-02-13,3672
2022-02-14,3270
2022-02-15,3450
2022-02-16,3591
2022-02-17,3497
2022-02-18,2690
2022-02-19,2189
2022-02-20,2894
2022-02-21,2904
2022-02-22,3278
2022-02-23,3061
2022-02-24,2866
2022-02-25,2706
2022-02-26,2667
2022-02-27,2800
2022-02-28,2905
2022-03-01,2991
2022-03-02,2939
2022-03-03,2870
2022-03-04,2749
2022-03-05,1944
2022-03-06,2525
2022-03-07,2892
2022-03-08,2696
2022-03-09,2913
2022-03-10,2862
2022-03-11,2748
2022-03-12,1962
2022-03-13,2526
2022-03-14,2681
2022-03-15,2536
2022-03-16,4007
2022-03-17,2904
2022-03-18,2044
2022-03-19,1701
2022-03-20,1959
2022-03-21,2597
2022-03-22,2895
2022-03-23,2655
2022-03-24,2425
2022-03-25,4651
2022-03-26,1723
2022-03-27,1840
2022-03-28,2284
2022-03-29,2554
2022-03-30,2258
2022-03-31,2386
2022-04-01,1844
2022-04-02,1583
2022-04-03,2045
2022-04-04,2383
2022-04-05,2208
2022-04-06,2318
2022-04-07,2456
2022-04-08,2365
2022-04-09,1551
2022-04-10,1897
2022-04-11,2228
2022-04-12,1996
2022-04-13,1718
2022-04-14,1668
2022-04-15,1667
2022-04-16,1501
2022-04-17,1775
2022-04-18,2153
2022-04-19,2211
2022-04-20,2557
2022-04-21,2382
2022-04-22,1862
2022-04-23,1609
2022-04-24,1824
2022-04-25,2226
2022-04-26,2219
2022-04-27,2372
2022-04-28,2153
2022-04-29,1878
2022-04-30,1416
2022-05-01,1711
2022-05-02,2174
2022-05-03,2391
2022-05-04,2581
2022-05-05,2394
2022-05-06,2090
2022-05-07,1873
2022-05-08,1999
2022-05-09,2757
2022-05-10,2809
2022-05-11,2718
2022-05-12,2719
2022-05-13,2506
2022-05-14,1839
2022-05-15,2115
2022-05-16,2786
2022-05-17,2572
2022-05-18,2945
2022-05-19,2760
2022-05-20,2849
2022-05-21,2146
2022-05-22,2706
2022-05-23,3187
2022-05-24,2914
2022-05-25,3179
2022-05-26,3106
2022-05-27,2757
2022-05-28,2327
2022-05-29,2421
2022-05-30,2935
2022-05-31,3009
2022-06-01,2867
2022-06-02,2856
2022-06-03,2489
2022-06-04,2632
2022-06-05,2570
2022-06-06,2982
2022-06-07,3129
2022-06-08,3144
2022-06-09,2999
2022-06-10,2722
2022-06-11,2452
2022-06-12,3012
2022-06-13,3119
2022-06-14,3302
2022-06-15,3292
2022-06-16,2882
2022-06-17,2755
2022-06-18,2359
2022-06-19,2824
2022-06-20,3023
2022-06-21,2960
2022-06-22,3084
2022-06-23,2894
2022-06-24,2421
2022-06-25,2214
2022-06-26,2604
2022-06-27,2576
2022-06-28,2499
2022-06-29,2541
2022-06-30,2712
2022-07-01,2220
2022-07-02,2165
2022-07-03,2814
2022-07-04,2703
2022-07-05,2461
2022-07-06,2319
2022-07-07,2108
2022-07-08,1984
2022-07-09,1892
2022-07-10,2320
2022-07-11,2260
2022-07-12,2425
2022-07-13,2147
2022-07-14,2033
2022-07-15,1724
2022-07-16,1734
2022-07-17,2354
2022-07-18,2138
2022-07-19,2211
2022-07-20,1918
2022-07-21,2025
2022-07-22,1960
2022-07-23,2065
2022-07-24,2663
2022-07-25,2219
2022-07-26,2203
2022-07-27,2818
2022-07-28,2446
2022-07-29,2180
2022-07-30,1915
2022-07-31,2393
2022-08-01,2249
2022-08-02,2222
2022-08-03,2544
2022-08-04,2347
2022-08-05,2227
2022-08-06,1762
2022-08-07,2365
2022-08-08,2025
2022-08-09,2505
2022-08-10,2093
2022-08-11,2201
2022-08-12,1786
2022-08-13,1922
2022-08-14,2123
2022-08-15,2369
2022-08-16,2663
2022-08-17,2498
2022-08-18,2345
2022-08-19,2438
2022-08-20,2126
2022-08-21,2799
2022-08-22,3956
2022-08-23,2970
2022-08-24,2909
2022-08-25,3075
2022-08-26,2606
2022-08-27,2542
2022-08-28,3416
2022-08-29,3137
2022-08-30,2923
2022-08-31,3210
2022-09-01,3041
2022-09-02,3241
2022-09-03,2636
2022-09-04,3362
2022-09-05,3488
2022-09-06,3638
2022-09-07,3363
2022-09-08,3256
2022-09-09,3208
2022-09-10,3194
2022-09-11,4888
2022-09-12,5469
2022-09-13,4377
2022-09-14,3985
2022-09-15,3716
2022-09-16,3140
2022-09-17,2942
2022-09-18,6020
2022-09-19,6441
2022-09-20,5183
2022-09-21,4234
2022-09-22,4003
2022-09-23,3342
2022-09-24,2903
2022-09-25,3975
2022-09-26,3968
2022-09-27,4283
2022-09-28,5109
2022-09-29,5384
2022-09-30,3910
2022-10-01,3171
2022-10-02,3618
2022-10-03,3646
2022-10-04,3838
2022-10-05,3985
2022-10-06,4162
2022-10-07,3433
2022-10-08,3255
2022-10-09,4307
2022-10-10,3910
2022-10-11,4052
2022-10-12,4021
2022-10-13,3525
2022-10-14,2857
2022-10-15,2760
2022-10-16,3364
2022-10-17,3365
2022-10-18,3464
2022-10-19,3328
