date,views
2021-07-01,1348
2021-07-02,1385
2021-07-03,1294
2021-07-04,1283
2021-07-05,1277
2021-07-06,1366
2021-07-07,1391
2021-07-08,1450
2021-07-09,1502
2021-07-10,1430
2021-07-11,1183
2021-07-12,1334
2021-07-13,1339
2021-07-14,1403
2021-07-15,1205
2021-07-16,1254
2021-07-17,1125
2021-07-18,1149
2021-07-19,1195
2021-07-20,1251
2021-07-21,1417
2021-07-22,1507
2021-07-23,1441
2021-07-24,1456
2021-07-25,1222
2021-07-26,1333
2021-07-27,1346
2021-07-28,1445
2021-07-29,1213
2021-07-30,1527
2021-07-31,1488
2021-08-01,1794
2021-08-02,1425
2021-08-03,1404
2021-08-04,1190
2021-08-05,1584
2021-08-06,1274
2021-08-07,1421
2021-08-08,1299
2021-08-09,1440
2021-08-10,1287
2021-08-11,1471
2021-08-12,1310
2021-08-13,1576
2021-08-14,2172
2021-08-15,1587
2021-08-16,1499
2021-08-17,1423
2021-08-18,1382
2021-08-19,1402
2021-08-20,1199
2021-08-21,1226
2021-08-22,1176
2021-08-23,1247
2021-08-24,1300
2021-08-25,1291
2021-08-26,1530
2021-08-27,1245
2021-08-28,1227
2021-08-29,1339
2021-08-30,1505
2021-08-31,1332
2021-09-01,1415
2021-09-02,1354
2021-09-03,1242
2021-09-04,1259
2021-09-05,1448
2021-09-06,1449
2021-09-07,1488
2021-09-08,1388
2021-09-09,1347
2021-09-10,1280
2021-09-11,1236
2021-09-12,1308
2021-09-13,1418
2021-09-14,1366
2021-09-15,1584
2021-09-16,1784
2021-09-17,1500
2021-09-18,1386
2021-09-19,1386
2021-09-20,1481
2021-09-21,1337
2021-09-22,1508
2021-09-23,1382
2021-09-24,1300
2021-09-25,1222
2021-09-26,1256
2021-09-27,1413
2021-09-28,1425
2021-09-29,1393
2021-09-30,1421
2021-10-01,1205
2021-10-02,1106
2021-10-03,1408
2021-10-04,1465
2021-10-05,1432
2021-10-06,1500
2021-10-07,1320
2021-10-08,1270
2021-10-09,1238
2021-10-10,1225
2021-10-11,1531
2021-10-12,1489
2021-10-13,1472
2021-10-14,1474
2021-10-15,1485
2021-10-16,1583
2021-10-17,1544
2021-10-18,1526
2021-10-19,1493
2021-10-20,1462
2021-10-21,1583
2021-10-22,1473
2021-10-23,1323
2021-10-24,1721
2021-10-25,1517
2021-10-26,1492
2021-10-27,1595
2021-10-28,1839
2021-10-29,1645
2021-10-30,1584
2021-10-31,2057
2021-11-01,2019
2021-11-02,1872
2021-11-03,1920
2021-11-04,2423
2021-11-05,1829
2021-11-06,1477
2021-11-07,1728
2021-11-08,1684
2021-11-09,1680
2021-11-10,1688
2021-11-11,1852
2021-11-12,1544
2021-11-13,1400
2021-11-14,1768
2021-11-15,1739
2021-11-16,1608
2021-11-17,1611
2021-11-18,1622
2021-11-19,1476
2021-11-20,1382
2021-11-21,1465
2021-11-22,1551
2021-11-23,1530
2021-11-24,1660
2021-11-25,1835
2021-11-26,1599
2021-11-27,1443
2021-11-28,1571
2021-11-29,1673
2021-11-30,1736
2021-12-01,1702
2021-12-02,1882
2021-12-03,1732
2021-12-04,1527
2021-12-05,1740
2021-12-06,1972
2021-12-07,2084
2021-12-08,1945
2021-12-09,1857
2021-12-10,1741
2021-12-11,1686
2021-12-12,1731
2021-12-13,2017
2021-12-14,2119
2021-12-15,2241
2021-12-16,1923
2021-12-17,1782
2021-12-18,1780
2021-12-19,1796
2021-12-20,2018
2021-12-21,1975
2021-12-22,1909
2021-12-23,1885
2021-12-24,1965
2021-12-25,2149
2021-12-26,2082
2021-12-27,2357
2021-12-28,2366
2021-12-29,2556
2021-12-30,2564
2021-12-31,2762
2022-01-01,3433
2022-01-02,3326
2022-01-03,4262
2022-01-04,4714
2022-01-05,4984
2022-01-06,5225
2022-01-07,5266
2022-01-08,5169
2022-01-09,5466
2022-01-10,6192
2022-01-11,6744
2022-01-12,6946
2022-01-13,7160
2022-01-14,7500
2022-01-15,6455
2022-01-16,7406
2022-01-17,8767
2022-01-18,9322
2022-01-19,9497
2022-01-20,11965
2022-01-21,9801
2022-01-22,8686
2022-01-23,10050
2022-01-24,12630
2022-01-25,12988
2022-01-26,13593
2022-01-27,14357
2022-01-28,13782
2022-01-29,12449
2022-01-30,14550
2022-01-31,20868
2022-02-01,26749
2022-02-02,28148
2022-02-03,28131
2022-02-04,28150
2022-02-05,25379
2022-02-06,32245
2022-02-07,51871
2022-02-08,55193
2022-02-09,56378
2022-02-10,63343
2022-02-11,76220
2022-02-12,80636
2022-02-13,182312
2022-02-14,547929
2022-02-15,113653
2022-02-16,31052
2022-02-17,18821
2022-02-18,12667
2022-02-19,8830
2022-02-20,8084
2022-02-21,7252
2022-02-22,6603
2022-02-23,6303
2022-02-24,5104
2022-02-25,4228
2022-02-26,3768
2022-02-27,3749
2022-02-28,3774
2022-03-01,3165
2022-03-02,2968
2022-03-03,3177
2022-03-04,2402
2022-03-05,2358
2022-03-06,2364
2022-03-07,2680
2022-03-08,3047
2022-03-09,2443
2022-03-10,2271
2022-03-11,2138
2022-03-12,2229
2022-03-13,2376
2022-03-14,3775
2022-03-15,2656
2022-03-16,2335
2022-03-17,2540
2022-03-18,2163
2022-03-19,1895
2022-03-20,1853
2022-03-21,1957
2022-03-22,1968
2022-03-23,1800
2022-03-24,1760
2022-03-25,1854
2022-03-26,1474
2022-03-27,1830
2022-03-28,1770
2022-03-29,1780
2022-03-30,1693
2022-03-31,1680
2022-04-01,1830
2022-04-02,1683
2022-04-03,1740
2022-04-04,1824
2022-04-05,2004
2022-04-06,1744
2022-04-07,1482
2022-04-08,1718
2022-04-09,1317
2022-04-10,1444
2022-04-11,1458
2022-04-12,1512
2022-04-13,1478
2022-04-14,1567
2022-04-15,1384
2022-04-16,1387
2022-04-17,1504
2022-04-18,1410
2022-04-19,1412
2022-04-20,1382
2022-04-21,1274
2022-04-22,1325
2022-04-23,1190
2022-04-24,1282
2022-04-25,1441
2022-04-26,1339
2022-04-27,1486
2022-04-28,1422
2022-04-29,1261
2022-04-30,1154
2022-05-01,1357
2022-05-02,1434
2022-05-03,1403
2022-05-04,1947
2022-05-05,1451
2022-05-06,1418
2022-05-07,1400
2022-05-08,1833
2022-05-09,1468
2022-05-10,1503
2022-05-11,1635
2022-05-12,1370
2022-05-13,1274
2022-05-14,1278
2022-05-15,1187
2022-05-16,1330
2022-05-17,1490
2022-05-18,1371
2022-05-19,1328
2022-05-20,1465
2022-05-21,1174
2022-05-22,1273
2022-05-23,1390
2022-05-24,1520
2022-05-25,1402
2022-05-26,1421
2022-05-27,1210
2022-05-28,1146
2022-05-29,1191
2022-05-30,1385
2022-05-31,1357
2022-06-01,1371
2022-06-02,1310
2022-06-03,1310
2022-06-04,1242
2022-06-05,1384
2022-06-06,1530
2022-06-07,1369
2022-06-08,1409
2022-06-09,1531
2022-06-10,1435
2022-06-11,1431
2022-06-12,2588
2022-06-13,1860
2022-06-14,1708
2022-06-15,1556
2022-06-16,1208
2022-06-17,1230
2022-06-18,1203
2022-06-19,1492
2022-06-20,1383
2022-06-21,1528
2022-06-22,1440
2022-06-23,1391
2022-06-24,1171
2022-06-25,1172
2022-06-26,1121
2022-06-27,1224
2022-06-28,1130
2022-06-29,1269
2022-06-30,1282
2022-07-01,1182
2022-07-02,1110
2022-07-03,1087
2022-07-04,1262
2022-07-05,1238
2022-07-06,1499
2022-07-07,1305
2022-07-08,1300
2022-07-09,1099
2022-07-10,1130
2022-07-11,1170
2022-07-12,1444
2022-07-13,1420
2022-07-14,1364
2022-07-15,1198
2022-07-16,1173
2022-07-17,1219
2022-07-18,1287
2022-07-19,1346
2022-07-20,1311
2022-07-21,1504
2022-07-22,1524
2022-07-23,1397
2022-07-24,1473
2022-07-25,1627
2022-07-26,1759
2022-07-27,1598
2022-07-28,1693
2022-07-29,1672
2022-07-30,1927
2022-07-31,1855
2022-08-01,1961
2022-08-02,1836
2022-08-03,2048
2022-08-04,2928
2022-08-05,2326
2022-08-06,2158
2022-08-07,2211
2022-08-08,1978
2022-08-09,2012
2022-08-10,1891
2022-08-11,2074
2022-08-12,2199
2022-08-13,2159
2022-08-14,2176
2022-08-15,2036
2022-08-16,2082
2022-08-17,1979
2022-08-18,1715
2022-08-19,1935
2022-08-20,1896
2022-08-21,1929
2022-08-22,1965
2022-08-23,2143
2022-08-24,2012
2022-08-25,2061
2022-08-26,1879
2022-08-27,1856
2022-08-28,1999
2022-08-29,2035
2022-08-30,1862
2022-08-31,1775
2022-09-01,1837
2022-09-02,1879
2022-09-03,1847
2022-09-04,1892
2022-09-05,1937
2022-09-06,2272
2022-09-07,2053
2022-09-08,2083
2022-09-09,2405
2022-09-10,2225
2022-09-11,2371
2022-09-12,2716
2022-09-13,2720
2022-09-14,3069
2022-09-15,2646
2022-09-16,2536
2022-09-17,2541
2022-09-18,2469
2022-09-19,2568
2022-09-20,2473
2022-09-21,2772
2022-09-22,2373
2022-09-23,2038
2022-09-24,2425
2022-09-25,2536
2022-09-26,2672
2022-09-27,2705
2022-09-28,2439
2022-09-29,2299
2022-09-30,2033
2022-10-01,2106
2022-10-02,2159
2022-10-03,2271
2022-10-04,2251
2022-10-05,2397
2022-10-06,2051
2022-10-07,1946
2022-10-08,1992
2022-10-09,1886
2022-10-10,2091
2022-10-11,1995
2022-10-12,1944
2022-10-13,1969
2022-10-14,1951
2022-10-15,2098
2022-10-16,2187
2022-10-17,2202
2022-10-18,1950
2022-10-19,2055
2022-10-20,2247
2022-10-21,2461
2022-10-22,2325
2022-10-23,2783
2022-10-24,3006
2022-10-25,3082
2022-10-26,2675
2022-10-27,2923
2022-10-28,2479
2022-10-29,2785
2022-10-30,3208
2022-10-31,3604
2022-11-01,3778
2022-11-02,3891
2022-11-03,4737
2022-11-04,5293
2022-11-05,4031
2022-11-06,3490
2022-11-07,3815
2022-11-08,3628
2022-11-09,3184
2022-11-10,2984
2022-11-11,3445
2022-11-12,2968
2022-11-13,3264
2022-11-14,3951
2022-11-15,3051
2022-11-16,2983
2022-11-17,3055
2022-11-18,2738
2022-11-19,2694
2022-11-20,2895
2022-11-21,3220
2022-11-22,3062
2022-11-23,2980
2022-11-24,3199
2022-11-25,3021
2022-11-26,2740
2022-11-27,2777
2022-11-28,3044
2022-11-29,3202
2022-11-30,3066
2022-12-01,3260
2022-12-02,2161
2022-12-03,1848
2022-12-04,2070
2022-12-05,2090
2022-12-06,2107
2022-12-07,2208
2022-12-08,2174
2022-12-09,2134
2022-12-10,2218
