date,views
2021-07-01,1868
2021-07-02,2673
2021-07-03,1475
2021-07-04,1676
2021-07-05,1550
2021-07-06,1615
2021-07-07,1555
2021-07-08,1560
2021-07-09,1411
2021-07-10,1353
2021-07-11,1346
2021-07-12,1555
2021-07-13,2257
2021-07-14,1690
2021-07-15,1691
2021-07-16,1959
2021-07-17,2010
2021-07-18,2055
2021-07-19,2288
2021-07-20,2365
2021-07-21,2215
2021-07-22,1939
2021-07-23,1562
2021-07-24,1414
2021-07-25,1471
2021-07-26,1613
2021-07-27,2683
2021-07-28,2459
2021-07-29,2267
2021-07-30,2299
2021-07-31,2265
2021-08-01,2321
2021-08-02,2632
2021-08-03,2432
2021-08-04,2543
2021-08-05,2662
2021-08-06,2460
2021-08-07,2075
2021-08-08,1923
2021-08-09,1972
2021-08-10,2495
2021-08-11,2670
2021-08-12,2424
2021-08-13,2316
2021-08-14,1942
2021-08-15,1967
2021-08-16,2217
2021-08-17,2071
2021-08-18,2189
2021-08-19,1531
2021-08-20,1592
2021-08-21,1473
2021-08-22,1518
2021-08-23,1606
2021-08-24,1537
2021-08-25,1453
2021-08-26,1612
2021-08-27,1455
2021-08-28,1362
2021-08-29,1434
2021-08-30,1579
2021-08-31,1402
2021-09-01,1365
2021-09-02,1521
2021-09-03,1463
2021-09-04,1360
2021-09-05,1368
2021-09-06,1511
2021-09-07,1596
2021-09-08,1633
2021-09-09,1684
2021-09-10,1770
2021-09-11,1319
2021-09-12,1443
2021-09-13,1482
2021-09-14,1649
2021-09-15,2007
2021-09-16,1785
2021-09-17,1914
2021-09-18,1419
2021-09-19,1609
2021-09-20,1656
2021-09-21,1568
2021-09-22,1773
2021-09-23,1518
2021-09-24,1552
2021-09-25,1309
2021-09-26,1460
2021-09-27,1502
2021-09-28,1392
2021-09-29,1561
2021-09-30,1663
2021-10-01,1344
2021-10-02,1358
2021-10-03,1522
2021-10-04,1462
2021-10-05,1339
2021-10-06,1338
2021-10-07,1495
2021-10-08,1395
2021-10-09,1565
2021-10-10,1468
2021-10-11,1561
2021-10-12,1654
2021-10-13,1387
2021-10-14,1349
2021-10-15,1276
2021-10-16,1235
2021-10-17,1330
2021-10-18,1330
2021-10-19,1395
2021-10-20,1367
2021-10-21,1404
2021-10-22,1371
2021-10-23,1244
2021-10-24,1341
2021-10-25,1473
2021-10-26,1464
2021-10-27,1416
2021-10-28,1399
2021-10-29,1232
2021-10-30,1159
2021-10-31,1305
2021-11-01,1653
2021-11-02,1502
2021-11-03,1398
2021-11-04,1382
2021-11-05,1403
2021-11-06,1352
2021-11-07,1516
2021-11-08,1537
2021-11-09,1971
2021-11-10,1613
2021-11-11,1478
2021-11-12,1701
2021-11-13,1359
2021-11-14,1507
2021-11-15,1714
2021-11-16,1493
2021-11-17,1459
2021-11-18,1445
2021-11-19,1659
2021-11-20,1395
2021-11-21,1816
2021-11-22,1742
2021-11-23,1781
2021-11-24,1931
2021-11-25,1638
2021-11-26,1611
2021-11-27,1454
2021-11-28,1492
2021-11-29,1704
2021-11-30,1542
2021-12-01,1477
2021-12-02,1529
2021-12-03,1462
2021-12-04,1361
2021-12-05,1422
2021-12-06,1583
2021-12-07,1595
2021-12-08,1629
2021-12-09,1500
2021-12-10,1372
2021-12-11,1192
2021-12-12,1556
2021-12-13,1596
2021-12-14,1468
2021-12-15,1627
2021-12-16,1595
2021-12-17,1452
2021-12-18,1359
2021-12-19,1639
2021-12-20,1500
2021-12-21,1561
2021-12-22,1400
2021-12-23,1525
2021-12-24,1381
2021-12-25,1334
2021-12-26,1630
2021-12-27,1489
2021-12-28,1691
2021-12-29,1844
2021-12-30,1471
2021-12-31,1310
2022-01-01,1511
2022-01-02,1429
2022-01-03,1583
2022-01-04,1506
2022-01-05,1537
2022-01-06,1591
2022-01-07,1608
2022-01-08,1395
2022-01-09,1456
2022-01-10,1702
2022-01-11,1478
2022-01-12,1540
2022-01-13,1529
2022-01-14,1595
2022-01-15,1287
2022-01-16,1483
2022-01-17,1486
2022-01-18,1553
2022-01-19,1685
2022-01-20,1608
2022-01-21,1468
2022-01-22,1472
2022-01-23,1594
2022-01-24,1756
2022-01-25,2138
2022-01-26,1900
2022-01-27,1871
2022-01-28,1791
2022-01-29,1741
2022-01-30,2122
2022-01-31,1806
2022-02-01,1662
2022-02-02,1745
2022-02-03,1582
2022-02-04,1701
2022-02-05,1537
2022-02-06,1582
2022-02-07,1712
2022-02-08,1641
2022-02-09,1756
2022-02-10,1808
2022-02-11,1665
2022-02-12,1665
2022-02-13,2000
2022-02-14,1805
2022-02-15,1933
2022-02-16,1831
2022-02-17,1686
2022-02-18,1782
2022-02-19,1957
2022-02-20,2176
2022-02-21,2121
2022-02-22,2535
2022-02-23,2373
2022-02-24,3538
2022-02-25,3454
2022-02-26,3029
2022-02-27,3062
2022-02-28,3234
2022-03-01,3016
2022-03-02,2829
2022-03-03,3054
2022-03-04,2639
2022-03-05,2568
2022-03-06,2480
2022-03-07,3195
2022-03-08,3435
2022-03-09,2642
2022-03-10,2407
2022-03-11,2351
2022-03-12,2280
2022-03-13,2265
2022-03-14,2299
2022-03-15,2191
2022-03-16,2106
2022-03-17,2039
2022-03-18,2127
2022-03-19,2001
2022-03-20,3251
2022-03-21,2200
2022-03-22,2102
2022-03-23,2276
2022-03-24,1980
2022-03-25,1842
2022-03-26,1973
2022-03-27,1947
2022-03-28,1863
2022-03-29,1973
2022-03-30,1835
2022-03-31,1748
2022-04-01,1757
2022-04-02,2008
2022-04-03,2078
2022-04-04,2360
2022-04-05,2174
2022-04-06,2043
2022-04-07,2003
2022-04-08,1822
2022-04-09,1513
2022-04-10,1746
2022-04-11,1884
2022-04-12,1799
2022-04-13,1953
2022-04-14,1718
2022-04-15,1708
2022-04-16,1564
2022-04-17,1564
2022-04-18,1863
2022-04-19,1745
2022-04-20,1746
2022-04-21,1649
2022-04-22,1632
2022-04-23,1555
2022-04-24,1713
2022-04-25,1638
2022-04-26,1560
2022-04-27,1752
2022-04-28,1677
2022-04-29,1583
2022-04-30,1351
2022-05-01,1642
2022-05-02,1651
2022-05-03,2939
2022-05-04,2784
2022-05-05,1576
2022-05-06,1486
2022-05-07,1472
2022-05-08,1485
2022-05-09,1734
2022-05-10,2851
2022-05-11,1779
2022-05-12,1828
2022-05-13,1667
2022-05-14,1878
2022-05-15,1819
2022-05-16,1898
