date,views
2021-07-01,2272
2021-07-02,2125
2021-07-03,1664
2021-07-04,1857
2021-07-05,1949
2021-07-06,2025
2021-07-07,2105
2021-07-08,2007
2021-07-09,2099
2021-07-10,1883
2021-07-11,1594
2021-07-12,2193
2021-07-13,2096
2021-07-14,2075
2021-07-15,2630
2021-07-16,2106
2021-07-17,1743
2021-07-18,1822
2021-07-19,2170
2021-07-20,2027
2021-07-21,2036
2021-07-22,1980
2021-07-23,1825
2021-07-24,1749
2021-07-25,1651
2021-07-26,1857
2021-07-27,1873
2021-07-28,2072
2021-07-29,2124
2021-07-30,2162
2021-07-31,2549
2021-08-01,2888
2021-08-02,1965
2021-08-03,1927
2021-08-04,2522
2021-08-05,1972
2021-08-06,1954
2021-08-07,1650
2021-08-08,1705
2021-08-09,1975
2021-08-10,1903
2021-08-11,1869
2021-08-12,1921
2021-08-13,2083
2021-08-14,2087
2021-08-15,2027
2021-08-16,2384
2021-08-17,2637
2021-08-18,1876
2021-08-19,2074
2021-08-20,1852
2021-08-21,1792
2021-08-22,1646
2021-08-23,2230
2021-08-24,2036
2021-08-25,2216
2021-08-26,2459
2021-08-27,2275
2021-08-28,2235
2021-08-29,1913
2021-08-30,2625
2021-08-31,2230
2021-09-01,2336
2021-09-02,2004
2021-09-03,2055
2021-09-04,1786
2021-09-05,1884
2021-09-06,2148
2021-09-07,2575
2021-09-08,2248
2021-09-09,2405
2021-09-10,2160
2021-09-11,1652
2021-09-12,2010
2021-09-13,2354
2021-09-14,2299
2021-09-15,2608
2021-09-16,2559
2021-09-17,2593
2021-09-18,1936
2021-09-19,2356
2021-09-20,2911
2021-09-21,2540
2021-09-22,2343
2021-09-23,2565
2021-09-24,2445
2021-09-25,2422
2021-09-26,2359
2021-09-27,2734
2021-09-28,2581
2021-09-29,2775
2021-09-30,2983
2021-10-01,2222
2021-10-02,2077
2021-10-03,2227
2021-10-04,2622
2021-10-05,2633
2021-10-06,2909
2021-10-07,2575
2021-10-08,2241
2021-10-09,2434
2021-10-10,2388
2021-10-11,2494
2021-10-12,2601
2021-10-13,2348
2021-10-14,2436
2021-10-15,1970
2021-10-16,1917
2021-10-17,2071
2021-10-18,2392
2021-10-19,2368
2021-10-20,2644
2021-10-21,2399
2021-10-22,2208
2021-10-23,2000
2021-10-24,2011
2021-10-25,2748
2021-10-26,2494
2021-10-27,2364
2021-10-28,2753
2021-10-29,3725
2021-10-30,2439
2021-10-31,2534
2021-11-01,2826
2021-11-02,2636
2021-11-03,2455
2021-11-04,2201
2021-11-05,2082
2021-11-06,2202
2021-11-07,2205
2021-11-08,2867
2021-11-09,3266
2021-11-10,2840
2021-11-11,2854
2021-11-12,2502
2021-11-13,2218
2021-11-14,2274
2021-11-15,2728
2021-11-16,2571
2021-11-17,2581
2021-11-18,2498
2021-11-19,2306
2021-11-20,2058
2021-11-21,2227
2021-11-22,2766
2021-11-23,2706
2021-11-24,2803
2021-11-25,2731
2021-11-26,2660
2021-11-27,2142
2021-11-28,2289
2021-11-29,3025
2021-11-30,3909
2021-12-01,2897
2021-12-02,3153
2021-12-03,2781
2021-12-04,2335
2021-12-05,2686
2021-12-06,2961
2021-12-07,2704
2021-12-08,2603
2021-12-09,2572
2021-12-10,2408
2021-12-11,2069
2021-12-12,2254
2021-12-13,2629
2021-12-14,2677
2021-12-15,2544
2021-12-16,2444
2021-12-17,2288
2021-12-18,2032
2021-12-19,1985
2021-12-20,2243
2021-12-21,2313
2021-12-22,2664
2021-12-23,2647
2021-12-24,2065
2021-12-25,2141
2021-12-26,2240
2021-12-27,2283
2021-12-28,2309
2021-12-29,2501
2021-12-30,2379
2021-12-31,1920
2022-01-01,2234
2022-01-02,2225
2022-01-03,2349
2022-01-04,2914
2022-01-05,2993
2022-01-06,2530
2022-01-07,2626
2022-01-08,2221
2022-01-09,2448
2022-01-10,2719
2022-01-11,2672
2022-01-12,2870
2022-01-13,2738
2022-01-14,2605
2022-01-15,2202
2022-01-16,2204
2022-01-17,2388
2022-01-18,2884
2022-01-19,2502
2022-01-20,2713
2022-01-21,2748
2022-01-22,2571
2022-01-23,2222
2022-01-24,2641
2022-01-25,2614
2022-01-26,2680
2022-01-27,2758
2022-01-28,3209
2022-01-29,2241
2022-01-30,2197
2022-01-31,2725
2022-02-01,2798
2022-02-02,2597
2022-02-03,3471
2022-02-04,2419
2022-02-05,2139
2022-02-06,2848
2022-02-07,2876
2022-02-08,2919
2022-02-09,2962
2022-02-10,3210
2022-02-11,3209
2022-02-12,2815
2022-02-13,3006
2022-02-14,3342
2022-02-15,3071
2022-02-16,3020
2022-02-17,3004
2022-02-18,2789
2022-02-19,3446
2022-02-20,2528
2022-02-21,2927
2022-02-22,3359
2022-02-23,3717
2022-02-24,2559
2022-02-25,2522
2022-02-26,2290
2022-02-27,2395
2022-02-28,2938
2022-03-01,3673
2022-03-02,3470
2022-03-03,3026
2022-03-04,2711
2022-03-05,2146
2022-03-06,2201
2022-03-07,2630
2022-03-08,2656
2022-03-09,2730
2022-03-10,4277
2022-03-11,2630
2022-03-12,2072
2022-03-13,1965
2022-03-14,2566
2022-03-15,3822
2022-03-16,3056
2022-03-17,2569
2022-03-18,3205
2022-03-19,1949
2022-03-20,2266
2022-03-21,2634
2022-03-22,2671
2022-03-23,2713
2022-03-24,2758
2022-03-25,2562
2022-03-26,1938
2022-03-27,2201
2022-03-28,2632
2022-03-29,2772
2022-03-30,2988
2022-03-31,2897
2022-04-01,2367
2022-04-02,2301
2022-04-03,2582
2022-04-04,2861
2022-04-05,2553
2022-04-06,2757
2022-04-07,2600
2022-04-08,2406
2022-04-09,2101
2022-04-10,2134
2022-04-11,2371
2022-04-12,2354
2022-04-13,2449
2022-04-14,2821
2022-04-15,2406
2022-04-16,1977
2022-04-17,2005
2022-04-18,3593
2022-04-19,2673
2022-04-20,2727
2022-04-21,2569
2022-04-22,2530
2022-04-23,3917
2022-04-24,2250
2022-04-25,2483
2022-04-26,2551
2022-04-27,2823
2022-04-28,3585
2022-04-29,2408
2022-04-30,1892
2022-05-01,1933
2022-05-02,2259
2022-05-03,2649
2022-05-04,2817
2022-05-05,2684
2022-05-06,2480
2022-05-07,2051
2022-05-08,2090
2022-05-09,3292
2022-05-10,2568
2022-05-11,2784
2022-05-12,2449
2022-05-13,2310
2022-05-14,2142
2022-05-15,2081
2022-05-16,2694
2022-05-17,2432
2022-05-18,2663
2022-05-19,2558
2022-05-20,2575
2022-05-21,2051
2022-05-22,2052
2022-05-23,2673
2022-05-24,2682
2022-05-25,2479
2022-05-26,2502
2022-05-27,2344
2022-05-28,1938
2022-05-29,2014
2022-05-30,2305
2022-05-31,2399
2022-06-01,2416
2022-06-02,2415
2022-06-03,2121
2022-06-04,1976
2022-06-05,2150
2022-06-06,2160
2022-06-07,2222
2022-06-08,2079
2022-06-09,2093
2022-06-10,2031
2022-06-11,1661
2022-06-12,1930
2022-06-13,2235
2022-06-14,2349
2022-06-15,2245
2022-06-16,2202
2022-06-17,2088
2022-06-18,1828
2022-06-19,2038
2022-06-20,2513
2022-06-21,2337
2022-06-22,2413
2022-06-23,2141
2022-06-24,2191
2022-06-25,1863
2022-06-26,2085
2022-06-27,2408
2022-06-28,2381
2022-06-29,2405
2022-06-30,2206
2022-07-01,1962
2022-07-02,1800
2022-07-03,1991
2022-07-04,2235
2022-07-05,2098
2022-07-06,2682
2022-07-07,1995
2022-07-08,2474
2022-07-09,1691
2022-07-10,1780
2022-07-11,2052
2022-07-12,2703
2022-07-13,3493
2022-07-14,2280
2022-07-15,2190
2022-07-16,1934
2022-07-17,2124
2022-07-18,2273
2022-07-19,2395
2022-07-20,2321
2022-07-21,2722
2022-07-22,2907
2022-07-23,2551
2022-07-24,2657
2022-07-25,2732
2022-07-26,2881
2022-07-27,3608
2022-07-28,3181
2022-07-29,2985
2022-07-30,2755
2022-07-31,2782
2022-08-01,3078
2022-08-02,3094
2022-08-03,3056
2022-08-04,2875
2022-08-05,2960
2022-08-06,2533
2022-08-07,2508
2022-08-08,2816
2022-08-09,2632
2022-08-10,2745
2022-08-11,2574
2022-08-12,2564
2022-08-13,2431
2022-08-14,2400
2022-08-15,2544
2022-08-16,2756
2022-08-17,2627
2022-08-18,2570
2022-08-19,2784
2022-08-20,2534
2022-08-21,2482
2022-08-22,2512
2022-08-23,2674
2022-08-24,2683
2022-08-25,2460
2022-08-26,2495
2022-08-27,2311
2022-08-28,2249
2022-08-29,2560
2022-08-30,2987
2022-08-31,2704
2022-09-01,2831
2022-09-02,2869
2022-09-03,2703
2022-09-04,2533
2022-09-05,3252
2022-09-06,3236
2022-09-07,3298
2022-09-08,3080
2022-09-09,3728
2022-09-10,3515
2022-09-11,3831
2022-09-12,4135
2022-09-13,4491
2022-09-14,3727
2022-09-15,3798
2022-09-16,3956
2022-09-17,3424
2022-09-18,3410
2022-09-19,3684
2022-09-20,5250
2022-09-21,4300
2022-09-22,3848
2022-09-23,4244
2022-09-24,3547
2022-09-25,3800
2022-09-26,4055
2022-09-27,4282
2022-09-28,3435
2022-09-29,3795
2022-09-30,3560
2022-10-01,3128
2022-10-02,3117
2022-10-03,3324
2022-10-04,3190
2022-10-05,2934
2022-10-06,3409
2022-10-07,2848
2022-10-08,2931
2022-10-09,3051
2022-10-10,3275
2022-10-11,3693
2022-10-12,3505
2022-10-13,5932
2022-10-14,3577
2022-10-15,4437
2022-10-16,5531
2022-10-17,5681
2022-10-18,5302
2022-10-19,5731
2022-10-20,6195
2022-10-21,4925
2022-10-22,3594
2022-10-23,3461
2022-10-24,3442
2022-10-25,3857
2022-10-26,3860
2022-10-27,4047
2022-10-28,3854
2022-10-29,3346
2022-10-30,3713
2022-10-31,3939
2022-11-01,4160
2022-11-02,4195
2022-11-03,4064
2022-11-04,4123
2022-11-05,3297
2022-11-06,3766
2022-11-07,4521
2022-11-08,4543
2022-11-09,4530
2022-11-10,4081
2022-11-11,3815
2022-11-12,3343
2022-11-13,3637
2022-11-14,4352
2022-11-15,4259
2022-11-16,4166
2022-11-17,3873
2022-11-18,3842
2022-11-19,3148
2022-11-20,3512
2022-11-21,4006
2022-11-22,4064
2022-11-23,3934
2022-11-24,3967
2022-11-25,3904
2022-11-26,3516
2022-11-27,3980
2022-11-28,4600
2022-11-29,4501
2022-11-30,4372
2022-12-01,4135
2022-12-02,2966
2022-12-03,2341
2022-12-04,2707
2022-12-05,3046
2022-12-06,2898
2022-12-07,2834
2022-12-08,2987
2022-12-09,2677
2022-12-10,2370
2022-12-11,2897
2022-12-12,3134
2022-12-13,2872
2022-12-14,2815
2022-12-15,2952
2022-12-16,2522
2022-12-17,2239
2022-12-18,2355
2022-12-19,2596
2022-12-20,2737
2022-12-21,2731
2022-12-22,2750
2022-12-23,2542
2022-12-24,1903
2022-12-25,1807
2022-12-26,2554
2022-12-27,2752
2022-12-28,2454
2022-12-29,2277
2022-12-30,2254
2022-12-31,2027
2023-01-01,2093
2023-01-02,2622
2023-01-03,2805
2023-01-04,2888
2023-01-05,2985
2023-01-06,2539
2023-01-07,2449
2023-01-08,2222
2023-01-09,2842
2023-01-10,2828
2023-01-11,2853
2023-01-12,2738
2023-01-13,2506
2023-01-14,2449
2023-01-15,2493
2023-01-16,3016
2023-01-17,3003
2023-01-18,3092
2023-01-19,3188
2023-01-20,2908
2023-01-21,2503
2023-01-22,2836
2023-01-23,3441
2023-01-24,3303
2023-01-25,3310
2023-01-26,3018
2023-01-27,3054
2023-01-28,2694
2023-01-29,3023
2023-01-30,3533
2023-01-31,3619
2023-02-01,3315
2023-02-02,3595
2023-02-03,2941
2023-02-04,2693
2023-02-05,2989
2023-02-06,3249
2023-02-07,3526
2023-02-08,3171
2023-02-09,3207
2023-02-10,3316
2023-02-11,2744
2023-02-12,2789
2023-02-13,3045
2023-02-14,2972
2023-02-15,3197
2023-02-16,3287
2023-02-17,2986
2023-02-18,2745
2023-02-19,2894
2023-02-20,3116
2023-02-21,3599
2023-02-22,3491
2023-02-23,3360
2023-02-24,3016
2023-02-25,3033
2023-02-26,3139
2023-02-27,3572
2023-02-28,3484
2023-03-01,3503
2023-03-02,3179
2023-03-03,2843
2023-03-04,2734
2023-03-05,2891
2023-03-06,3244
2023-03-07,3236
2023-03-08,3287
2023-03-09,3159
2023-03-10,3227
2023-03-11,2891
2023-03-12,2830
2023-03-13,3249
2023-03-14,4150
2023-03-15,3084
2023-03-16,3468
2023-03-17,2932
2023-03-18,2715
2023-03-19,2915
2023-03-20,2987
2023-03-21,3245
2023-03-22,3060
2023-03-23,3229
2023-03-24,3193
2023-03-25,2756
2023-03-26,2770
2023-03-27,2787
2023-03-28,3055
2023-03-29,3035
2023-03-30,2665
2023-03-31,2745
2023-04-01,2320
2023-04-02,2362
2023-04-03,2696
2023-04-04,2966
2023-04-05,2999
2023-04-06,2578
2023-04-07,2139
2023-04-08,2377
2023-04-09,2665
2023-04-10,2037
2023-04-11,2049
2023-04-12,2226
2023-04-13,2150
2023-04-14,1946
2023-04-15,1662
2023-04-16,1663
2023-04-17,1972
2023-04-18,2118
2023-04-19,2477
2023-04-20,2659
2023-04-21,2516
2023-04-22,2427
2023-04-23,2783
2023-04-24,2847
2023-04-25,3003
2023-04-26,2692
2023-04-27,2805
2023-04-28,2603
2023-04-29,2391
2023-04-30,2403
2023-05-01,2826
2023-05-02,2780
2023-05-03,2915
2023-05-04,2770
2023-05-05,2870
2023-05-06,2492
2023-05-07,2414
2023-05-08,2747
2023-05-09,3293
2023-05-10,3213
2023-05-11,3077
2023-05-12,2855
2023-05-13,2372
2023-05-14,2359
2023-05-15,2896
2023-05-16,3062
2023-05-17,2887
2023-05-18,3011
2023-05-19,2910
2023-05-20,2302
